Latitude,Longitude
51.5128,0.0969
51.5147,0.0971
51.5164,0.0966
51.5183,0.0958
51.5197,0.0953
51.5213,0.0942
51.5227,0.0933
51.5251,0.092999
51.5258,0.0925
51.5261,0.0916
51.5264,0.0906
51.5266,0.0896
51.5264,0.0883
51.5262,0.0873
51.5263,0.0862
51.5265,0.0851
51.5267,0.0839
51.5283,0.0801
51.5294,0.0779
51.5298,0.077
51.5304,0.076099
51.5314,0.0747
51.5319,0.0741
51.5375,0.0706
51.541,0.068599
51.5433,0.0678
51.5437,0.0692
51.544,0.0704
51.5447,0.073199
51.5468,0.0817
51.5469,0.085899
51.5492,0.0926
51.5493,0.0929
51.5474,0.0939
51.5479,0.096499
51.5505,0.102701
51.5522,0.1065
51.553,0.110001
51.5558,0.113301
51.557,0.112601
51.5575,0.112901
51.5578,0.1159
51.5589,0.1165
51.5598,0.1165
51.5639,0.119501
51.5651,0.124301
51.5674,0.1284
51.5728,0.131201
51.5764,0.1307
51.5781,0.131
51.5789,0.1315
51.5796,0.1332
51.5811,0.133501
51.5817,0.129101
51.5825,0.1284
51.5837,0.127999
51.5852,0.1282
51.5874,0.1311
51.5988,0.1463
51.5947,0.146601
51.5943,0.146701
51.5933,0.147301
51.593,0.147801
51.5922,0.149201
51.5875,0.1507
51.5817,0.151401
51.5767,0.150101
51.5741,0.151001
51.5699,0.1509
51.5686,0.151201
51.5684,0.1513
51.5683,0.1511
51.5684,0.149601
51.5682,0.149401
51.568,0.149301
51.5678,0.149501
51.5655,0.154101
51.5627,0.159501
51.5618,0.1611
51.5603,0.163101
51.5628,0.166901
51.5631,0.167301
51.5646,0.170301
51.5653,0.175001
51.5653,0.1832
51.5647,0.183301
51.5626,0.182401
51.5607,0.181901
51.5597,0.181901
51.557,0.182501
51.5561,0.183501
51.5532,0.187001
51.5528,0.188101
51.5522,0.1884
51.5517,0.188101
51.5505,0.186701
51.5496,0.1859
51.5481,0.1855
51.5469,0.185401
51.5463,0.185001
51.5454,0.182101
51.5444,0.1807
51.5438,0.179801
51.5423,0.179201
51.5412,0.178701
51.5401,0.178101
51.5395,0.177801
51.5386,0.1765
51.5374,0.175401
51.5354,0.173701
51.5343,0.170801
51.5323,0.169
51.5304,0.166901
51.5288,0.165201
51.5271,0.164601
51.524,0.163301
51.5107,0.160401
51.5086,0.160001
51.5093,0.1534
51.5104,0.146901
51.5114,0.142701
51.5135,0.136601
51.5161,0.13
51.5166,0.126
51.5161,0.122101
51.5144,0.118101
51.5118,0.1115
51.5113,0.1057
51.5117,0.1005
51.5128,0.0969
