Latitude,Longitude
51.5702,-0.247399
51.5706,-0.247699
51.5737,-0.249999
51.5741,-0.249799
51.5766,-0.250599
51.5794,-0.251001
51.5806,-0.250899
51.5826,-0.249899
51.5837,-0.247599
51.5848,-0.247399
51.6002,-0.265199
51.6004,-0.265299
51.613,-0.280499
51.6169,-0.285899
51.6206,-0.292001
51.6245,-0.299699
51.6287,-0.304399
51.6311,-0.3073
51.633,-0.307799
51.6342,-0.307
51.635,-0.305599
51.6366,-0.302499
51.6359,-0.300199
51.6354,-0.296099
51.6351,-0.290599
51.6353,-0.286
51.6355,-0.282199
51.6369,-0.276699
51.6377,-0.270299
51.64,-0.268599
51.6422,-0.266699
51.6436,-0.264599
51.6441,-0.262299
51.6432,-0.258501
51.6419,-0.2564
51.6421,-0.255399
51.6442,-0.253999
51.6462,-0.252399
51.648,-0.2512
51.6547,-0.247599
51.6558,-0.246499
51.6592,-0.234699
51.6623,-0.228299
51.6618,-0.227699
51.6607,-0.222099
51.6602,-0.220699
51.6631,-0.207599
51.6643,-0.205199
51.6697,-0.197899
51.6687,-0.195599
51.6662,-0.192299
51.6662,-0.189199
51.6681,-0.1862
51.6695,-0.183599
51.6697,-0.1818
51.67,-0.180699
51.6718,-0.177299
51.669,-0.174399
51.6678,-0.174899
51.6675,-0.1766
51.6662,-0.178099
51.6659,-0.180799
51.6629,-0.1864
51.662,-0.1864
51.6571,-0.156
51.6567,-0.153299
51.6557,-0.1512
51.6495,-0.150699
51.6427,-0.145099
51.6395,-0.143399
51.6375,-0.140899
51.6349,-0.1368
51.6316,-0.130699
51.6308,-0.1287
51.6265,-0.1316
51.6241,-0.132099
51.6221,-0.133299
51.6195,-0.136699
51.6179,-0.1385
51.6136,-0.144399
51.6093,-0.137799
51.6079,-0.140699
51.6072,-0.142099
51.6045,-0.142799
51.6031,-0.142999
51.6028,-0.142899
51.5983,-0.155099
51.5995,-0.155299
51.6017,-0.155299
51.6029,-0.155299
51.6035,-0.155399
51.6036,-0.155599
51.6037,-0.156
51.6036,-0.156299
51.602,-0.1585
51.6006,-0.1593
51.5978,-0.160099
51.5972,-0.160199
51.5918,-0.1591
51.59,-0.158599
51.5863,-0.1566
51.5857,-0.1568
51.5837,-0.157199
51.5846,-0.159399
51.5837,-0.161
51.5828,-0.1618
51.5819,-0.162399
51.5773,-0.165299
51.5761,-0.165199
51.5737,-0.165199
51.5735,-0.165199
51.5733,-0.1689
51.5727,-0.171499
51.5718,-0.1735
51.5694,-0.175299
51.5695,-0.177699
51.5693,-0.1787
51.569,-0.180099
51.5673,-0.185799
51.5669,-0.187499
51.5662,-0.188399
51.5658,-0.188999
51.5643,-0.189699
51.5628,-0.189799
51.5624,-0.189699
51.5614,-0.190199
51.5606,-0.191499
51.5601,-0.192799
51.5589,-0.193999
51.5562,-0.193999
51.5541,-0.195699
51.5519,-0.196299
51.551,-0.199699
51.5524,-0.2012
51.5512,-0.202499
51.5533,-0.204699
51.5498,-0.209899
51.553,-0.2135
51.5592,-0.220599
51.5652,-0.227799
51.5713,-0.234399
51.5708,-0.237899
51.5708,-0.2387
51.571,-0.239599
51.5711,-0.243399
51.5707,-0.243999
51.5687,-0.244399
51.5681,-0.244799
51.568,-0.245599
51.5692,-0.2466
51.5702,-0.247399
