Latitude,Longitude
51.4354,0.166601
51.4334,0.165601
51.4314,0.164901
51.4297,0.164601
51.429,0.164401
51.4287,0.163101
51.4296,0.1582
51.4297,0.157201
51.4292,0.156901
51.4265,0.1561
51.4211,0.1536
51.4195,0.152901
51.4183,0.152601
51.4175,0.152401
51.4149,0.152001
51.4143,0.152001
51.414,0.152101
51.4121,0.154701
51.4115,0.155201
51.4103,0.155101
51.4093,0.155001
51.4095,0.147501
51.4134,0.1363
51.4146,0.132501
51.4147,0.131901
51.4143,0.127901
51.4139,0.1234
51.4133,0.119601
51.412,0.114701
51.412,0.113101
51.4127,0.110401
51.4139,0.107601
51.4155,0.104701
51.42,0.0948
51.4207,0.0924
51.4221,0.0896
51.4286,0.0828
51.4301,0.0808
51.4305,0.0797
51.4317,0.076
51.4329,0.0766
51.4344,0.078199
51.436,0.0764
51.4397,0.0801
51.4389,0.080699
51.4408,0.0831
51.4414,0.0822
51.4426,0.0835
51.4416,0.0847
51.4439,0.0873
51.4455,0.0856
51.4478,0.087999
51.4535,0.087999
51.4578,0.086499
51.4587,0.0804
51.4595,0.0785
51.4601,0.0818
51.462,0.0814
51.4631,0.0816
51.4645,0.0837
51.4661,0.0845
51.4683,0.086099
51.4699,0.0874
51.471,0.0894
51.4718,0.0925
51.4725,0.0927
51.4738,0.093199
51.4762,0.0987
51.4768,0.0995
51.4769,0.1015
51.4764,0.1038
51.4757,0.105401
51.4761,0.106901
51.4764,0.109101
51.4765,0.109501
51.4744,0.111801
51.4749,0.112401
51.4769,0.114601
51.4799,0.119501
51.4798,0.1207
51.4791,0.122901
51.4797,0.1236
51.4823,0.1234
51.4853,0.122601
51.4861,0.122501
51.4878,0.122301
51.4944,0.122301
51.497,0.1232
51.4988,0.1236
51.5131,0.129201
51.5161,0.13
51.5135,0.136601
51.5114,0.142701
51.5104,0.146901
51.5093,0.1534
51.5086,0.160001
51.5078,0.164901
51.5066,0.168901
51.5052,0.171401
51.5039,0.1734
51.5021,0.174501
51.4964,0.176401
51.492,0.177201
51.4889,0.178301
51.4866,0.181701
51.4843,0.188
51.484,0.193501
51.4843,0.196801
51.4846,0.198901
51.4854,0.203701
51.4857,0.207401
51.4855,0.2107
51.4853,0.212401
51.4831,0.221001
51.48,0.2188
51.4795,0.2182
51.4784,0.217301
51.4772,0.216601
51.4767,0.2163
51.4762,0.2157
51.4757,0.215001
51.4752,0.2134
51.4749,0.212901
51.4746,0.212601
51.4729,0.212001
51.4723,0.2115
51.4717,0.2109
51.471,0.210601
51.4704,0.210601
51.4689,0.2111
51.4677,0.211601
51.4667,0.211601
51.4631,0.211601
51.4627,0.2111
51.4614,0.208501
51.4601,0.2063
51.4592,0.204801
51.4579,0.202201
51.457,0.2009
51.456,0.200001
51.4504,0.192601
51.4484,0.190601
51.4473,0.190001
51.4463,0.1888
51.4449,0.186001
51.4439,0.1838
51.4433,0.1813
51.4439,0.178
51.4442,0.175201
51.4414,0.172801
51.4398,0.1705
51.4391,0.169501
51.4374,0.167901
51.4354,0.166601
