Latitude,Longitude
51.531,-0.225799
51.5313,-0.227599
51.5318,-0.229899
51.5319,-0.231299
51.5325,-0.2362
51.5338,-0.242
51.5339,-0.246899
51.5337,-0.2487
51.5336,-0.2507
51.534,-0.255599
51.5334,-0.2591
51.5346,-0.259999
51.531,-0.265699
51.5296,-0.270599
51.5293,-0.273999
51.5299,-0.279699
51.531,-0.285099
51.5324,-0.287899
51.5343,-0.283099
51.5322,-0.279599
51.5323,-0.277699
51.5328,-0.276299
51.536,-0.275799
51.5383,-0.2816
51.5379,-0.282499
51.5359,-0.289399
51.5335,-0.295399
51.5324,-0.298399
51.5333,-0.303999
51.5344,-0.3016
51.5381,-0.302499
51.5403,-0.3039
51.5425,-0.301499
51.5454,-0.303199
51.5465,-0.304399
51.5474,-0.306299
51.5485,-0.308799
51.549,-0.3095
51.5526,-0.318399
51.5539,-0.3243
51.5551,-0.330899
51.5556,-0.3362
51.5592,-0.3339
51.563,-0.330099
51.5644,-0.327299
51.5662,-0.326699
51.5693,-0.327499
51.5698,-0.327399
51.5704,-0.3218
51.5706,-0.3218
51.5785,-0.3241
51.581,-0.324699
51.5816,-0.321201
51.5833,-0.317799
51.5845,-0.313599
51.5857,-0.308999
51.587,-0.305699
51.5872,-0.3014
51.5867,-0.294899
51.5861,-0.289699
51.5853,-0.284699
51.5852,-0.282299
51.5863,-0.2818
51.5892,-0.283199
51.5903,-0.284399
51.5921,-0.287599
51.5925,-0.287599
51.5954,-0.278799
51.5958,-0.276099
51.5966,-0.274399
51.5977,-0.272999
51.5993,-0.269399
51.5993,-0.267799
51.6002,-0.265199
51.5848,-0.247399
51.5837,-0.247599
51.5826,-0.249899
51.5806,-0.250899
51.5794,-0.251001
51.5766,-0.250599
51.5741,-0.249799
51.5737,-0.249999
51.5706,-0.247699
51.5702,-0.247399
51.5692,-0.2466
51.568,-0.245599
51.5681,-0.244799
51.5687,-0.244399
51.5707,-0.243999
51.5711,-0.243399
51.571,-0.239599
51.5708,-0.2387
51.5708,-0.237899
51.5713,-0.234399
51.5652,-0.227799
51.5592,-0.220599
51.553,-0.2135
51.5498,-0.209899
51.5398,-0.197199
51.5372,-0.193399
51.5352,-0.194199
51.5335,-0.1939
51.5288,-0.198299
51.5288,-0.1987
51.5303,-0.1993
51.5318,-0.200499
51.5326,-0.202399
51.5329,-0.204899
51.5319,-0.214699
51.5316,-0.217299
51.5291,-0.2187
51.5297,-0.220699
51.5306,-0.223599
51.531,-0.225799
