Latitude,Longitude
51.3295,0.0044
51.3325,0.0035
51.3338,0.0031
51.3357,0.0021
51.3364,0.001299
51.3372,0.0004
51.3385,-0.001201
51.3398,-0.0019
51.3429,-0.003
51.3462,-0.004
51.3497,-0.0057
51.3545,-0.0083
51.3558,-0.0096
51.3565,-0.0117
51.3575,-0.013501
51.3582,-0.0153
51.3583,-0.0171
51.3625,-0.021801
51.3653,-0.0234
51.3677,-0.0246
51.3675,-0.026001
51.3692,-0.0272
51.3692,-0.026001
51.3718,-0.0269
51.3779,-0.0304
51.3783,-0.0334
51.378,-0.034
51.3778,-0.036201
51.3781,-0.0372
51.3797,-0.0378
51.3819,-0.038501
51.3828,-0.038501
51.3841,-0.0378
51.3871,-0.0373
51.3892,-0.039
51.39,-0.041601
51.3897,-0.043701
51.391,-0.0465
51.3927,-0.0475
51.3943,-0.0533
51.3946,-0.053
51.3961,-0.051401
51.3971,-0.051001
51.3984,-0.051801
51.402,-0.0565
51.4019,-0.056801
51.4001,-0.0603
51.4001,-0.0605
51.4009,-0.0617
51.4019,-0.063501
51.4022,-0.0654
51.4031,-0.0683
51.4046,-0.0707
51.4078,-0.0738
51.4104,-0.0755
51.4114,-0.076401
51.4129,-0.0802
51.4155,-0.081601
51.4169,-0.081801
51.4202,-0.0786
51.4217,-0.0778
51.4219,-0.0777
51.4224,-0.0774
51.4255,-0.0751
51.4263,-0.0733
51.4268,-0.072001
51.4266,-0.0676
51.4215,-0.0563
51.423,-0.0559
51.4225,-0.0525
51.4212,-0.0531
51.422,-0.0486
51.421,-0.048701
51.4215,-0.044
51.4225,-0.0427
51.4225,-0.039101
51.4236,-0.0381
51.4243,-0.0332
51.4242,-0.0319
51.4224,-0.026801
51.4219,-0.0258
51.4215,-0.0254
51.4193,-0.021801
51.4191,-0.0219
51.4174,-0.0224
51.4167,-0.0219
51.4151,-0.016201
51.4132,-0.0103
51.4132,-0.0092
51.4137,-0.0071
51.4145,-0.0042
51.4154,-0.003501
51.4161,-0.0034
51.4174,-0.0038
51.4176,-0.0038
51.419,-0.0024
51.4197,-0.0013
51.4179,-0.0003
51.4164,0.0012
51.4155,0.0023
51.4167,0.0049
51.4175,0.006299
51.4189,0.0081
51.4196,0.0089
51.4219,0.0103
51.4236,0.012
51.4227,0.0128
51.424,0.0147
51.4246,0.0162
51.4259,0.015699
51.427,0.020499
51.4273,0.022999
51.427,0.025899
51.4244,0.0299
51.4228,0.0352
51.4251,0.038999
51.4273,0.0385
51.4342,0.0354
51.4327,0.0318
51.4329,0.030699
51.4339,0.03
51.4358,0.0283
51.4362,0.0281
51.4369,0.028199
51.4383,0.0285
51.4384,0.028599
51.4392,0.0293
51.4429,0.0298
51.4417,0.032
51.4421,0.035
51.44,0.041299
51.4372,0.045899
51.4331,0.050699
51.4277,0.056
51.4233,0.0619
51.4216,0.0649
51.4219,0.0674
51.4207,0.0677
51.4214,0.068799
51.4233,0.071
51.4267,0.0735
51.4317,0.076
51.4305,0.0797
51.4301,0.0808
51.4286,0.0828
51.4221,0.0896
51.4207,0.0924
51.42,0.0948
51.4155,0.104701
51.4139,0.107601
51.4127,0.110401
51.412,0.113101
51.412,0.114701
51.4133,0.119601
51.4139,0.1234
51.4143,0.127901
51.4147,0.131901
51.4146,0.132501
51.4134,0.1363
51.4095,0.147501
51.4093,0.155001
51.409,0.1561
51.4087,0.157001
51.4083,0.157801
51.408,0.158101
51.4075,0.1584
51.4069,0.1586
51.4049,0.1588
51.4027,0.1584
51.3987,0.156601
51.3968,0.156401
51.3951,0.1565
51.3941,0.157101
51.3925,0.158301
51.3907,0.1607
51.3899,0.1611
51.3895,0.161201
51.3891,0.1609
51.3889,0.1607
51.3883,0.160001
51.3873,0.157901
51.3858,0.154501
51.3855,0.154
51.3851,0.153701
51.3847,0.153501
51.3829,0.1532
51.3799,0.1538
51.3778,0.154401
51.3767,0.154701
51.3718,0.156801
51.3712,0.156701
51.3683,0.155201
51.3646,0.152801
51.3623,0.151401
51.3593,0.150001
51.3569,0.148301
51.3537,0.145601
51.3515,0.1438
51.3493,0.1413
51.3486,0.140801
51.3444,0.139301
51.3441,0.1388
51.3437,0.137801
51.3433,0.135801
51.3433,0.133301
51.3432,0.131201
51.3431,0.126201
51.343,0.123
51.3421,0.122001
51.341,0.1211
51.3397,0.120201
51.3391,0.119901
51.3382,0.119601
51.3377,0.119801
51.336,0.1211
51.3349,0.121801
51.3329,0.1234
51.3304,0.125
51.33,0.124101
51.3302,0.1209
51.3316,0.117501
51.3314,0.116801
51.3298,0.114801
51.3282,0.1138
51.3279,0.1136
51.3279,0.113
51.328,0.1082
51.3273,0.102301
51.327,0.101001
51.3265,0.100101
51.3233,0.0953
51.3206,0.0916
51.3163,0.0867
51.315,0.0856
51.314,0.0851
51.31,0.0848
51.3057,0.0851
51.3044,0.0854
51.3012,0.0878
51.2973,0.091
51.2969,0.0906
51.2956,0.0891
51.2932,0.086099
51.293,0.0852
51.2922,0.0769
51.292,0.0728
51.2915,0.068599
51.2913,0.0664
51.2908,0.063599
51.2904,0.061499
51.289,0.0597
51.2892,0.0581
51.29,0.0568
51.2904,0.0558
51.2911,0.0541
51.2915,0.052999
51.2922,0.0516
51.2926,0.0506
51.2932,0.0496
51.2935,0.0485
51.2936,0.046499
51.2926,0.0441
51.2944,0.043399
51.2952,0.0433
51.2972,0.043199
51.299,0.043799
51.3004,0.0441
51.3008,0.043999
51.3018,0.0435
51.3026,0.042999
51.3036,0.0421
51.3041,0.0412
51.3055,0.038799
51.3063,0.037
51.3066,0.036099
51.3069,0.0348
51.3068,0.0335
51.3063,0.0325
51.3044,0.0289
51.3032,0.0268
51.3013,0.0235
51.3001,0.0221
51.2988,0.0208
51.2982,0.020499
51.2974,0.0204
51.297,0.020499
51.2956,0.021299
51.2947,0.021099
51.2938,0.0208
51.2926,0.0203
51.2913,0.0195
51.2911,0.0192
51.2908,0.016099
51.2911,0.015499
51.2933,0.0146
51.3036,0.0114
51.31,0.0092
51.3105,0.0093
51.3114,0.0097
51.3124,0.0102
51.3154,0.0118
51.3159,0.0119
51.3163,0.0117
51.3166,0.011499
51.3166,0.0112
51.3162,0.0081
51.3163,0.0069
51.3169,0.0056
51.3178,0.0053
51.3184,0.0052
51.3192,0.0052
51.3256,0.006299
51.326,0.0062
51.3295,0.0044
