Latitude,Longitude
51.5189,-0.105599
51.519,-0.109399
51.519,-0.1137
51.518,-0.1137
51.5143,-0.112
51.514,-0.112499
51.5139,-0.112699
51.5136,-0.1143
51.5155,-0.114999
51.513,-0.121299
51.5111,-0.121899
51.5097,-0.1263
51.5071,-0.129199
51.5075,-0.130599
51.5106,-0.132899
51.5113,-0.1341
51.5156,-0.137099
51.5195,-0.140299
51.5226,-0.142899
51.5237,-0.143999
51.524,-0.144599
51.5238,-0.147399
51.5236,-0.148199
51.5249,-0.1485
51.5385,-0.152599
51.5386,-0.152699
51.5387,-0.152999
51.5387,-0.154699
51.5383,-0.156899
51.5361,-0.1618
51.5345,-0.165299
51.5372,-0.168999
51.5368,-0.172499
51.5393,-0.173099
51.5395,-0.175399
51.5392,-0.1793
51.539,-0.1837
51.5381,-0.186899
51.537,-0.1891
51.5357,-0.190699
51.5354,-0.191
51.5372,-0.193399
51.5398,-0.197199
51.5498,-0.209899
51.5533,-0.204699
51.5512,-0.202499
51.5524,-0.2012
51.551,-0.199699
51.5519,-0.196299
51.5541,-0.195699
51.5562,-0.193999
51.5589,-0.193999
51.5601,-0.192799
51.5606,-0.191499
51.5614,-0.190199
51.5624,-0.189699
51.5628,-0.189799
51.5643,-0.189699
51.5658,-0.188999
51.5662,-0.188399
51.5669,-0.187499
51.5673,-0.185799
51.569,-0.180099
51.5693,-0.1787
51.5695,-0.177699
51.5694,-0.175299
51.5718,-0.1735
51.5727,-0.171499
51.5733,-0.1689
51.5735,-0.165199
51.573,-0.1591
51.5708,-0.149899
51.5696,-0.144999
51.5687,-0.140099
51.5686,-0.139699
51.5652,-0.140399
51.5634,-0.140399
51.5583,-0.138799
51.5564,-0.137599
51.5547,-0.136
51.5531,-0.135199
51.5503,-0.131699
51.5473,-0.127999
51.5468,-0.1273
51.5454,-0.126899
51.5434,-0.1264
51.5415,-0.124399
51.5398,-0.121
51.5389,-0.121
51.5312,-0.1214
51.5306,-0.121
51.5313,-0.116
51.5301,-0.114899
51.5269,-0.112699
51.5239,-0.108099
51.5211,-0.1064
51.5189,-0.105599
