Latitude,Longitude
51.5094,-0.1112
51.5106,-0.1114
51.5108,-0.111499
51.5139,-0.112699
51.514,-0.112499
51.5143,-0.112
51.518,-0.1137
51.519,-0.1137
51.519,-0.109399
51.5189,-0.105599
51.5209,-0.0984
51.5227,-0.0972
51.5187,-0.0879
51.5201,-0.086001
51.522,-0.079501
51.5214,-0.0779
51.5205,-0.0767
51.5169,-0.0725
51.5137,-0.0699
51.5131,-0.0696
51.5125,-0.074501
51.5114,-0.082001
51.5113,-0.083
51.51,-0.0847
51.5098,-0.0848
51.5091,-0.0851
51.508,-0.0856
51.5092,-0.0944
51.5098,-0.0981
51.5098,-0.103799
51.5098,-0.108799
51.5094,-0.1112
