Latitude,Longitude
51.4852,-0.1298
51.484,-0.1335
51.4838,-0.136699
51.4843,-0.143599
51.4843,-0.146
51.484,-0.1495
51.4849,-0.149999
51.4857,-0.150099
51.487,-0.150499
51.4901,-0.152299
51.4916,-0.151
51.4951,-0.152499
51.4954,-0.151699
51.4975,-0.152699
51.4997,-0.1545
51.502,-0.155399
51.5012,-0.1587
51.4977,-0.1641
51.4985,-0.177699
51.5025,-0.177799
51.5024,-0.181699
51.5029,-0.185099
51.503,-0.188099
51.5045,-0.1895
51.5059,-0.190599
51.509,-0.190599
51.5129,-0.192099
51.5127,-0.1939
51.5163,-0.194999
51.5156,-0.200799
51.5179,-0.201899
51.5176,-0.202499
51.5198,-0.2041
51.5204,-0.202699
51.5205,-0.201299
51.5233,-0.200799
51.526,-0.207499
51.5277,-0.210599
51.529,-0.218299
51.5291,-0.2187
51.5316,-0.217299
51.5319,-0.214699
51.5329,-0.204899
51.5326,-0.202399
51.5318,-0.200499
51.5303,-0.1993
51.5288,-0.1987
51.5288,-0.198299
51.5335,-0.1939
51.5352,-0.194199
51.5372,-0.193399
51.5354,-0.191
51.5357,-0.190699
51.537,-0.1891
51.5381,-0.186899
51.539,-0.1837
51.5392,-0.1793
51.5395,-0.175399
51.5393,-0.173099
51.5368,-0.172499
51.5372,-0.168999
51.5345,-0.165299
51.5361,-0.1618
51.5383,-0.156899
51.5387,-0.154699
51.5387,-0.152999
51.5386,-0.152699
51.5385,-0.152599
51.5249,-0.1485
51.5236,-0.148199
51.5238,-0.147399
51.524,-0.144599
51.5237,-0.143999
51.5226,-0.142899
51.5195,-0.140299
51.5156,-0.137099
51.5113,-0.1341
51.5106,-0.132899
51.5075,-0.130599
51.5071,-0.129199
51.5097,-0.1263
51.5111,-0.121899
51.513,-0.121299
51.5155,-0.114999
51.5136,-0.1143
51.5139,-0.112699
51.5108,-0.111499
51.5106,-0.1114
51.5094,-0.1112
51.5088,-0.1137
51.5074,-0.116499
51.5063,-0.117599
51.5046,-0.1187
51.4955,-0.120899
51.4912,-0.122099
51.4893,-0.123199
51.4884,-0.123799
51.4877,-0.124699
51.4862,-0.127199
51.4852,-0.1298
