Latitude,Longitude
51.3197,-0.0773
51.3186,-0.0781
51.3178,-0.0781
51.3158,-0.0807
51.3157,-0.0808
51.3153,-0.0805
51.3129,-0.0777
51.3122,-0.0779
51.3115,-0.0782
51.311,-0.078501
51.3105,-0.079
51.3091,-0.0815
51.3087,-0.0822
51.3083,-0.0829
51.3078,-0.083701
51.3063,-0.0853
51.3052,-0.0861
51.3033,-0.086601
51.3024,-0.087001
51.302,-0.0874
51.3016,-0.0879
51.3012,-0.0892
51.3003,-0.0921
51.2994,-0.0948
51.2981,-0.0982
51.2971,-0.100899
51.2955,-0.105799
51.2944,-0.1085
51.2936,-0.109799
51.2926,-0.111299
51.2919,-0.112499
51.2911,-0.1135
51.2904,-0.1139
51.2878,-0.115099
51.2875,-0.115499
51.2875,-0.1191
51.2871,-0.122399
51.2871,-0.123599
51.2872,-0.1241
51.2899,-0.1264
51.2919,-0.127999
51.293,-0.128999
51.297,-0.132099
51.2993,-0.133999
51.3001,-0.134699
51.3005,-0.135299
51.3003,-0.142999
51.3007,-0.144599
51.3008,-0.144899
51.3014,-0.147799
51.3019,-0.150699
51.3021,-0.152499
51.3029,-0.153399
51.3045,-0.154599
51.3059,-0.155599
51.3094,-0.153199
51.3094,-0.1537
51.3093,-0.157699
51.3098,-0.157399
51.3141,-0.154999
51.3147,-0.155599
51.3157,-0.158399
51.3166,-0.159799
51.3171,-0.160199
51.3178,-0.160699
51.3196,-0.1612
51.3212,-0.1568
51.3212,-0.156699
51.3224,-0.153599
51.3231,-0.151499
51.3241,-0.147699
51.3237,-0.145299
51.3276,-0.143199
51.3294,-0.142299
51.3301,-0.142299
51.3316,-0.142999
51.3313,-0.144999
51.3321,-0.145699
51.3363,-0.146899
51.3396,-0.147699
51.34,-0.145799
51.3401,-0.145499
51.3405,-0.145499
51.3429,-0.142699
51.3446,-0.143099
51.3459,-0.1391
51.3465,-0.135399
51.3479,-0.131899
51.35,-0.129699
51.3492,-0.1287
51.3486,-0.126899
51.3473,-0.125399
51.3476,-0.120599
51.3522,-0.1195
51.3531,-0.120499
51.3547,-0.1212
51.3564,-0.121499
51.3563,-0.124399
51.3592,-0.124399
51.3612,-0.1214
51.3622,-0.122499
51.364,-0.124899
51.3642,-0.123199
51.3704,-0.124799
51.3781,-0.127199
51.3811,-0.129301
51.3858,-0.1312
51.3927,-0.132699
51.3936,-0.131699
51.3947,-0.130699
51.3971,-0.127899
51.3995,-0.127399
51.4061,-0.1314
51.4085,-0.1318
51.4119,-0.131099
51.4162,-0.127899
51.4207,-0.118999
51.4235,-0.114999
51.4235,-0.108199
51.423,-0.101699
51.4232,-0.0958
51.4235,-0.0924
51.4234,-0.0906
51.4212,-0.0881
51.4209,-0.0863
51.4204,-0.0829
51.4202,-0.0794
51.4202,-0.0786
51.4169,-0.081801
51.4155,-0.081601
51.4129,-0.0802
51.4114,-0.076401
51.4104,-0.0755
51.4078,-0.0738
51.4046,-0.0707
51.4031,-0.0683
51.4022,-0.0654
51.4019,-0.063501
51.4009,-0.0617
51.4001,-0.0605
51.4001,-0.0603
51.4019,-0.056801
51.402,-0.0565
51.3984,-0.051801
51.3971,-0.051001
51.3961,-0.051401
51.3946,-0.053
51.3943,-0.0533
51.3927,-0.0475
51.391,-0.0465
51.3897,-0.043701
51.39,-0.041601
51.3892,-0.039
51.3871,-0.0373
51.3841,-0.0378
51.3828,-0.038501
51.3819,-0.038501
51.3797,-0.0378
51.3781,-0.0372
51.3778,-0.036201
51.378,-0.034
51.3783,-0.0334
51.3779,-0.0304
51.3718,-0.0269
51.3692,-0.026001
51.3692,-0.0272
51.3675,-0.026001
51.3677,-0.0246
51.3653,-0.0234
51.3625,-0.021801
51.3583,-0.0171
51.3582,-0.0153
51.3575,-0.013501
51.3565,-0.0117
51.3558,-0.0096
51.3545,-0.0083
51.3497,-0.0057
51.3462,-0.004
51.3429,-0.003
51.3398,-0.0019
51.3385,-0.001201
51.3372,0.0004
51.3364,0.001299
51.3357,0.0021
51.3338,0.0031
51.3325,0.0035
51.3295,0.0044
51.3287,-0.0003
51.3292,-0.0004
51.3331,-0.0058
51.3335,-0.0079
51.3322,-0.01
51.3316,-0.011601
51.3321,-0.0133
51.3364,-0.018501
51.338,-0.02
51.3395,-0.0231
51.3401,-0.026201
51.3399,-0.0279
51.3395,-0.029301
51.3394,-0.0303
51.3395,-0.0326
51.3395,-0.038501
51.3394,-0.038901
51.339,-0.039
51.3368,-0.0392
51.3337,-0.0397
51.3327,-0.0399
51.3321,-0.0404
51.3318,-0.0419
51.332,-0.0432
51.3324,-0.044501
51.3329,-0.0465
51.3332,-0.0473
51.3328,-0.0474
51.33,-0.0473
51.3263,-0.0461
51.326,-0.046201
51.3255,-0.046601
51.3249,-0.0478
51.323,-0.0496
51.3226,-0.0503
51.3223,-0.051201
51.3219,-0.0532
51.3215,-0.0549
51.3206,-0.0582
51.3197,-0.061401
51.3195,-0.0631
51.3215,-0.0647
51.3213,-0.0673
51.3212,-0.0688
51.3209,-0.0723
51.32,-0.076201
51.3197,-0.0773
