Latitude,Longitude
51.5012,-0.408299
51.5021,-0.407699
51.5023,-0.406499
51.5028,-0.4043
51.5033,-0.402
51.507,-0.393099
51.5083,-0.3915
51.5092,-0.3908
51.5128,-0.3884
51.5155,-0.384799
51.5166,-0.383
51.5183,-0.3805
51.5196,-0.378999
51.5209,-0.377699
51.5246,-0.3744
51.528,-0.373199
51.53,-0.373399
51.5315,-0.389899
51.5318,-0.392599
51.5319,-0.394199
51.5328,-0.4067
51.5334,-0.408799
51.533,-0.412799
51.5339,-0.413399
51.5358,-0.415099
51.5366,-0.4157
51.5376,-0.415799
51.5386,-0.4166
51.5393,-0.4165
51.54,-0.4135
51.5407,-0.4018
51.5405,-0.3974
51.5412,-0.3938
51.5455,-0.395599
51.5447,-0.397999
51.5471,-0.399199
51.5514,-0.392399
51.5532,-0.388099
51.5555,-0.384399
51.5556,-0.384
51.5561,-0.3754
51.5536,-0.3735
51.5527,-0.373299
51.5536,-0.368199
51.5536,-0.367299
51.554,-0.366699
51.5557,-0.3637
51.558,-0.359199
51.5592,-0.347099
51.558,-0.345399
51.5569,-0.343099
51.5559,-0.338901
51.5556,-0.3365
51.5556,-0.3362
51.5551,-0.330899
51.5539,-0.3243
51.5526,-0.318399
51.549,-0.3095
51.5485,-0.308799
51.5474,-0.306299
51.5465,-0.304399
51.5454,-0.303199
51.5425,-0.301499
51.5403,-0.3039
51.5381,-0.302499
51.5344,-0.3016
51.5333,-0.303999
51.5324,-0.298399
51.5335,-0.295399
51.5359,-0.289399
51.5379,-0.282499
51.5383,-0.2816
51.536,-0.275799
51.5328,-0.276299
51.5323,-0.277699
51.5322,-0.279599
51.5343,-0.283099
51.5324,-0.287899
51.531,-0.285099
51.5299,-0.279699
51.5293,-0.273999
51.5296,-0.270599
51.531,-0.265699
51.5346,-0.259999
51.5334,-0.2591
51.534,-0.255599
51.5336,-0.2507
51.5337,-0.2487
51.5312,-0.251099
51.5305,-0.252099
51.53,-0.252899
51.5274,-0.250899
51.5246,-0.2527
51.5231,-0.252599
51.522,-0.252499
51.5192,-0.2517
51.5121,-0.2502
51.5078,-0.249199
51.5078,-0.2522
51.5046,-0.251899
51.5036,-0.258599
51.5047,-0.2592
51.5046,-0.262299
51.5041,-0.262001
51.5026,-0.2613
51.5013,-0.261001
51.4999,-0.260899
51.4963,-0.261699
51.4954,-0.262001
51.4951,-0.265899
51.4953,-0.2693
51.4964,-0.272099
51.4988,-0.275699
51.5038,-0.280799
51.5021,-0.2843
51.5018,-0.285299
51.5018,-0.285899
51.5025,-0.288099
51.5026,-0.289899
51.5035,-0.292001
51.5035,-0.294199
51.5027,-0.298599
51.5007,-0.302299
51.4981,-0.301
51.4968,-0.302999
51.4988,-0.303999
51.4987,-0.3066
51.4962,-0.306899
51.4941,-0.312699
51.4963,-0.315799
51.4979,-0.317299
51.4956,-0.323099
51.4973,-0.324899
51.4985,-0.3266
51.4972,-0.3299
51.4972,-0.330599
51.4967,-0.3341
51.4966,-0.338299
51.4964,-0.3426
51.4964,-0.343999
51.4968,-0.3445
51.4998,-0.347199
51.5008,-0.3482
51.5025,-0.349999
51.5024,-0.3516
51.5019,-0.353099
51.5005,-0.3566
51.4976,-0.361699
51.4943,-0.367699
51.4931,-0.3687
51.4924,-0.372
51.4931,-0.372299
51.4938,-0.3749
51.4955,-0.376499
51.4968,-0.377299
51.4967,-0.380199
51.4957,-0.384
51.4959,-0.385799
51.4965,-0.388299
51.4972,-0.3939
51.4989,-0.4011
51.5011,-0.408099
51.5012,-0.408299
