Latitude,Longitude
51.6093,-0.137799
51.6136,-0.144399
51.6179,-0.1385
51.6195,-0.136699
51.6221,-0.133299
51.6241,-0.132099
51.6265,-0.1316
51.6308,-0.1287
51.6316,-0.130699
51.6349,-0.1368
51.6375,-0.140899
51.6395,-0.143399
51.6427,-0.145099
51.6495,-0.150699
51.6557,-0.1512
51.6567,-0.153299
51.6571,-0.156
51.662,-0.1864
51.6629,-0.1864
51.6659,-0.180799
51.6662,-0.178099
51.6675,-0.1766
51.6678,-0.174899
51.669,-0.174399
51.6718,-0.177299
51.6723,-0.1764
51.6745,-0.172699
51.6771,-0.1691
51.683,-0.162199
51.6847,-0.161499
51.6945,-0.159599
51.6954,-0.155499
51.6936,-0.1464
51.6929,-0.143199
51.6931,-0.135599
51.6937,-0.126801
51.695,-0.121899
51.6947,-0.117099
51.6932,-0.112
51.6907,-0.107099
51.6898,-0.094501
51.6885,-0.083
51.6879,-0.0801
51.6867,-0.0769
51.6843,-0.0706
51.6822,-0.066201
51.6813,-0.0623
51.6811,-0.0594
51.6811,-0.056001
51.6815,-0.052001
51.6817,-0.0459
51.6818,-0.043701
51.6815,-0.0411
51.6816,-0.038701
51.6815,-0.0321
51.6797,-0.019
51.6795,-0.011401
51.6764,-0.011201
51.6744,-0.0106
51.6734,-0.0109
51.6728,-0.011601
51.6714,-0.0117
51.6699,-0.011401
51.6688,-0.0111
51.6677,-0.0098
51.6609,-0.0082
51.6601,-0.0082
51.6588,-0.008501
51.6572,-0.0088
51.6547,-0.0103
51.6532,-0.0109
51.651,-0.0107
51.6489,-0.0108
51.6485,-0.0096
51.6445,-0.01
51.6433,-0.0109
51.642,-0.0111
51.6378,-0.011601
51.6363,-0.0123
51.6349,-0.0129
51.6329,-0.0127
51.6313,-0.014501
51.6297,-0.0171
51.6277,-0.019
51.627,-0.0204
51.6261,-0.0215
51.6237,-0.0227
51.6208,-0.0248
51.6181,-0.0269
51.6132,-0.0305
51.6093,-0.0327
51.609,-0.034
51.6079,-0.0363
51.6054,-0.041201
51.6054,-0.0433
51.6059,-0.0469
51.6076,-0.0482
51.6092,-0.0779
51.6095,-0.0819
51.6095,-0.0882
51.6087,-0.109599
51.61,-0.111
51.6074,-0.110799
51.6078,-0.113999
51.6098,-0.113999
51.611,-0.1235
51.6116,-0.1266
51.6115,-0.1316
51.6093,-0.137799
