Latitude,Longitude
51.4385,0.028199
51.4391,0.0273
51.4392,0.0241
51.4414,0.0224
51.446,0.0218
51.4491,0.02
51.4502,0.013799
51.4509,0.012999
51.4512,0.0185
51.4556,0.017999
51.4565,0.0142
51.4568,0.0126
51.4577,0.0117
51.461,0.0108
51.4662,0.0098
51.4666,0.0135
51.4685,0.0146
51.4697,0.0149
51.472,0.0187
51.4728,0.0189
51.4717,0.013599
51.4716,0.011099
51.4718,-0.0057
51.4717,-0.0084
51.4719,-0.0119
51.4709,-0.0127
51.4693,-0.0115
51.4679,-0.0134
51.4733,-0.021601
51.4751,-0.021201
51.4788,-0.016801
51.4813,-0.016201
51.4813,-0.018
51.4794,-0.0188
51.4791,-0.0202
51.4796,-0.024
51.4811,-0.0252
51.4819,-0.029501
51.4863,-0.027001
51.4877,-0.0255
51.4889,-0.025
51.4876,-0.0232
51.4858,-0.0198
51.4851,-0.0174
51.4846,-0.014301
51.4845,-0.012001
51.4847,-0.009501
51.4851,-0.0071
51.4856,-0.005
51.4865,-0.003701
51.4874,-0.0024
51.4882,0.000499
51.4888,0.001099
51.4897,0.0016
51.4904,0.0019
51.4912,0.0021
51.4924,0.0019
51.4939,0.0016
51.4944,0.001299
51.4953,0.0004
51.4962,-0.0019
51.4986,-0.004501
51.5002,-0.0051
51.5019,-0.0049
51.503,-0.004501
51.5041,-0.003501
51.5051,-0.0021
51.5061,-0.0005
51.5064,0.000899
51.5065,0.002
51.5065,0.003199
51.5059,0.005
51.5051,0.007
51.5031,0.0096
51.5005,0.0124
51.4983,0.0153
51.4967,0.0193
51.4959,0.0225
51.4958,0.026099
51.4958,0.0319
51.4957,0.0345
51.4962,0.0422
51.4957,0.0501
51.4959,0.0576
51.4961,0.0619
51.4965,0.0671
51.4973,0.0701
51.4989,0.0743
51.501,0.076499
51.5039,0.0796
51.5084,0.083199
51.5105,0.0856
51.5119,0.0898
51.5125,0.0922
51.5128,0.093799
51.5128,0.0969
51.5117,0.1005
51.5113,0.1057
51.5118,0.1115
51.5144,0.118101
51.5161,0.122101
51.5166,0.126
51.5161,0.13
51.5131,0.129201
51.4988,0.1236
51.497,0.1232
51.4944,0.122301
51.4878,0.122301
51.4861,0.122501
51.4853,0.122601
51.4823,0.1234
51.4797,0.1236
51.4791,0.122901
51.4798,0.1207
51.4799,0.119501
51.4769,0.114601
51.4749,0.112401
51.4744,0.111801
51.4765,0.109501
51.4764,0.109101
51.4761,0.106901
51.4757,0.105401
51.4764,0.1038
51.4769,0.1015
51.4768,0.0995
51.4762,0.0987
51.4738,0.093199
51.4725,0.0927
51.4718,0.0925
51.471,0.0894
51.4699,0.0874
51.4683,0.086099
51.4661,0.0845
51.4645,0.0837
51.4631,0.0816
51.462,0.0814
51.4601,0.0818
51.4595,0.0785
51.4587,0.0804
51.4578,0.086499
51.4535,0.087999
51.4478,0.087999
51.4455,0.0856
51.4439,0.0873
51.4416,0.0847
51.4426,0.0835
51.4414,0.0822
51.4408,0.0831
51.4389,0.080699
51.4397,0.0801
51.436,0.0764
51.4344,0.078199
51.4329,0.0766
51.4317,0.076
51.4267,0.0735
51.4233,0.071
51.4214,0.068799
51.4207,0.0677
51.4219,0.0674
51.4216,0.0649
51.4233,0.0619
51.4277,0.056
51.4331,0.050699
51.4372,0.045899
51.44,0.041299
51.4421,0.035
51.4417,0.032
51.4429,0.0298
51.4392,0.0293
51.4384,0.028599
51.4383,0.0285
51.4385,0.028199
