Latitude,Longitude
51.5214,-0.0779
51.522,-0.079501
51.5201,-0.086001
51.5232,-0.0858
51.5249,-0.0858
51.5267,-0.09
51.5283,-0.0958
51.5321,-0.0963
51.5375,-0.086601
51.5459,-0.0824
51.5459,-0.0763
51.5475,-0.076201
51.5514,-0.0779
51.5524,-0.085
51.5531,-0.0882
51.5543,-0.09
51.5588,-0.0898
51.5603,-0.0909
51.5605,-0.0934
51.5611,-0.0973
51.5626,-0.100499
51.5658,-0.103199
51.5673,-0.100599
51.5695,-0.0974
51.5711,-0.0952
51.5739,-0.094301
51.5746,-0.093701
51.5764,-0.0857
51.5765,-0.0847
51.5768,-0.0706
51.5775,-0.065
51.578,-0.0619
51.5753,-0.0604
51.5737,-0.0597
51.5713,-0.058701
51.5699,-0.0575
51.5699,-0.056201
51.5701,-0.054301
51.5701,-0.053
51.5689,-0.0517
51.5661,-0.048501
51.5641,-0.0474
51.562,-0.0459
51.5617,-0.0451
51.5603,-0.041201
51.56,-0.0382
51.5595,-0.034101
51.5594,-0.0328
51.5599,-0.031201
51.5596,-0.029301
51.5594,-0.0278
51.5583,-0.025
51.5571,-0.024101
51.5557,-0.0213
51.5545,-0.019101
51.551,-0.016401
51.5502,-0.0188
51.5494,-0.02
51.5445,-0.0172
51.5444,-0.0224
51.5434,-0.0278
51.5443,-0.0307
51.5442,-0.0329
51.5435,-0.0338
51.5407,-0.036201
51.5379,-0.039501
51.5368,-0.041801
51.5363,-0.0451
51.5359,-0.0475
51.5357,-0.049
51.5366,-0.0505
51.5366,-0.0515
51.5353,-0.0532
51.5348,-0.0603
51.5361,-0.061601
51.5367,-0.0625
51.5341,-0.064301
51.5338,-0.0658
51.532,-0.0672
51.5316,-0.0688
51.5307,-0.073501
51.5299,-0.0757
51.5271,-0.0763
51.5233,-0.076201
51.5223,-0.0767
51.5215,-0.0778
51.5214,-0.0779
