Latitude,Longitude
51.4753,-0.179399
51.4752,-0.178199
51.4753,-0.1762
51.4721,-0.178099
51.4682,-0.181499
51.4662,-0.183799
51.4648,-0.186
51.4641,-0.187499
51.4636,-0.190099
51.4636,-0.194199
51.4638,-0.197199
51.4642,-0.199799
51.4652,-0.2045
51.4658,-0.207099
51.4665,-0.209199
51.4678,-0.212799
51.4695,-0.216099
51.4709,-0.217799
51.4719,-0.218999
51.4743,-0.221299
51.4756,-0.222099
51.4771,-0.222699
51.4787,-0.222899
51.4818,-0.2235
51.4839,-0.2241
51.4861,-0.225599
51.4881,-0.228399
51.4891,-0.231
51.4895,-0.2335
51.489,-0.236
51.4882,-0.238599
51.4869,-0.2414
51.4857,-0.243799
51.4873,-0.244199
51.4894,-0.242799
51.4958,-0.2437
51.4994,-0.248299
51.4995,-0.2491
51.4983,-0.2549
51.4998,-0.2568
51.5009,-0.258599
51.5013,-0.2608
51.5013,-0.261001
51.5026,-0.2613
51.5041,-0.262001
51.5046,-0.262299
51.5047,-0.2592
51.5036,-0.258599
51.5046,-0.251899
51.5078,-0.2522
51.5078,-0.249199
51.5121,-0.2502
51.5192,-0.2517
51.522,-0.252499
51.5231,-0.252599
51.5246,-0.2527
51.5274,-0.250899
51.53,-0.252899
51.5305,-0.252099
51.5312,-0.251099
51.5337,-0.2487
51.5339,-0.246899
51.5338,-0.242
51.5325,-0.2362
51.5319,-0.231299
51.5318,-0.229899
51.5313,-0.227599
51.531,-0.225799
51.5307,-0.225799
51.5296,-0.225799
51.5272,-0.226
51.5249,-0.227299
51.5243,-0.227399
51.522,-0.227199
51.5201,-0.225899
51.518,-0.222699
51.5132,-0.216299
51.5114,-0.215199
51.5082,-0.213999
51.5068,-0.213999
51.5035,-0.214199
51.5025,-0.2141
51.5013,-0.2137
51.4998,-0.212799
51.4962,-0.209399
51.4927,-0.2045
51.4884,-0.197799
51.4854,-0.193199
51.4826,-0.190299
51.4781,-0.185199
51.4762,-0.182699
51.4753,-0.179399
