Latitude,Longitude
51.5686,-0.139699
51.5687,-0.140099
51.5696,-0.144999
51.5708,-0.149899
51.573,-0.1591
51.5735,-0.165199
51.5737,-0.165199
51.5761,-0.165199
51.5773,-0.165299
51.5819,-0.162399
51.5828,-0.1618
51.5837,-0.161
51.5846,-0.159399
51.5837,-0.157199
51.5857,-0.1568
51.5863,-0.1566
51.59,-0.158599
51.5918,-0.1591
51.5972,-0.160199
51.5978,-0.160099
51.6006,-0.1593
51.602,-0.1585
51.6036,-0.156299
51.6037,-0.156
51.6036,-0.155599
51.6035,-0.155399
51.6029,-0.155299
51.6017,-0.155299
51.5995,-0.155299
51.5983,-0.155099
51.6028,-0.142899
51.6031,-0.142999
51.6045,-0.142799
51.6072,-0.142099
51.6079,-0.140699
51.6093,-0.137799
51.6115,-0.1316
51.6116,-0.1266
51.611,-0.1235
51.6098,-0.113999
51.6078,-0.113999
51.6074,-0.110799
51.61,-0.111
51.6087,-0.109599
51.6095,-0.0882
51.6095,-0.0819
51.6092,-0.0779
51.6076,-0.0482
51.6059,-0.0469
51.6054,-0.0433
51.6046,-0.0436
51.6023,-0.047001
51.6001,-0.046801
51.5995,-0.048
51.5981,-0.051201
51.5956,-0.0526
51.5962,-0.0555
51.5946,-0.0561
51.5936,-0.054301
51.5919,-0.0549
51.592,-0.057001
51.5867,-0.0571
51.5844,-0.0577
51.5826,-0.061601
51.5818,-0.0648
51.58,-0.0644
51.5797,-0.0623
51.5783,-0.062001
51.578,-0.0619
51.5775,-0.065
51.5768,-0.0706
51.5765,-0.0847
51.5764,-0.0857
51.5746,-0.093701
51.5739,-0.094301
51.5711,-0.0952
51.5695,-0.0974
51.5673,-0.100599
51.5658,-0.103199
51.5664,-0.1041
51.5667,-0.104799
51.5683,-0.108099
51.5711,-0.113799
51.5725,-0.117399
51.5754,-0.121099
51.5753,-0.123299
51.5753,-0.124799
51.574,-0.130899
51.5716,-0.135299
51.5699,-0.1387
51.5686,-0.139699
