Latitude,Longitude
51.5561,-0.3754
51.5741,-0.388099
51.5764,-0.388799
51.5804,-0.390399
51.5867,-0.394301
51.5896,-0.395099
51.5914,-0.395799
51.5965,-0.397299
51.6108,-0.403099
51.6139,-0.4047
51.6146,-0.3916
51.6172,-0.383399
51.6218,-0.367299
51.6283,-0.347999
51.6297,-0.3445
51.6348,-0.333999
51.6397,-0.3218
51.6406,-0.3182
51.6394,-0.312399
51.6372,-0.304699
51.6366,-0.302499
51.635,-0.305599
51.6342,-0.307
51.633,-0.307799
51.6311,-0.3073
51.6287,-0.304399
51.6245,-0.299699
51.6206,-0.292001
51.6169,-0.285899
51.613,-0.280499
51.6004,-0.265299
51.6002,-0.265199
51.5993,-0.267799
51.5993,-0.269399
51.5977,-0.272999
51.5966,-0.274399
51.5958,-0.276099
51.5954,-0.278799
51.5925,-0.287599
51.5921,-0.287599
51.5903,-0.284399
51.5892,-0.283199
51.5863,-0.2818
51.5852,-0.282299
51.5853,-0.284699
51.5861,-0.289699
51.5867,-0.294899
51.5872,-0.3014
51.587,-0.305699
51.5857,-0.308999
51.5845,-0.313599
51.5833,-0.317799
51.5816,-0.321201
51.581,-0.324699
51.5785,-0.3241
51.5706,-0.3218
51.5704,-0.3218
51.5698,-0.327399
51.5693,-0.327499
51.5662,-0.326699
51.5644,-0.327299
51.563,-0.330099
51.5592,-0.3339
51.5556,-0.3362
51.5556,-0.3365
51.5559,-0.338901
51.5569,-0.343099
51.558,-0.345399
51.5592,-0.347099
51.558,-0.359199
51.5557,-0.3637
51.554,-0.366699
51.5536,-0.367299
51.5536,-0.368199
51.5527,-0.373299
51.5536,-0.3735
51.5561,-0.3754
