Latitude,Longitude
51.489,0.2132
51.4853,0.212401
51.4855,0.2107
51.4857,0.207401
51.4854,0.203701
51.4846,0.198901
51.4843,0.196801
51.484,0.193501
51.4843,0.188
51.4866,0.181701
51.4889,0.178301
51.492,0.177201
51.4964,0.176401
51.5021,0.174501
51.5039,0.1734
51.5052,0.171401
51.5066,0.168901
51.5078,0.164901
51.5086,0.160001
51.5107,0.160401
51.524,0.163301
51.5271,0.164601
51.5288,0.165201
51.5304,0.166901
51.5323,0.169
51.5343,0.170801
51.5354,0.173701
51.5374,0.175401
51.5386,0.1765
51.5395,0.177801
51.5401,0.178101
51.5412,0.178701
51.5423,0.179201
51.5438,0.179801
51.5444,0.1807
51.5454,0.182101
51.5463,0.185001
51.5469,0.185401
51.5481,0.1855
51.5496,0.1859
51.5505,0.186701
51.5517,0.188101
51.5522,0.1884
51.5528,0.188101
51.5532,0.187001
51.5561,0.183501
51.557,0.182501
51.5597,0.181901
51.5607,0.181901
51.5626,0.182401
51.5647,0.183301
51.5653,0.1832
51.5653,0.175001
51.5646,0.170301
51.5631,0.167301
51.5628,0.166901
51.5603,0.163101
51.5618,0.1611
51.5627,0.159501
51.5655,0.154101
51.5678,0.149501
51.568,0.149301
51.5682,0.149401
51.5684,0.149601
51.5683,0.1511
51.5684,0.1513
51.5686,0.151201
51.5699,0.1509
51.5741,0.151001
51.5767,0.150101
51.5817,0.151401
51.5875,0.1507
51.5922,0.149201
51.593,0.147801
51.5933,0.147301
51.5943,0.146701
51.5947,0.146601
51.5988,0.1463
51.603,0.145401
51.607,0.144101
51.6116,0.142401
51.6154,0.1405
51.6183,0.1388
51.6212,0.136701
51.6231,0.134701
51.6254,0.145001
51.6251,0.1561
51.624,0.171201
51.6236,0.178101
51.624,0.180401
51.6255,0.1884
51.6252,0.192701
51.6254,0.197401
51.6254,0.202601
51.6263,0.210001
51.6275,0.2155
51.6292,0.219401
51.6315,0.223501
51.6352,0.231401
51.6356,0.232201
51.6358,0.2332
51.6351,0.233501
51.6341,0.234801
51.6335,0.2361
51.6333,0.236901
51.6331,0.238501
51.6328,0.239701
51.6325,0.240801
51.6318,0.242101
51.6314,0.242601
51.6282,0.243701
51.6277,0.243301
51.6254,0.240401
51.6241,0.238
51.6237,0.237801
51.6231,0.2382
51.6219,0.242401
51.6202,0.246601
51.6188,0.251001
51.6181,0.252401
51.6176,0.2533
51.6161,0.255201
51.612,0.2599
51.61,0.2619
51.6087,0.263101
51.6079,0.2634
51.6068,0.262401
51.6048,0.2588
51.6037,0.258701
51.5996,0.259301
51.5993,0.260201
51.5992,0.2619
51.5987,0.270301
51.5924,0.269801
51.5884,0.269201
51.5878,0.2713
51.5873,0.273701
51.5866,0.276601
51.5856,0.280201
51.5857,0.282601
51.5864,0.287201
51.5864,0.288101
51.586,0.2888
51.5845,0.290801
51.583,0.292701
51.5818,0.2963
51.5811,0.299101
51.5806,0.301801
51.581,0.305301
51.5808,0.306001
51.5806,0.306601
51.58,0.307701
51.5769,0.311201
51.5717,0.313901
51.5687,0.314901
51.566,0.315601
51.5589,0.3157
51.5569,0.316001
51.5562,0.316701
51.5552,0.317801
51.5547,0.318501
51.5543,0.319301
51.5538,0.320101
51.5532,0.320601
51.5525,0.3209
51.5519,0.321601
51.5513,0.322701
51.551,0.324801
51.5506,0.3257
51.5502,0.326401
51.5498,0.327001
51.5494,0.327401
51.5482,0.328
51.547,0.3282
51.5442,0.327501
51.5423,0.329101
51.542,0.329301
51.541,0.329
51.5404,0.3286
51.5402,0.3284
51.54,0.328
51.5396,0.322301
51.539,0.307201
51.5388,0.305601
51.5386,0.304401
51.5382,0.303101
51.5375,0.3015
51.5371,0.301001
51.5358,0.299501
51.5349,0.298901
51.5346,0.2984
51.5334,0.279201
51.5331,0.272801
51.5331,0.271001
51.533,0.2686
51.5327,0.267301
51.5323,0.267201
51.5316,0.267201
51.5242,0.2682
51.5236,0.267901
51.5228,0.267401
51.5218,0.266601
51.5203,0.264801
51.5193,0.2636
51.5188,0.262801
51.5184,0.261001
51.5184,0.259701
51.5186,0.258101
51.519,0.256801
51.5242,0.250401
51.5247,0.249801
51.5248,0.2486
51.5248,0.247801
51.5244,0.245601
51.5241,0.244601
51.5237,0.243701
51.5231,0.2432
51.5189,0.2415
51.5179,0.2413
51.5169,0.2413
51.5093,0.242201
51.5086,0.241801
51.5079,0.241001
51.5068,0.2388
51.506,0.236701
51.5059,0.234801
51.5082,0.224801
51.508,0.224401
51.5075,0.224101
51.5065,0.224101
51.4991,0.229701
51.4987,0.229401
51.4983,0.228
51.4959,0.216601
51.4955,0.215101
51.495,0.214701
51.4938,0.214301
51.4919,0.2138
51.489,0.2132
