Latitude,Longitude
51.5012,-0.408299
51.4904,-0.412899
51.481,-0.416299
51.4796,-0.4167
51.4786,-0.4167
51.4772,-0.4164
51.476,-0.4165
51.4753,-0.417099
51.4745,-0.417399
51.4733,-0.4175
51.4726,-0.416899
51.4723,-0.416099
51.4721,-0.4157
51.4705,-0.414399
51.4688,-0.417799
51.4669,-0.421
51.4665,-0.4223
51.4649,-0.427
51.4617,-0.433999
51.4601,-0.435699
51.4578,-0.437999
51.4562,-0.4402
51.4535,-0.442799
51.4534,-0.4438
51.4539,-0.449101
51.454,-0.453999
51.4558,-0.460099
51.4565,-0.459899
51.4571,-0.460299
51.4578,-0.461299
51.4611,-0.48
51.4612,-0.480599
51.462,-0.4846
51.4625,-0.487499
51.4625,-0.490499
51.4628,-0.493099
51.4643,-0.496001
51.4669,-0.4988
51.4676,-0.5009
51.4694,-0.506
51.4706,-0.505299
51.4726,-0.5039
51.4742,-0.503399
51.4772,-0.503199
51.4798,-0.502799
51.4811,-0.5024
51.4832,-0.501
51.4861,-0.497699
51.4893,-0.495199
51.4935,-0.492999
51.4958,-0.4917
51.4997,-0.489699
51.5037,-0.4876
51.5075,-0.487999
51.5099,-0.488999
51.5112,-0.489999
51.5122,-0.490299
51.5154,-0.490499
51.5174,-0.4919
51.518,-0.492001
51.5202,-0.4914
51.5213,-0.491
51.5222,-0.490799
51.5228,-0.4907
51.5239,-0.491
51.5254,-0.490799
51.5273,-0.4907
51.5302,-0.490799
51.5319,-0.489999
51.5334,-0.490299
51.5345,-0.490899
51.5376,-0.492499
51.5396,-0.493999
51.5402,-0.494501
51.5406,-0.494501
51.5424,-0.493299
51.5448,-0.4912
51.5483,-0.4873
51.5486,-0.486899
51.5503,-0.484199
51.551,-0.483099
51.5544,-0.478199
51.5561,-0.4768
51.5575,-0.4761
51.558,-0.476299
51.5581,-0.478599
51.5583,-0.480799
51.5591,-0.4812
51.5625,-0.480899
51.5659,-0.4815
51.5686,-0.481899
51.5719,-0.481801
51.5726,-0.482299
51.5739,-0.485399
51.5743,-0.4856
51.5749,-0.484899
51.5752,-0.484899
51.5759,-0.486
51.5763,-0.487199
51.5764,-0.4883
51.5778,-0.489699
51.5799,-0.490499
51.5814,-0.491499
51.5833,-0.4924
51.5852,-0.4944
51.5877,-0.4962
51.5904,-0.4978
51.5918,-0.498901
51.593,-0.499199
51.5953,-0.499199
51.6015,-0.5014
51.6021,-0.4995
51.6027,-0.4966
51.6032,-0.495199
51.6037,-0.495199
51.6046,-0.4964
51.6058,-0.497
51.6122,-0.497699
51.617,-0.497399
51.6189,-0.4971
51.6197,-0.4978
51.6208,-0.499999
51.6216,-0.5018
51.622,-0.502799
51.6228,-0.5029
51.6239,-0.5021
51.6248,-0.501299
51.6252,-0.5011
51.6255,-0.5014
51.6263,-0.502599
51.6274,-0.503
51.6289,-0.5024
51.6309,-0.500599
51.6318,-0.4995
51.6319,-0.4978
51.6295,-0.491099
51.6284,-0.4887
51.6272,-0.4848
51.6252,-0.4795
51.6215,-0.472001
51.6187,-0.467199
51.6177,-0.466401
51.6158,-0.463901
51.6132,-0.459999
51.6124,-0.4585
51.612,-0.457399
51.6142,-0.455599
51.6126,-0.452799
51.6138,-0.4504
51.6151,-0.448
51.6183,-0.446
51.6203,-0.444599
51.6205,-0.4443
51.6208,-0.442299
51.6207,-0.440599
51.6203,-0.438599
51.6198,-0.436601
51.6195,-0.4335
51.619,-0.4299
51.6186,-0.425599
51.6181,-0.4218
51.6164,-0.409501
51.6139,-0.404899
51.6139,-0.4047
51.6108,-0.403099
51.5965,-0.397299
51.5914,-0.395799
51.5896,-0.395099
51.5867,-0.394301
51.5804,-0.390399
51.5764,-0.388799
51.5741,-0.388099
51.5561,-0.3754
51.5556,-0.384
51.5555,-0.384399
51.5532,-0.388099
51.5514,-0.392399
51.5471,-0.399199
51.5447,-0.397999
51.5455,-0.395599
51.5412,-0.3938
51.5405,-0.3974
51.5407,-0.4018
51.54,-0.4135
51.5393,-0.4165
51.5386,-0.4166
51.5376,-0.415799
51.5366,-0.4157
51.5358,-0.415099
51.5339,-0.413399
51.533,-0.412799
51.5334,-0.408799
51.5328,-0.4067
51.5319,-0.394199
51.5318,-0.392599
51.5315,-0.389899
51.53,-0.373399
51.528,-0.373199
51.5246,-0.3744
51.5209,-0.377699
51.5196,-0.378999
51.5183,-0.3805
51.5166,-0.383
51.5155,-0.384799
51.5128,-0.3884
51.5092,-0.3908
51.5083,-0.3915
51.507,-0.393099
51.5033,-0.402
51.5028,-0.4043
51.5023,-0.406499
51.5021,-0.407699
51.5012,-0.408299
