Latitude,Longitude
51.4409,-0.4573
51.4438,-0.4585
51.4466,-0.459101
51.4488,-0.4595
51.4494,-0.460099
51.4497,-0.4614
51.4506,-0.461699
51.4558,-0.460099
51.454,-0.453999
51.4539,-0.449101
51.4534,-0.4438
51.4535,-0.442799
51.4562,-0.4402
51.4578,-0.437999
51.4601,-0.435699
51.4617,-0.433999
51.4649,-0.427
51.4665,-0.4223
51.4669,-0.421
51.4688,-0.417799
51.4705,-0.414399
51.4721,-0.4157
51.4723,-0.416099
51.4726,-0.416899
51.4733,-0.4175
51.4745,-0.417399
51.4753,-0.417099
51.476,-0.4165
51.4772,-0.4164
51.4786,-0.4167
51.4796,-0.4167
51.481,-0.416299
51.4904,-0.412899
51.5012,-0.408299
51.5011,-0.408099
51.4989,-0.4011
51.4972,-0.3939
51.4965,-0.388299
51.4959,-0.385799
51.4957,-0.384
51.4967,-0.380199
51.4968,-0.377299
51.4955,-0.376499
51.4938,-0.3749
51.4931,-0.372299
51.4924,-0.372
51.4931,-0.3687
51.4943,-0.367699
51.4976,-0.361699
51.5005,-0.3566
51.5019,-0.353099
51.5024,-0.3516
51.5025,-0.349999
51.5008,-0.3482
51.4998,-0.347199
51.4968,-0.3445
51.4964,-0.343999
51.4964,-0.3426
51.4966,-0.338299
51.4967,-0.3341
51.4972,-0.330599
51.4972,-0.3299
51.4985,-0.3266
51.4973,-0.324899
51.4956,-0.323099
51.4979,-0.317299
51.4963,-0.315799
51.4941,-0.312699
51.4962,-0.306899
51.4987,-0.3066
51.4988,-0.303999
51.4968,-0.302999
51.4981,-0.301
51.5007,-0.302299
51.5027,-0.298599
51.5035,-0.294199
51.5035,-0.292001
51.5026,-0.289899
51.5025,-0.288099
51.5018,-0.285899
51.5018,-0.285299
51.5021,-0.2843
51.5038,-0.280799
51.4988,-0.275699
51.4964,-0.272099
51.4953,-0.2693
51.4951,-0.265899
51.4954,-0.262001
51.4963,-0.261699
51.4999,-0.260899
51.5013,-0.261001
51.5013,-0.2608
51.5009,-0.258599
51.4998,-0.2568
51.4983,-0.2549
51.4995,-0.2491
51.4994,-0.248299
51.4958,-0.2437
51.4894,-0.242799
51.4873,-0.244199
51.4857,-0.243799
51.4848,-0.244999
51.4829,-0.246699
51.4811,-0.247499
51.4787,-0.247899
51.4759,-0.248599
51.4737,-0.250099
51.4721,-0.252599
51.4713,-0.255399
51.4707,-0.257499
51.4704,-0.2598
51.4705,-0.261699
51.4713,-0.2641
51.4727,-0.267199
51.4741,-0.2691
51.4757,-0.270599
51.4771,-0.2716
51.4791,-0.272699
51.4807,-0.273599
51.4829,-0.275199
51.4842,-0.2768
51.4854,-0.279199
51.4864,-0.281499
51.4867,-0.283599
51.4869,-0.285899
51.4865,-0.289399
51.4859,-0.292499
51.4853,-0.2943
51.4848,-0.295499
51.4832,-0.296899
51.4805,-0.2991
51.4769,-0.302499
51.4744,-0.305799
51.4733,-0.308299
51.4722,-0.311
51.4712,-0.314799
51.4708,-0.315899
51.4704,-0.316299
51.4697,-0.3166
51.4675,-0.3168
51.4652,-0.317199
51.4657,-0.319599
51.465,-0.321699
51.4645,-0.323199
51.4633,-0.323599
51.4612,-0.323399
51.4578,-0.322699
51.4575,-0.322899
51.4568,-0.325
51.4565,-0.328199
51.4559,-0.329999
51.4546,-0.335099
51.4546,-0.3359
51.4551,-0.3368
51.456,-0.338599
51.4578,-0.340099
51.4582,-0.340899
51.4584,-0.341899
51.4577,-0.3487
51.4575,-0.349799
51.4579,-0.3514
51.4587,-0.3564
51.4589,-0.3591
51.4588,-0.362399
51.4583,-0.372699
51.4578,-0.373599
51.4544,-0.375499
51.4486,-0.381099
51.4473,-0.382599
51.4466,-0.383599
51.4459,-0.3837
51.445,-0.383199
51.4441,-0.381
51.4431,-0.3774
51.4429,-0.374999
51.4431,-0.372399
51.443,-0.3708
51.4426,-0.369699
51.4415,-0.3685
51.4412,-0.3683
51.4391,-0.372599
51.4371,-0.3762
51.4364,-0.377499
51.4358,-0.377499
51.4353,-0.378099
51.4296,-0.387799
51.4236,-0.3825
51.4227,-0.381601
51.4219,-0.383399
51.4194,-0.385199
51.4201,-0.3864
51.4215,-0.391201
51.4227,-0.395199
51.4229,-0.3976
51.4226,-0.399799
51.422,-0.402499
51.4213,-0.4045
51.4213,-0.405299
51.4229,-0.407799
51.4252,-0.4099
51.4278,-0.410799
51.4293,-0.411499
51.4306,-0.412299
51.4313,-0.413599
51.4314,-0.415
51.4308,-0.416801
51.4282,-0.4214
51.4273,-0.423999
51.4268,-0.425599
51.4269,-0.427099
51.4271,-0.4294
51.4286,-0.434899
51.43,-0.439799
51.4306,-0.4407
51.4313,-0.4407
51.4344,-0.440599
51.4362,-0.4407
51.4368,-0.441001
51.4375,-0.4418
51.4399,-0.444699
51.4401,-0.445399
51.4393,-0.452999
51.4387,-0.4558
51.4387,-0.4562
51.439,-0.4564
51.4395,-0.456699
51.4409,-0.4573
