Latitude,Longitude
51.5189,-0.105599
51.5211,-0.1064
51.5239,-0.108099
51.5269,-0.112699
51.5301,-0.114899
51.5313,-0.116
51.5306,-0.121
51.5312,-0.1214
51.5389,-0.121
51.5398,-0.121
51.5415,-0.124399
51.5434,-0.1264
51.5454,-0.126899
51.5468,-0.1273
51.5473,-0.127999
51.5503,-0.131699
51.5531,-0.135199
51.5547,-0.136
51.5564,-0.137599
51.5583,-0.138799
51.5634,-0.140399
51.5652,-0.140399
51.5686,-0.139699
51.5699,-0.1387
51.5716,-0.135299
51.574,-0.130899
51.5753,-0.124799
51.5753,-0.123299
51.5754,-0.121099
51.5725,-0.117399
51.5711,-0.113799
51.5683,-0.108099
51.5667,-0.104799
51.5664,-0.1041
51.5658,-0.103199
51.5626,-0.100499
51.5611,-0.0973
51.5605,-0.0934
51.5603,-0.0909
51.5588,-0.0898
51.5543,-0.09
51.5531,-0.0882
51.5524,-0.085
51.5514,-0.0779
51.5475,-0.076201
51.5459,-0.0763
51.5459,-0.0824
51.5375,-0.086601
51.5321,-0.0963
51.5283,-0.0958
51.5267,-0.09
51.5249,-0.0858
51.5232,-0.0858
51.5201,-0.086001
51.5187,-0.0879
51.5227,-0.0972
51.5209,-0.0984
51.5189,-0.105599
