Latitude,Longitude
51.4753,-0.1762
51.4752,-0.178199
51.4753,-0.179399
51.4762,-0.182699
51.4781,-0.185199
51.4826,-0.190299
51.4854,-0.193199
51.4884,-0.197799
51.4927,-0.2045
51.4962,-0.209399
51.4998,-0.212799
51.5013,-0.2137
51.5025,-0.2141
51.5035,-0.214199
51.5068,-0.213999
51.5082,-0.213999
51.5114,-0.215199
51.5132,-0.216299
51.518,-0.222699
51.5201,-0.225899
51.522,-0.227199
51.5243,-0.227399
51.5249,-0.227299
51.5272,-0.226
51.5296,-0.225799
51.5307,-0.225799
51.531,-0.225799
51.5306,-0.223599
51.5297,-0.220699
51.5291,-0.2187
51.529,-0.218299
51.5277,-0.210599
51.526,-0.207499
51.5233,-0.200799
51.5205,-0.201299
51.5204,-0.202699
51.5198,-0.2041
51.5176,-0.202499
51.5179,-0.201899
51.5156,-0.200799
51.5163,-0.194999
51.5127,-0.1939
51.5129,-0.192099
51.509,-0.190599
51.5059,-0.190599
51.5045,-0.1895
51.503,-0.188099
51.5029,-0.185099
51.5024,-0.181699
51.5025,-0.177799
51.4985,-0.177699
51.4977,-0.1641
51.5012,-0.1587
51.502,-0.155399
51.4997,-0.1545
51.4975,-0.152699
51.4954,-0.151699
51.4951,-0.152499
51.4916,-0.151
51.4901,-0.152299
51.487,-0.150499
51.4857,-0.150099
51.4849,-0.149999
51.484,-0.1495
51.4832,-0.157599
51.4826,-0.162499
51.482,-0.166499
51.4815,-0.168999
51.4806,-0.171299
51.4795,-0.172799
51.4786,-0.173799
51.4773,-0.175199
51.4753,-0.1762
