Latitude,Longitude
51.3921,-0.318599
51.3929,-0.3187
51.3939,-0.318799
51.3944,-0.317099
51.3973,-0.313999
51.3998,-0.3112
51.4009,-0.310799
51.4024,-0.310299
51.4042,-0.310499
51.4065,-0.310099
51.4082,-0.309101
51.4086,-0.308199
51.409,-0.307799
51.41,-0.307999
51.4107,-0.308599
51.4137,-0.3095
51.4152,-0.309599
51.4158,-0.309399
51.4183,-0.308099
51.4199,-0.307399
51.4215,-0.307399
51.424,-0.308299
51.4256,-0.309599
51.4273,-0.312299
51.4276,-0.312499
51.4279,-0.312499
51.4292,-0.312599
51.4299,-0.312399
51.4339,-0.3112
51.4345,-0.310799
51.4345,-0.310199
51.4341,-0.3066
51.4335,-0.303501
51.4331,-0.302
51.4321,-0.299399
51.4314,-0.297199
51.4303,-0.2935
51.4295,-0.291
51.429,-0.289399
51.4285,-0.288299
51.4252,-0.2866
51.4243,-0.285699
51.4234,-0.284599
51.4228,-0.2835
51.4225,-0.282699
51.4224,-0.2812
51.4225,-0.280099
51.4227,-0.279799
51.4291,-0.273299
51.428,-0.271
51.4284,-0.270599
51.43,-0.268799
51.436,-0.2564
51.4382,-0.251899
51.4347,-0.248599
51.4337,-0.2485
51.4327,-0.249199
51.4305,-0.251299
51.4299,-0.251099
51.4275,-0.249199
51.4258,-0.2491
51.4241,-0.2485
51.4212,-0.246699
51.4177,-0.2468
51.4128,-0.247
51.41,-0.247399
51.4088,-0.247099
51.4065,-0.244699
51.4052,-0.243999
51.4037,-0.243999
51.4025,-0.245099
51.4024,-0.245399
51.4023,-0.245799
51.4017,-0.2464
51.4013,-0.246699
51.4,-0.247199
51.398,-0.247199
51.3965,-0.245499
51.3942,-0.241899
51.3927,-0.240299
51.3915,-0.239699
51.3902,-0.2391
51.3902,-0.2389
51.3912,-0.235299
51.3879,-0.2337
51.3875,-0.235199
51.3856,-0.240599
51.3836,-0.242
51.3804,-0.243199
51.3792,-0.243999
51.3776,-0.249999
51.3775,-0.255499
51.3773,-0.2587
51.3775,-0.260199
51.3765,-0.262699
51.3752,-0.2662
51.3747,-0.267899
51.3738,-0.269399
51.3725,-0.2714
51.3707,-0.273999
51.3693,-0.275799
51.3677,-0.278099
51.3658,-0.281099
51.3643,-0.284399
51.3623,-0.285499
51.3607,-0.285599
51.3584,-0.287499
51.3577,-0.2887
51.3573,-0.2891
51.3551,-0.290099
51.3523,-0.2916
51.351,-0.292499
51.3503,-0.294199
51.3488,-0.297399
51.3482,-0.298199
51.3473,-0.299199
51.3462,-0.299799
51.3448,-0.3006
51.3435,-0.301899
51.3417,-0.303299
51.3409,-0.3037
51.3406,-0.303799
51.3393,-0.303599
51.3377,-0.303399
51.3364,-0.3045
51.335,-0.307699
51.333,-0.309799
51.3317,-0.3116
51.3292,-0.315199
51.3279,-0.317899
51.3275,-0.318999
51.3273,-0.320699
51.3272,-0.323199
51.3272,-0.325
51.3274,-0.326499
51.3282,-0.327599
51.3287,-0.327999
51.3296,-0.327999
51.3308,-0.327799
51.333,-0.327199
51.344,-0.328199
51.353,-0.3291
51.3538,-0.328099
51.3552,-0.326899
51.3587,-0.3235
51.3669,-0.317599
51.373,-0.3135
51.3785,-0.310699
51.3807,-0.310499
51.381,-0.310799
51.3874,-0.316
51.3873,-0.317
51.3879,-0.317599
51.389,-0.3182
51.3913,-0.318399
51.3921,-0.318599
