Latitude,Longitude
51.4202,-0.0794
51.4204,-0.0829
51.4209,-0.0863
51.4212,-0.0881
51.4234,-0.0906
51.4235,-0.0924
51.4232,-0.0958
51.423,-0.101699
51.4235,-0.108199
51.4235,-0.114999
51.4207,-0.118999
51.4162,-0.127899
51.4119,-0.131099
51.412,-0.131299
51.4136,-0.136099
51.4121,-0.1366
51.4125,-0.139599
51.4134,-0.142099
51.415,-0.145699
51.4173,-0.143299
51.4185,-0.142099
51.421,-0.1387
51.4218,-0.138199
51.4248,-0.1389
51.4269,-0.1387
51.4308,-0.1387
51.4308,-0.1362
51.431,-0.135499
51.4317,-0.135499
51.4343,-0.135799
51.4364,-0.1366
51.437,-0.1366
51.439,-0.134599
51.4394,-0.1345
51.4404,-0.139799
51.4405,-0.140399
51.4412,-0.142699
51.443,-0.144799
51.4449,-0.145499
51.4464,-0.145499
51.4472,-0.145399
51.4489,-0.143799
51.45,-0.143199
51.452,-0.148199
51.4551,-0.147399
51.458,-0.148199
51.461,-0.149599
51.4635,-0.151
51.4669,-0.151
51.4683,-0.150299
51.4707,-0.145199
51.4725,-0.140099
51.4746,-0.135899
51.4771,-0.132899
51.481,-0.130399
51.4818,-0.1287
51.484,-0.129599
51.4842,-0.129699
51.4852,-0.1298
51.4862,-0.127199
51.4877,-0.124699
51.4884,-0.123799
51.4893,-0.123199
51.4912,-0.122099
51.4955,-0.120899
51.5046,-0.1187
51.5063,-0.117599
51.5074,-0.116499
51.5088,-0.1137
51.5094,-0.1112
51.5098,-0.108799
51.5088,-0.108599
51.5079,-0.1085
51.502,-0.107799
51.4983,-0.108999
51.4973,-0.110699
51.495,-0.110099
51.4941,-0.103999
51.4918,-0.101899
51.4866,-0.107399
51.4851,-0.105499
51.484,-0.106499
51.4812,-0.1039
51.4799,-0.106299
51.477,-0.099101
51.4757,-0.099101
51.4738,-0.099
51.4725,-0.098501
51.4716,-0.0977
51.4695,-0.0959
51.4703,-0.094301
51.4707,-0.0924
51.469,-0.091801
51.4676,-0.0905
51.466,-0.089501
51.4631,-0.089501
51.4618,-0.0903
51.4574,-0.096401
51.4553,-0.099
51.4547,-0.0998
51.4538,-0.100399
51.4527,-0.100499
51.452,-0.100099
51.4507,-0.0975
51.4481,-0.095
51.4464,-0.093901
51.4426,-0.091201
51.4384,-0.0892
51.4333,-0.0878
51.4296,-0.0856
51.4287,-0.084101
51.4269,-0.0826
51.4239,-0.081601
51.4238,-0.0805
51.4228,-0.0801
51.4219,-0.0782
51.4217,-0.0778
51.4202,-0.0786
51.4202,-0.0794
