Latitude,Longitude
51.4383,0.0285
51.4369,0.028199
51.4362,0.0281
51.4358,0.0283
51.4339,0.03
51.4329,0.030699
51.4327,0.0318
51.4342,0.0354
51.4273,0.0385
51.4251,0.038999
51.4228,0.0352
51.4244,0.0299
51.427,0.025899
51.4273,0.022999
51.427,0.020499
51.4259,0.015699
51.4246,0.0162
51.424,0.0147
51.4227,0.0128
51.4236,0.012
51.4219,0.0103
51.4196,0.0089
51.4189,0.0081
51.4175,0.006299
51.4167,0.0049
51.4155,0.0023
51.4164,0.0012
51.4179,-0.0003
51.4197,-0.0013
51.419,-0.0024
51.4176,-0.0038
51.4174,-0.0038
51.4161,-0.0034
51.4154,-0.003501
51.4145,-0.0042
51.4137,-0.0071
51.4132,-0.0092
51.4132,-0.0103
51.4151,-0.016201
51.4167,-0.0219
51.4174,-0.0224
51.4191,-0.0219
51.4193,-0.021801
51.4215,-0.0254
51.4219,-0.0258
51.4224,-0.026801
51.4242,-0.0319
51.4243,-0.0332
51.4236,-0.0381
51.4225,-0.039101
51.4225,-0.0427
51.4215,-0.044
51.421,-0.048701
51.422,-0.0486
51.4212,-0.0531
51.4225,-0.0525
51.423,-0.0559
51.4215,-0.0563
51.4266,-0.0676
51.4268,-0.072001
51.4263,-0.0733
51.4255,-0.0751
51.4259,-0.0752
51.4276,-0.0754
51.4304,-0.0756
51.4323,-0.0754
51.434,-0.0749
51.4349,-0.074301
51.4353,-0.0728
51.4357,-0.0701
51.4363,-0.0684
51.437,-0.067001
51.4382,-0.0672
51.4412,-0.0679
51.4419,-0.0688
51.4443,-0.0665
51.4483,-0.0631
51.4531,-0.057001
51.4505,-0.054301
51.4501,-0.0533
51.4516,-0.0507
51.4519,-0.049301
51.4516,-0.0477
51.4514,-0.046201
51.4518,-0.0442
51.4532,-0.042001
51.4559,-0.0404
51.4576,-0.0433
51.459,-0.0448
51.4607,-0.0456
51.4615,-0.0457
51.4628,-0.046201
51.4641,-0.0473
51.4661,-0.0496
51.467,-0.0504
51.4691,-0.051201
51.4721,-0.0527
51.4777,-0.0527
51.4789,-0.0538
51.4828,-0.0523
51.4867,-0.0523
51.4883,-0.0498
51.4895,-0.0459
51.4887,-0.0448
51.4889,-0.0436
51.4911,-0.0415
51.4922,-0.0421
51.4926,-0.0417
51.494,-0.041801
51.4946,-0.0409
51.4937,-0.0398
51.4928,-0.0344
51.4926,-0.0334
51.4926,-0.0297
51.4925,-0.0278
51.491,-0.0269
51.4897,-0.0258
51.4889,-0.025
51.4877,-0.0255
51.4863,-0.027001
51.4819,-0.029501
51.4811,-0.0252
51.4796,-0.024
51.4791,-0.0202
51.4794,-0.0188
51.4813,-0.018
51.4813,-0.016201
51.4788,-0.016801
51.4751,-0.021201
51.4733,-0.021601
51.4679,-0.0134
51.4693,-0.0115
51.4709,-0.0127
51.4719,-0.0119
51.4717,-0.0084
51.4718,-0.0057
51.4716,0.011099
51.4717,0.013599
51.4728,0.0189
51.472,0.0187
51.4697,0.0149
51.4685,0.0146
51.4666,0.0135
51.4662,0.0098
51.461,0.0108
51.4577,0.0117
51.4568,0.0126
51.4565,0.0142
51.4556,0.017999
51.4512,0.0185
51.4509,0.012999
51.4502,0.013799
51.4491,0.02
51.446,0.0218
51.4414,0.0224
51.4392,0.0241
51.4391,0.0273
51.4385,0.028199
51.4383,0.0285
