Latitude,Longitude
51.3879,-0.2337
51.3912,-0.235299
51.3902,-0.2389
51.3902,-0.2391
51.3915,-0.239699
51.3927,-0.240299
51.3942,-0.241899
51.3965,-0.245499
51.398,-0.247199
51.4,-0.247199
51.4013,-0.246699
51.4017,-0.2464
51.4023,-0.245799
51.4024,-0.245399
51.4025,-0.245099
51.4037,-0.243999
51.4052,-0.243999
51.4065,-0.244699
51.4088,-0.247099
51.41,-0.247399
51.4128,-0.247
51.4177,-0.2468
51.4212,-0.246699
51.4241,-0.2485
51.4258,-0.2491
51.4275,-0.249199
51.4299,-0.251099
51.4305,-0.251299
51.4327,-0.249199
51.4337,-0.2485
51.4347,-0.248599
51.4442,-0.225099
51.4444,-0.224399
51.4438,-0.2168
51.4442,-0.213799
51.4439,-0.212899
51.4423,-0.2118
51.4411,-0.208399
51.4412,-0.205899
51.4413,-0.2041
51.4423,-0.190399
51.4419,-0.189799
51.4403,-0.1887
51.4394,-0.188299
51.4386,-0.187999
51.4371,-0.187899
51.4351,-0.187899
51.433,-0.188799
51.4319,-0.188599
51.4306,-0.187999
51.4301,-0.187599
51.4296,-0.185899
51.4305,-0.183099
51.4305,-0.182199
51.43,-0.1812
51.426,-0.182499
51.4258,-0.182299
51.4255,-0.182
51.4252,-0.181899
51.4248,-0.181299
51.4252,-0.179199
51.4253,-0.178999
51.4243,-0.174699
51.423,-0.172099
51.4211,-0.167599
51.4201,-0.162199
51.4204,-0.1616
51.4234,-0.161299
51.4237,-0.160599
51.4219,-0.155599
51.4196,-0.1489
51.4185,-0.143399
51.4185,-0.142099
51.4173,-0.143299
51.415,-0.145699
51.4134,-0.142099
51.4125,-0.139599
51.4121,-0.1366
51.4136,-0.136099
51.412,-0.131299
51.4119,-0.131099
51.4085,-0.1318
51.4061,-0.1314
51.3995,-0.127399
51.3971,-0.127899
51.3947,-0.130699
51.3936,-0.131699
51.3927,-0.132699
51.3926,-0.132899
51.3919,-0.134799
51.3918,-0.135199
51.3906,-0.143799
51.3904,-0.144399
51.3902,-0.144399
51.3898,-0.1441
51.3891,-0.1435
51.3889,-0.143799
51.3889,-0.143999
51.3906,-0.154599
51.3902,-0.157899
51.3872,-0.1639
51.3904,-0.167699
51.391,-0.167699
51.3925,-0.166699
51.3929,-0.1668
51.3933,-0.172599
51.3921,-0.1739
51.3899,-0.176499
51.3895,-0.176899
51.3872,-0.180099
51.3859,-0.182199
51.3844,-0.186099
51.3885,-0.1939
51.3878,-0.195099
51.3844,-0.198999
51.3842,-0.199199
51.3862,-0.202799
51.3864,-0.203199
51.3892,-0.209199
51.3893,-0.2095
51.3885,-0.210399
51.3872,-0.211
51.3849,-0.212899
51.3797,-0.219399
51.3832,-0.2293
51.3837,-0.230299
51.3853,-0.231899
51.3879,-0.2337
