Latitude,Longitude
51.5087,0.0001
51.5099,-0.0036
51.5115,-0.0044
51.5153,-0.0031
51.521,-0.0022
51.5207,-0.0026
51.5194,-0.0032
51.5193,-0.004
51.5212,-0.006201
51.5219,-0.0077
51.5249,-0.0084
51.5274,-0.0097
51.5299,-0.0124
51.535,-0.0156
51.5376,-0.0182
51.54,-0.0186
51.5415,-0.0181
51.543,-0.0174
51.5445,-0.0172
51.5494,-0.02
51.5502,-0.0188
51.551,-0.016401
51.5519,-0.0119
51.5521,-0.008901
51.5521,-0.0088
51.5507,-0.0081
51.5506,-0.0079
51.5521,0.0045
51.5514,0.0056
51.5518,0.008599
51.5544,0.0094
51.5551,0.013799
51.5539,0.016299
51.5562,0.021499
51.5562,0.023799
51.5536,0.0242
51.553,0.0242
51.553,0.0268
51.5529,0.0294
51.5536,0.0367
51.5544,0.043799
51.5554,0.046499
51.5567,0.0478
51.5568,0.0474
51.5576,0.0453
51.5589,0.0435
51.5627,0.0425
51.5641,0.0458
51.5652,0.0492
51.565,0.050899
51.563,0.0528
51.5608,0.055499
51.5571,0.0597
51.5562,0.0604
51.5563,0.0641
51.5559,0.065
51.5556,0.065499
51.5543,0.066499
51.5531,0.0671
51.5492,0.068599
51.5433,0.0678
51.541,0.068599
51.5375,0.0706
51.5319,0.0741
51.5314,0.0747
51.5304,0.076099
51.5298,0.077
51.5294,0.0779
51.5283,0.0801
51.5267,0.0839
51.5265,0.0851
51.5263,0.0862
51.5262,0.0873
51.5264,0.0883
51.5266,0.0896
51.5264,0.0906
51.5261,0.0916
51.5258,0.0925
51.5251,0.092999
51.5227,0.0933
51.5213,0.0942
51.5197,0.0953
51.5183,0.0958
51.5164,0.0966
51.5147,0.0971
51.5128,0.0969
51.5128,0.093799
51.5125,0.0922
51.5119,0.0898
51.5105,0.0856
51.5084,0.083199
51.5039,0.0796
51.501,0.076499
51.4989,0.0743
51.4973,0.0701
51.4965,0.0671
51.4961,0.0619
51.4959,0.0576
51.4957,0.0501
51.4962,0.0422
51.4957,0.0345
51.4958,0.0319
51.4958,0.026099
51.4959,0.0225
51.4967,0.0193
51.4983,0.0153
51.5005,0.0124
51.5031,0.0096
51.5051,0.007
51.5059,0.005
51.5065,0.003199
51.5065,0.002
51.5064,0.000899
51.5079,0.0006
51.5087,0.0001
