Latitude,Longitude
51.5562,0.021499
51.5564,0.0214
51.5591,0.018199
51.5594,0.0145
51.5641,0.015
51.5643,0.0166
51.5644,0.0179
51.565,0.0192
51.5673,0.0195
51.5706,0.018199
51.5731,0.0171
51.5787,0.0173
51.5837,0.0167
51.5849,0.0167
51.5895,0.0156
51.5943,0.0133
51.5966,0.0128
51.599,0.013599
51.6047,0.0176
51.6066,0.018799
51.6087,0.0208
51.6105,0.0219
51.6127,0.021499
51.613,0.0212
51.6165,0.0167
51.618,0.0131
51.6188,0.0128
51.6196,0.0123
51.6211,0.0156
51.625,0.0214
51.6255,0.0219
51.6284,0.0235
51.6277,0.0243
51.6259,0.0271
51.624,0.0298
51.6213,0.033799
51.6172,0.038999
51.6161,0.0406
51.6145,0.0448
51.6135,0.0472
51.6124,0.0498
51.6119,0.051
51.6111,0.0537
51.6104,0.056099
51.6093,0.0598
51.6077,0.0647
51.6064,0.0685
51.6055,0.0714
51.6052,0.0742
51.6054,0.0768
51.6058,0.077999
51.606,0.0789
51.6062,0.08
51.6065,0.0817
51.6066,0.0833
51.6065,0.0852
51.6061,0.0869
51.606,0.0881
51.606,0.0896
51.6061,0.0916
51.6065,0.093399
51.6071,0.0942
51.6078,0.0948
51.6104,0.0949
51.6109,0.0948
51.6124,0.093999
51.6133,0.093799
51.6139,0.095
51.6143,0.0971
51.6129,0.0995
51.614,0.1034
51.6142,0.107401
51.6156,0.112001
51.6158,0.114
51.6155,0.116801
51.6155,0.118901
51.6157,0.121401
51.6165,0.124201
51.617,0.1252
51.6231,0.134701
51.6212,0.136701
51.6183,0.1388
51.6154,0.1405
51.6116,0.142401
51.607,0.144101
51.603,0.145401
51.5988,0.1463
51.5874,0.1311
51.5852,0.1282
51.5837,0.127999
51.5825,0.1284
51.5817,0.129101
51.5811,0.133501
51.5796,0.1332
51.5789,0.1315
51.5781,0.131
51.5764,0.1307
51.5728,0.131201
51.5674,0.1284
51.5651,0.124301
51.5639,0.119501
51.5598,0.1165
51.5589,0.1165
51.5578,0.1159
51.5575,0.112901
51.557,0.112601
51.5558,0.113301
51.553,0.110001
51.5522,0.1065
51.5505,0.102701
51.5479,0.096499
51.5474,0.0939
51.5493,0.0929
51.5492,0.0926
51.5469,0.085899
51.5468,0.0817
51.5447,0.073199
51.544,0.0704
51.5437,0.0692
51.5433,0.0678
51.5492,0.068599
51.5531,0.0671
51.5543,0.066499
51.5556,0.065499
51.5559,0.065
51.5563,0.0641
51.5562,0.0604
51.5571,0.0597
51.5608,0.055499
51.563,0.0528
51.565,0.050899
51.5652,0.0492
51.5641,0.0458
51.5627,0.0425
51.5589,0.0435
51.5576,0.0453
51.5568,0.0474
51.5567,0.0478
51.5554,0.046499
51.5544,0.043799
51.5536,0.0367
51.5529,0.0294
51.553,0.0268
51.553,0.0242
51.5536,0.0242
51.5562,0.023799
51.5562,0.021499
