Latitude,Longitude
51.4219,-0.383399
51.4227,-0.381601
51.4236,-0.3825
51.4296,-0.387799
51.4353,-0.378099
51.4358,-0.377499
51.4364,-0.377499
51.4371,-0.3762
51.4391,-0.372599
51.4412,-0.3683
51.4415,-0.3685
51.4426,-0.369699
51.443,-0.3708
51.4431,-0.372399
51.4429,-0.374999
51.4431,-0.3774
51.4441,-0.381
51.445,-0.383199
51.4459,-0.3837
51.4466,-0.383599
51.4473,-0.382599
51.4486,-0.381099
51.4544,-0.375499
51.4578,-0.373599
51.4583,-0.372699
51.4588,-0.362399
51.4589,-0.3591
51.4587,-0.3564
51.4579,-0.3514
51.4575,-0.349799
51.4577,-0.3487
51.4584,-0.341899
51.4582,-0.340899
51.4578,-0.340099
51.456,-0.338599
51.4551,-0.3368
51.4546,-0.3359
51.4546,-0.335099
51.4559,-0.329999
51.4565,-0.328199
51.4568,-0.325
51.4575,-0.322899
51.4578,-0.322699
51.4612,-0.323399
51.4633,-0.323599
51.4645,-0.323199
51.465,-0.321699
51.4657,-0.319599
51.4652,-0.317199
51.4675,-0.3168
51.4697,-0.3166
51.4704,-0.316299
51.4708,-0.315899
51.4712,-0.314799
51.4722,-0.311
51.4733,-0.308299
51.4744,-0.305799
51.4769,-0.302499
51.4805,-0.2991
51.4832,-0.296899
51.4848,-0.295499
51.4853,-0.2943
51.4859,-0.292499
51.4865,-0.289399
51.4869,-0.285899
51.4867,-0.283599
51.4864,-0.281499
51.4854,-0.279199
51.4842,-0.2768
51.4829,-0.275199
51.4807,-0.273599
51.4791,-0.272699
51.4771,-0.2716
51.4757,-0.270599
51.4741,-0.2691
51.4727,-0.267199
51.4713,-0.2641
51.4705,-0.261699
51.4704,-0.2598
51.4707,-0.257499
51.4713,-0.255399
51.4721,-0.252599
51.4737,-0.250099
51.4759,-0.248599
51.4787,-0.247899
51.4811,-0.247499
51.4829,-0.246699
51.4848,-0.244999
51.4857,-0.243799
51.4869,-0.2414
51.4882,-0.238599
51.489,-0.236
51.4895,-0.2335
51.4891,-0.231
51.4881,-0.228399
51.4861,-0.225599
51.4839,-0.2241
51.4818,-0.2235
51.4787,-0.222899
51.4771,-0.222699
51.4756,-0.222099
51.4743,-0.222599
51.4739,-0.222999
51.4724,-0.223999
51.4716,-0.2245
51.4723,-0.227399
51.4733,-0.232499
51.4722,-0.233099
51.4651,-0.236099
51.4648,-0.236299
51.4649,-0.238599
51.4653,-0.244899
51.4653,-0.247199
51.4655,-0.2495
51.4655,-0.250799
51.4638,-0.253501
51.4603,-0.2564
51.4574,-0.257999
51.456,-0.258399
51.4554,-0.256299
51.455,-0.255299
51.4547,-0.2549
51.4542,-0.253999
51.4535,-0.253299
51.4476,-0.244999
51.4433,-0.239699
51.4432,-0.240099
51.4382,-0.251899
51.436,-0.2564
51.43,-0.268799
51.4284,-0.270599
51.428,-0.271
51.4291,-0.273299
51.4227,-0.279799
51.4225,-0.280099
51.4224,-0.2812
51.4225,-0.282699
51.4228,-0.2835
51.4234,-0.284599
51.4243,-0.285699
51.4252,-0.2866
51.4285,-0.288299
51.429,-0.289399
51.4295,-0.291
51.4303,-0.2935
51.4314,-0.297199
51.4321,-0.299399
51.4331,-0.302
51.4335,-0.303501
51.4341,-0.3066
51.4345,-0.310199
51.4345,-0.310799
51.4339,-0.3112
51.4299,-0.312399
51.4292,-0.312599
51.4279,-0.312499
51.4276,-0.312499
51.4273,-0.312299
51.4256,-0.309599
51.424,-0.308299
51.4215,-0.307399
51.4199,-0.307399
51.4183,-0.308099
51.4158,-0.309399
51.4152,-0.309599
51.4137,-0.3095
51.4107,-0.308599
51.41,-0.307999
51.409,-0.307799
51.4086,-0.308199
51.4082,-0.309101
51.4065,-0.310099
51.4042,-0.310499
51.4024,-0.310299
51.4009,-0.310799
51.3998,-0.3112
51.3973,-0.313999
51.3944,-0.317099
51.3939,-0.318799
51.3935,-0.321
51.3933,-0.325
51.3942,-0.3266
51.3954,-0.328199
51.3969,-0.330199
51.4006,-0.334199
51.4038,-0.337399
51.4051,-0.339999
51.406,-0.342
51.4072,-0.344199
51.4096,-0.348799
51.4107,-0.352
51.4114,-0.353999
51.4122,-0.357
51.4123,-0.3586
51.4125,-0.360499
51.4122,-0.363599
51.4114,-0.368399
51.4104,-0.371601
51.4093,-0.3754
51.409,-0.377799
51.4091,-0.379199
51.4095,-0.3808
51.4101,-0.387001
51.4102,-0.388099
51.4138,-0.389199
51.4142,-0.388599
51.4141,-0.384799
51.4148,-0.3845
51.4194,-0.385199
51.4219,-0.383399
