Latitude,Longitude
51.4255,-0.0751
51.4224,-0.0774
51.4219,-0.0777
51.4217,-0.0778
51.4219,-0.0782
51.4228,-0.0801
51.4238,-0.0805
51.4239,-0.081601
51.4269,-0.0826
51.4287,-0.084101
51.4296,-0.0856
51.4333,-0.0878
51.4384,-0.0892
51.4426,-0.091201
51.4464,-0.093901
51.4481,-0.095
51.4507,-0.0975
51.452,-0.100099
51.4527,-0.100499
51.4538,-0.100399
51.4547,-0.0998
51.4553,-0.099
51.4574,-0.096401
51.4618,-0.0903
51.4631,-0.089501
51.466,-0.089501
51.4676,-0.0905
51.469,-0.091801
51.4707,-0.0924
51.4703,-0.094301
51.4695,-0.0959
51.4716,-0.0977
51.4725,-0.098501
51.4738,-0.099
51.4757,-0.099101
51.477,-0.099101
51.4799,-0.106299
51.4812,-0.1039
51.484,-0.106499
51.4851,-0.105499
51.4866,-0.107399
51.4918,-0.101899
51.4941,-0.103999
51.495,-0.110099
51.4973,-0.110699
51.4983,-0.108999
51.502,-0.107799
51.5079,-0.1085
51.5088,-0.108599
51.5098,-0.108799
51.5098,-0.103799
51.5098,-0.0981
51.5092,-0.0944
51.508,-0.0856
51.5075,-0.0831
51.5065,-0.078901
51.5059,-0.0746
51.5045,-0.0702
51.5033,-0.0656
51.502,-0.0624
51.5019,-0.0594
51.502,-0.0575
51.5026,-0.0556
51.5046,-0.0523
51.5066,-0.0486
51.5075,-0.0465
51.5081,-0.044
51.5085,-0.041201
51.5086,-0.0386
51.5085,-0.036801
51.5081,-0.033501
51.507,-0.0311
51.5062,-0.0301
51.5045,-0.028901
51.5013,-0.028701
51.4971,-0.0286
51.4945,-0.0283
51.4925,-0.0278
51.4926,-0.0297
51.4926,-0.0334
51.4928,-0.0344
51.4937,-0.0398
51.4946,-0.0409
51.494,-0.041801
51.4926,-0.0417
51.4922,-0.0421
51.4911,-0.0415
51.4889,-0.0436
51.4887,-0.0448
51.4895,-0.0459
51.4883,-0.0498
51.4867,-0.0523
51.4828,-0.0523
51.4789,-0.0538
51.4777,-0.0527
51.4721,-0.0527
51.4691,-0.051201
51.467,-0.0504
51.4661,-0.0496
51.4641,-0.0473
51.4628,-0.046201
51.4615,-0.0457
51.4607,-0.0456
51.459,-0.0448
51.4576,-0.0433
51.4559,-0.0404
51.4532,-0.042001
51.4518,-0.0442
51.4514,-0.046201
51.4516,-0.0477
51.4519,-0.049301
51.4516,-0.0507
51.4501,-0.0533
51.4505,-0.054301
51.4531,-0.057001
51.4483,-0.0631
51.4443,-0.0665
51.4419,-0.0688
51.4412,-0.0679
51.4382,-0.0672
51.437,-0.067001
51.4363,-0.0684
51.4357,-0.0701
51.4353,-0.0728
51.4349,-0.074301
51.434,-0.0749
51.4323,-0.0754
51.4304,-0.0756
51.4276,-0.0754
51.4259,-0.0752
51.4255,-0.0751
