Latitude,Longitude
51.3212,-0.1568
51.3226,-0.158299
51.3235,-0.159199
51.3249,-0.160499
51.3273,-0.1616
51.3287,-0.162
51.3294,-0.1635
51.3298,-0.164599
51.3301,-0.165599
51.33,-0.166099
51.33,-0.1662
51.3296,-0.168199
51.3297,-0.169699
51.3299,-0.170199
51.331,-0.170899
51.3319,-0.171499
51.3333,-0.172299
51.3352,-0.173799
51.3369,-0.176299
51.3401,-0.1812
51.3412,-0.183399
51.3442,-0.190699
51.3452,-0.192099
51.3455,-0.192599
51.3429,-0.194699
51.3418,-0.197199
51.3408,-0.199999
51.3388,-0.205499
51.3386,-0.206
51.3374,-0.2095
51.3365,-0.209699
51.3336,-0.209399
51.3329,-0.2095
51.3304,-0.210799
51.3301,-0.211499
51.3299,-0.215099
51.3302,-0.2187
51.331,-0.220299
51.3348,-0.2241
51.3366,-0.228099
51.3376,-0.228199
51.3392,-0.2264
51.3421,-0.221299
51.3442,-0.217799
51.3449,-0.2168
51.3456,-0.216099
51.346,-0.215899
51.3465,-0.215799
51.3484,-0.215699
51.3495,-0.216
51.3538,-0.2185
51.3581,-0.221099
51.3601,-0.223099
51.3617,-0.224599
51.3624,-0.225699
51.3632,-0.227199
51.364,-0.228399
51.3657,-0.229899
51.3672,-0.231899
51.368,-0.234199
51.3691,-0.238599
51.3663,-0.239799
51.3679,-0.245099
51.3694,-0.2445
51.3721,-0.2441
51.3746,-0.243999
51.3765,-0.243799
51.3792,-0.243999
51.3804,-0.243199
51.3836,-0.242
51.3856,-0.240599
51.3875,-0.235199
51.3879,-0.2337
51.3853,-0.231899
51.3837,-0.230299
51.3832,-0.2293
51.3797,-0.219399
51.3849,-0.212899
51.3872,-0.211
51.3885,-0.210399
51.3893,-0.2095
51.3892,-0.209199
51.3864,-0.203199
51.3862,-0.202799
51.3842,-0.199199
51.3844,-0.198999
51.3878,-0.195099
51.3885,-0.1939
51.3844,-0.186099
51.3859,-0.182199
51.3872,-0.180099
51.3895,-0.176899
51.3899,-0.176499
51.3921,-0.1739
51.3933,-0.172599
51.3929,-0.1668
51.3925,-0.166699
51.391,-0.167699
51.3904,-0.167699
51.3872,-0.1639
51.3902,-0.157899
51.3906,-0.154599
51.3889,-0.143999
51.3889,-0.143799
51.3891,-0.1435
51.3898,-0.1441
51.3902,-0.144399
51.3904,-0.144399
51.3906,-0.143799
51.3918,-0.135199
51.3919,-0.134799
51.3926,-0.132899
51.3927,-0.132699
51.3858,-0.1312
51.3811,-0.129301
51.3781,-0.127199
51.3704,-0.124799
51.3642,-0.123199
51.364,-0.124899
51.3622,-0.122499
51.3612,-0.1214
51.3592,-0.124399
51.3563,-0.124399
51.3564,-0.121499
51.3547,-0.1212
51.3531,-0.120499
51.3522,-0.1195
51.3476,-0.120599
51.3473,-0.125399
51.3486,-0.126899
51.3492,-0.1287
51.35,-0.129699
51.3479,-0.131899
51.3465,-0.135399
51.3459,-0.1391
51.3446,-0.143099
51.3429,-0.142699
51.3405,-0.145499
51.3401,-0.145499
51.34,-0.145799
51.3396,-0.147699
51.3363,-0.146899
51.3321,-0.145699
51.3313,-0.144999
51.3316,-0.142999
51.3301,-0.142299
51.3294,-0.142299
51.3276,-0.143199
51.3237,-0.145299
51.3241,-0.147699
51.3231,-0.151499
51.3224,-0.153599
51.3212,-0.156699
51.3212,-0.1568
