Latitude,Longitude
51.5064,0.000899
51.5061,-0.0005
51.5051,-0.0021
51.5041,-0.003501
51.503,-0.004501
51.5019,-0.0049
51.5002,-0.0051
51.4986,-0.004501
51.4962,-0.0019
51.4953,0.0004
51.4944,0.001299
51.4939,0.0016
51.4924,0.0019
51.4912,0.0021
51.4904,0.0019
51.4897,0.0016
51.4888,0.001099
51.4882,0.000499
51.4874,-0.0024
51.4865,-0.003701
51.4856,-0.005
51.4851,-0.0071
51.4847,-0.009501
51.4845,-0.012001
51.4846,-0.014301
51.4851,-0.0174
51.4858,-0.0198
51.4876,-0.0232
51.4889,-0.025
51.4897,-0.0258
51.491,-0.0269
51.4925,-0.0278
51.4945,-0.0283
51.4971,-0.0286
51.5013,-0.028701
51.5045,-0.028901
51.5062,-0.0301
51.507,-0.0311
51.5081,-0.033501
51.5085,-0.036801
51.5086,-0.0386
51.5085,-0.041201
51.5081,-0.044
51.5075,-0.0465
51.5066,-0.0486
51.5046,-0.0523
51.5026,-0.0556
51.502,-0.0575
51.5019,-0.0594
51.502,-0.0624
51.5033,-0.0656
51.5045,-0.0702
51.5059,-0.0746
51.5065,-0.078901
51.5075,-0.0831
51.508,-0.0856
51.5091,-0.0851
51.5098,-0.0848
51.51,-0.0847
51.5113,-0.083
51.5114,-0.082001
51.5125,-0.074501
51.5131,-0.0696
51.5137,-0.0699
51.5169,-0.0725
51.5205,-0.0767
51.5214,-0.0779
51.5215,-0.0778
51.5223,-0.0767
51.5233,-0.076201
51.5271,-0.0763
51.5299,-0.0757
51.5307,-0.073501
51.5316,-0.0688
51.532,-0.0672
51.5338,-0.0658
51.5341,-0.064301
51.5367,-0.0625
51.5361,-0.061601
51.5348,-0.0603
51.5353,-0.0532
51.5366,-0.0515
51.5366,-0.0505
51.5357,-0.049
51.5359,-0.0475
51.5363,-0.0451
51.5368,-0.041801
51.5379,-0.039501
51.5407,-0.036201
51.5435,-0.0338
51.5442,-0.0329
51.5443,-0.0307
51.5434,-0.0278
51.5444,-0.0224
51.5445,-0.0172
51.543,-0.0174
51.5415,-0.0181
51.54,-0.0186
51.5376,-0.0182
51.535,-0.0156
51.5299,-0.0124
51.5274,-0.0097
51.5249,-0.0084
51.5219,-0.0077
51.5212,-0.006201
51.5193,-0.004
51.5194,-0.0032
51.5207,-0.0026
51.521,-0.0022
51.5153,-0.0031
51.5115,-0.0044
51.5099,-0.0036
51.5087,0.0001
51.5079,0.0006
51.5064,0.000899
