Latitude,Longitude
51.551,-0.016401
51.5545,-0.019101
51.5557,-0.0213
51.5571,-0.024101
51.5583,-0.025
51.5594,-0.0278
51.5596,-0.029301
51.5599,-0.031201
51.5594,-0.0328
51.5595,-0.034101
51.56,-0.0382
51.5603,-0.041201
51.5617,-0.0451
51.562,-0.0459
51.5641,-0.0474
51.5661,-0.048501
51.5689,-0.0517
51.5701,-0.053
51.5701,-0.054301
51.5699,-0.056201
51.5699,-0.0575
51.5713,-0.058701
51.5737,-0.0597
51.5753,-0.0604
51.578,-0.0619
51.5783,-0.062001
51.5797,-0.0623
51.58,-0.0644
51.5818,-0.0648
51.5826,-0.061601
51.5844,-0.0577
51.5867,-0.0571
51.592,-0.057001
51.5919,-0.0549
51.5936,-0.054301
51.5946,-0.0561
51.5962,-0.0555
51.5956,-0.0526
51.5981,-0.051201
51.5995,-0.048
51.6001,-0.046801
51.6023,-0.047001
51.6046,-0.0436
51.6054,-0.0433
51.6054,-0.041201
51.6079,-0.0363
51.609,-0.034
51.6093,-0.0327
51.6132,-0.0305
51.6181,-0.0269
51.6208,-0.0248
51.6237,-0.0227
51.6261,-0.0215
51.627,-0.0204
51.6277,-0.019
51.6297,-0.0171
51.6313,-0.014501
51.6329,-0.0127
51.6349,-0.0129
51.6363,-0.0123
51.6378,-0.011601
51.642,-0.0111
51.6433,-0.0109
51.6445,-0.01
51.6485,-0.0096
51.6477,-0.0065
51.6472,-0.004101
51.6467,-0.0033
51.6445,-0.002001
51.6434,-0.0004
51.6435,0.0004
51.6442,0.001099
51.6447,0.0017
51.6445,0.0026
51.6436,0.0033
51.6428,0.0037
51.6422,0.0045
51.6417,0.0069
51.6416,0.0127
51.6416,0.0166
51.6415,0.0204
51.6417,0.021499
51.6423,0.0235
51.6419,0.0242
51.6412,0.0245
51.6398,0.0246
51.6374,0.0253
51.6337,0.025699
51.6326,0.0254
51.6284,0.0235
51.6255,0.0219
51.625,0.0214
51.6211,0.0156
51.6196,0.0123
51.6188,0.0128
51.618,0.0131
51.6165,0.0167
51.613,0.0212
51.6127,0.021499
51.6105,0.0219
51.6087,0.0208
51.6066,0.018799
51.6047,0.0176
51.599,0.013599
51.5966,0.0128
51.5943,0.0133
51.5895,0.0156
51.5849,0.0167
51.5837,0.0167
51.5787,0.0173
51.5731,0.0171
51.5706,0.018199
51.5673,0.0195
51.565,0.0192
51.5644,0.0179
51.5643,0.0166
51.5641,0.015
51.5594,0.0145
51.5591,0.018199
51.5564,0.0214
51.5562,0.021499
51.5539,0.016299
51.5551,0.013799
51.5544,0.0094
51.5518,0.008599
51.5514,0.0056
51.5521,0.0045
51.5506,-0.0079
51.5507,-0.0081
51.5521,-0.0088
51.5521,-0.008901
51.5519,-0.0119
51.551,-0.016401
