Latitude,Longitude
51.4382,-0.251899
51.4432,-0.240099
51.4433,-0.239699
51.4476,-0.244999
51.4535,-0.253299
51.4542,-0.253999
51.4547,-0.2549
51.455,-0.255299
51.4554,-0.256299
51.456,-0.258399
51.4574,-0.257999
51.4603,-0.2564
51.4638,-0.253501
51.4655,-0.250799
51.4655,-0.2495
51.4653,-0.247199
51.4653,-0.244899
51.4649,-0.238599
51.4648,-0.236299
51.4651,-0.236099
51.4722,-0.233099
51.4733,-0.232499
51.4723,-0.227399
51.4716,-0.2245
51.4724,-0.223999
51.4739,-0.222999
51.4743,-0.222599
51.4756,-0.222099
51.4743,-0.221299
51.4719,-0.218999
51.4709,-0.217799
51.4695,-0.216099
51.4678,-0.212799
51.4665,-0.209199
51.4658,-0.207099
51.4652,-0.2045
51.4642,-0.199799
51.4638,-0.197199
51.4636,-0.194199
51.4636,-0.190099
51.4641,-0.187499
51.4648,-0.186
51.4662,-0.183799
51.4682,-0.181499
51.4721,-0.178099
51.4753,-0.1762
51.4773,-0.175199
51.4786,-0.173799
51.4795,-0.172799
51.4806,-0.171299
51.4815,-0.168999
51.482,-0.166499
51.4826,-0.162499
51.4832,-0.157599
51.484,-0.1495
51.4843,-0.146
51.4843,-0.143599
51.4838,-0.136699
51.484,-0.1335
51.4852,-0.1298
51.4842,-0.129699
51.484,-0.129599
51.4818,-0.1287
51.481,-0.130399
51.4771,-0.132899
51.4746,-0.135899
51.4725,-0.140099
51.4707,-0.145199
51.4683,-0.150299
51.4669,-0.151
51.4635,-0.151
51.461,-0.149599
51.458,-0.148199
51.4551,-0.147399
51.452,-0.148199
51.45,-0.143199
51.4489,-0.143799
51.4472,-0.145399
51.4464,-0.145499
51.4449,-0.145499
51.443,-0.144799
51.4412,-0.142699
51.4405,-0.140399
51.4404,-0.139799
51.4394,-0.1345
51.439,-0.134599
51.437,-0.1366
51.4364,-0.1366
51.4343,-0.135799
51.4317,-0.135499
51.431,-0.135499
51.4308,-0.1362
51.4308,-0.1387
51.4269,-0.1387
51.4248,-0.1389
51.4218,-0.138199
51.421,-0.1387
51.4185,-0.142099
51.4185,-0.143399
51.4196,-0.1489
51.4219,-0.155599
51.4237,-0.160599
51.4234,-0.161299
51.4204,-0.1616
51.4201,-0.162199
51.4211,-0.167599
51.423,-0.172099
51.4243,-0.174699
51.4253,-0.178999
51.4252,-0.179199
51.4248,-0.181299
51.4252,-0.181899
51.4255,-0.182
51.4258,-0.182299
51.426,-0.182499
51.43,-0.1812
51.4305,-0.182199
51.4305,-0.183099
51.4296,-0.185899
51.4301,-0.187599
51.4306,-0.187999
51.4319,-0.188599
51.433,-0.188799
51.4351,-0.187899
51.4371,-0.187899
51.4386,-0.187999
51.4394,-0.188299
51.4403,-0.1887
51.4419,-0.189799
51.4423,-0.190399
51.4413,-0.2041
51.4412,-0.205899
51.4411,-0.208399
51.4423,-0.2118
51.4439,-0.212899
51.4442,-0.213799
51.4438,-0.2168
51.4444,-0.224399
51.4442,-0.225099
51.4347,-0.248599
51.4382,-0.251899
