,New code,Area name,Year,Population,Population density,Percent born abroad,Births,Deaths,Std Mortality Rate,Employment Rate,Unemployment Rate,Youth Unemployment Rate,NEET,NEET Rate,DWP Working age client group,DWP Working age client group rates,Employment and Support Allowance Claims,Female JSA Claims,Housing Benefit Claims,Housing Benefit Claims Rate,Incapacity Benefit Claims,Income Support Claims,Income Support Claims Rate,Male JSA Claims,Total JSA Claims,Inner/Outer London,% of economically active with NVQ4+ - working age,% of economically active with NVQ3 only - working age,% of economically active with Trade Apprenticeships - working age,% of economically active with NVQ2 only - working age,% of economically active with NVQ1 only - working age,% of economically active with other qualifications - working age,% of economically active with no qualifications - working age,Gross Annual Pay - Full Time - Total (£),Gross Annual Pay - Full Time - Male (£),Gross Annual Pay - Full Time - Female (£),Median Modelled Household income (£),Mean Modelled Household income (£),Number of active businesses,Two-year business survival rates,Number Employed - Total,Number Employed - Male,Number Employed - Female,Jobs Density,Crime Rates per thousand population,Fires per thousand population,Ambulance incidents per hundred population,Total Carbon Emissions,Household Waste Recycling Rate,Number of Licensed Vehicles,Traffic Flows,% of adults who cycle at least once per month,Road Casualties (Killed or Seriously Injured),Average Public Transport Accessibility Score,% children living in out-of-work households,% of Children in Poverty,Household Estimates,Median House Price (£),Number of properties sold,Tenure: Owned Outright (%),Tenure: Buying with mortgage (%),Tenure: Rented from Local Authority or Housing Association (%),Tenure: Rented from Private landlord (%)
0,E09000001,City of London,1999,6581.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,
1,E09000002,Barking and Dagenham,1999,162444.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,120.4538179,,,,,,,,,,,,,,,,,,
2,E09000003,Barnet,1999,313469.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,97.96183993,,,,,,,,,,,,,,,,,,
3,E09000004,Bexley,1999,217458.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,95.09882368,,,,,,,,,,,,,,,,,,
4,E09000005,Brent,1999,260317.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,127.7404088,,,,,,,,,,,,,,,,,,
5,E09000006,Bromley,1999,294902.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,89.77219551,,,,,,,,,,,,,,,,,,
6,E09000007,Camden,1999,190003.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,241.0488255,,,,,,,,,,,,,,,,,,
7,E09000008,Croydon,1999,332066.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,113.6611397,,,,,,,,,,,,,,,,,,
8,E09000009,Ealing,1999,302252.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,128.1612694,,,,,,,,,,,,,,,,,,
9,E09000010,Enfield,1999,272731.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,104.8212341,,,,,,,,,,,,,,,,,,
