Borough,Inner/ Outer London,GLA Population Estimate 2017,GLA Household Estimate 2017,Inland Area (Hectares),Population density (per hectare) 2017,"Average Age, 2017","Proportion of population aged 0-15, 2015","Proportion of population of working-age, 2015","Proportion of population aged 65 and over, 2015",Net internal migration (2015),Net international migration (2015),Net natural change (2015),% of resident population born abroad (2015),Largest migrant population by country of birth (2011),% of largest migrant population (2011),Second largest migrant population by country of birth (2011),% of second largest migrant population (2011),Third largest migrant population by country of birth (2011),% of third largest migrant population (2011),% of population from BAME groups (2016),% people aged 3+ whose main language is not English (2011 Census),"Overseas nationals entering the UK (NINo), (2015/16)","New migrant (NINo) rates, (2015/16)",Largest migrant population arrived during 2015/16,Second largest migrant population arrived during 2015/16,Third largest migrant population arrived during 2015/16,Employment rate (%) (2015),Male employment rate (2015),Female employment rate (2015),Unemployment rate (2015),Youth Unemployment (claimant) rate 18-24 (Dec-15),Proportion of 16-18 year olds who are NEET (%) (2014),Proportion of the working-age population who claim out-of-work benefits (%) (May-2016),% working-age with a disability (2015),Proportion of working age people with no qualifications (%) 2015,Proportion of working age with degree or equivalent and above (%) 2015,"Gross Annual Pay, (2016)",Gross Annual Pay - Male (2016),Gross Annual Pay - Female (2016),Modelled Household median income estimates 2012/13,% adults that volunteered in past 12 months (2010/11 to 2012/13),Number of jobs by workplace (2014),% of employment that is in public sector (2014),"Jobs Density, 2015","Number of active businesses, 2015",Two-year business survival rates (started in 2013),Crime rates per thousand population 2014/15,Fires per thousand population (2014),Ambulance incidents per hundred population (2014),"Median House Price, 2015","Average Band D Council Tax charge (£), 2015/16",New Homes (net) 2015/16 (provisional),"Homes Owned outright, (2014) %","Being bought with mortgage or loan, (2014) %","Rented from Local Authority or Housing Association, (2014) %","Rented from Private landlord, (2014) %","% of area that is Greenspace, 2005",Total carbon emissions (2014),"Household Waste Recycling Rate, 2014/15","Number of cars, (2011 Census)","Number of cars per household, (2011 Census)","% of adults who cycle at least once per month, 2014/15","Average Public Transport Accessibility score, 2014","Achievement of 5 or more A*- C grades at GCSE or equivalent including English and Maths, 2013/14",Rates of Children Looked After (2016),% of pupils whose first language is not English (2015),% children living in out-of-work households (2015),"Male life expectancy, (2012-14)","Female life expectancy, (2012-14)",Teenage conception rate (2014),Life satisfaction score 2011-14 (out of 10),Worthwhileness score 2011-14 (out of 10),Happiness score 2011-14 (out of 10),Anxiety score 2011-14 (out of 10),Childhood Obesity Prevalance (%) 2015/16,People aged 17+ with diabetes (%),Mortality rate from causes considered preventable 2012/14,Political control in council,Proportion of seats won by Conservatives in 2014 election,Proportion of seats won by Labour in 2014 election,Proportion of seats won by Lib Dems in 2014 election,Turnout at 2014 local elections
City of London,Inner London,8800,5326,290,30.3,43.2,11.4,73.1,15.5,-7,665,30,.,United States,2.8,France,2.0,Australia,1.9,27.5,17.1,975,152.2,India,France,United States,64.6,.,.,.,1.6,.,3.4,.,.,.,.,.,.,"£63,620",.,500400,3.4,84.3,26130,64.3,.,12.3,.,799999,931.20,80,.,.,.,.,4.8,1036,34.4,1692,0.4,16.9,7.9,78.6,101,.,7.9,.,.,.,6.6,7.1,6.0,5.6,n/a,2.6,129,.,.,.,.,.
Barking and Dagenham,Outer London,209000,78188,"3,611",57.9,32.9,27.2,63.1,9.7,-1176,2509,2356,37.8,Nigeria,4.7,India,2.3,Pakistan,2.3,49.5,18.7,"7,538",59.1,Romania,Bulgaria,Lithuania,65.8,75.6,56.5,11,4.5,5.7,10.5,17.2,11.3,32.2,27886,30104,24602,"£29,420",20.5,58900,21.1,0.5,6560,73.0,83.4,3.0,13.7,243500,1354.03,730,16.4,27.4,35.9,20.3,33.6,644,23.4,56966,0.8,8.8,3.0,58.0,69,41.7,18.7,77.6,82.1,32.4,7.1,7.6,7.1,3.1,28.5,7.3,228,Lab,0.0,100.0,0.0,36.5
Barnet,Outer London,389600,151423,"8,675",44.9,37.3,21.1,64.9,14,-3379,5407,2757,35.2,India,3.1,Poland,2.4,Iran,2.0,38.7,23.4,"13,094",53.1,Romania,Poland,Italy,68.5,74.5,62.9,8.5,1.9,2.5,6.2,14.9,5.2,49,33443,36475,31235,"£40,530",33.2,167300,18.7,0.7,26190,73.8,62.7,1.6,11.1,445000,1397.07,1460,32.4,25.2,11.1,31.1,41.3,1415,38,144717,1.1,7.4,3.0,67.3,35,46.0,9.3,82.1,85.1,12.8,7.5,7.8,7.4,2.8,20.7,6.0,134,Cons,50.8,.,1.6,40.5
Bexley,Outer London,244300,97736,"6,058",40.3,39,20.6,62.9,16.6,413,760,1095,16.1,Nigeria,2.6,India,1.5,Ireland,0.9,21.4,6.0,"2,198",14.4,Romania,Poland,Nigeria,75.1,82.1,68.5,7.6,2.9,3.4,6.8,15.9,10.8,33.5,34350,37881,28924,"£36,990",22.1,80700,15.9,0.6,9075,73.5,51.8,2.3,11.8,275000,1472.43,-130,38.1,35.3,15.2,11.4,31.7,975,54,108507,1.2,10.6,2.6,60.3,46,32.6,12.6,80.4,84.4,19.5,7.4,7.7,7.2,3.3,22.7,6.9,164,Cons,71.4,23.8,0.0,39.6
Brent,Outer London,332100,121048,"4,323",76.8,35.6,20.9,67.8,11.3,-7739,7640,3372,53.9,India,9.2,Poland,3.4,Ireland,2.9,64.9,37.2,"22,162",100.9,Romania,Italy,Portugal,69.5,76,62.6,7.5,3.1,2.6,8.3,17.7,6.2,45.1,29812,30129,29600,"£32,140",17.3,133600,17.6,0.6,15745,74.4,78.8,1.8,12.1,407250,1377.24,1050,22.2,22.6,20.4,34.8,21.9,1175,35.2,87802,0.8,7.9,3.7,60.1,45,37.6,13.7,80.1,85.1,18.5,7.3,7.4,7.2,2.9,24.3,7.9,169,Lab,9.5,88.9,1.6,36.3
Bromley,Outer London,327900,140602,"15,013",21.8,40.2,19.9,62.6,17.5,1342,796,1445,18.3,India,1.1,Ireland,1.1,Nigeria,0.7,18.9,5.8,"2,924",14.4,Romania,Italy,Spain,75.3,80.4,70.4,5.3,2.5,4.3,6.0,15.9,4.3,46.7,37682,42026,32491,"£43,060",29.0,127800,13.9,0.6,15695,78.6,64.1,2.3,11.2,374975,1347.27,700,37.8,34.9,13.2,14.1,57.8,1180,48,153908,1.2,13.0,2.8,68.0,40,38.9,10.2,81.4,84.9,16.7,7.5,7.9,7.4,3.3,16.0,5.2,148,Cons,85.0,11.7,0.0,40.8
Camden,Inner London,242500,107654,"2,179",111.3,36.4,17.3,71,11.7,-2917,7504,1618,41.4,United States,2.8,Bangladesh,2.7,Ireland,2.4,34.6,23.5,"10,384",60.7,Italy,France,Spain,69.2,72.2,66.1,4,3.6,4.4,8.5,21.3,6.1,61.1,39796,.,36632,"£43,750",21.9,377400,12.4,2.2,31385,73.6,123.5,2.7,14.8,700000,1359.66,970,18.5,15.1,34.4,32.0,24.8,1288,26.3,46601,0.5,18.8,5.7,62.7,41,25.2,16.5,81.8,86.7,16.8,7.1,7.4,7.1,3.6,21.3,3.9,164,Lab,22.2,74.1,1.9,38.7
Croydon,Outer London,386500,159010,"8,650",44.7,37,22,64.9,13,-2605,2438,3164,29.4,India,3.6,Jamaica,2.5,Ghana,1.5,49.9,14.5,"7,946",32.3,Romania,Poland,Italy,75.4,81.8,69.5,4.1,4.8,3.3,7.8,17.5,7,40.6,32696,35839,29819,"£37,000",27.2,141600,20.1,0.6,15540,75.3,77.0,2.2,12.8,300000,1494.13,2040,30.8,33.6,16.7,18.6,37.1,1237,39.9,140049,1.0,12.8,3.2,57.7,86,36.7,14.1,80.3,83.6,28.4,7.1,7.6,7.2,3.3,24.5,6.5,178,Lab,42.9,57.1,0.0,38.6
Ealing,Outer London,351600,132663,"5,554",63.3,36.2,21.4,66.8,11.8,-6473,4007,3404,47.4,India,7.6,Poland,6.4,Ireland,2.3,53.5,33.9,"14,927",65.2,Poland,Romania,Italy,72.7,81.2,63.8,5.8,3.0,3,7.9,15.2,9.1,49.7,31331,32185,29875,"£36,070",32.1,160500,13.6,0.7,18700,75.8,75.5,1.9,11.3,430000,1335.93,720,20.1,30.2,14.3,35.0,30.9,1342,40.1,112845,0.9,15.0,3.3,62.1,46,43.6,13.1,80.6,84.2,17.8,7.3,7.6,7.3,3.6,23.8,6.9,164,Lab,17.4,76.8,5.8,41.2
Enfield,Outer London,333000,130328,"8,083",41.2,36.3,22.8,64.4,12.8,-2077,3164,2769,35.0,Turkey,4.5,Cyprus (Not otherwise specified),3.6,Poland,1.9,42.3,22.9,"9,259",43.8,Romania,Bulgaria,Poland,73,80.4,66,3.8,3.3,3.1,9.3,18.4,4.5,43.4,31603,35252,30222,"£33,110",22.4,128800,21.7,0.6,13925,74.2,69.4,2.2,12.2,320000,1420.17,670,25.6,36.2,17.2,21.0,45.6,1245,38.5,119653,1.0,7.9,3.0,59.9,43,55.3,17.4,80.7,84.1,24.6,7.3,7.6,7.3,2.6,25.2,7.0,152,Lab,34.9,65.1,0.0,38.2
