Month,Time,Location,Pollutant,Concentration (ug/m3)
Jan-2008,01:00,Roadside,Nitric Oxide,
Jan-2008,01:00,Roadside,Nitrogen Dioxide,33.77419355
Jan-2008,01:00,Roadside,Oxides of Nitrogen,
Jan-2008,01:00,Roadside,Ozone,35.29032258
Jan-2008,01:00,Roadside,PM10 Particulates,21.16129032
Jan-2008,01:00,Roadside,PM2.5 Particulates,13.5483871
Jan-2008,01:00,Roadside,Sulphur Dioxide,2.612903226
Jan-2008,01:00,Background,Nitric Oxide,
Jan-2008,01:00,Background,Nitrogen Dioxide,29
Jan-2008,01:00,Background,Oxides of Nitrogen,
Jan-2008,01:00,Background,Ozone,45.29032258
Jan-2008,01:00,Background,PM10 Particulates,18.90322581
Jan-2008,01:00,Background,PM2.5 Particulates,.
Jan-2008,01:00,Background,Sulphur Dioxide,3.064516129
Jan-2008,02:00,Roadside,Nitric Oxide,
Jan-2008,02:00,Roadside,Nitrogen Dioxide,28.83870968
Jan-2008,02:00,Roadside,Oxides of Nitrogen,
Jan-2008,02:00,Roadside,Ozone,43.16129032
Jan-2008,02:00,Roadside,PM10 Particulates,19.58064516
Jan-2008,02:00,Roadside,PM2.5 Particulates,12.67741935
Jan-2008,02:00,Roadside,Sulphur Dioxide,2.129032258
Jan-2008,02:00,Background,Nitric Oxide,
Jan-2008,02:00,Background,Nitrogen Dioxide,25.35483871
Jan-2008,02:00,Background,Oxides of Nitrogen,
Jan-2008,02:00,Background,Ozone,46.64516129
Jan-2008,02:00,Background,PM10 Particulates,17.67741935
Jan-2008,02:00,Background,PM2.5 Particulates,.
Jan-2008,02:00,Background,Sulphur Dioxide,3.290322581
Jan-2008,03:00,Roadside,Nitric Oxide,
Jan-2008,03:00,Roadside,Nitrogen Dioxide,27.32258065
Jan-2008,03:00,Roadside,Oxides of Nitrogen,
Jan-2008,03:00,Roadside,Ozone,42.38709677
Jan-2008,03:00,Roadside,PM10 Particulates,18.32258065
Jan-2008,03:00,Roadside,PM2.5 Particulates,11.87096774
Jan-2008,03:00,Roadside,Sulphur Dioxide,1.967741935
Jan-2008,03:00,Background,Nitric Oxide,
Jan-2008,03:00,Background,Nitrogen Dioxide,23.38709677
Jan-2008,03:00,Background,Oxides of Nitrogen,
Jan-2008,03:00,Background,Ozone,46.64516129
Jan-2008,03:00,Background,PM10 Particulates,16.38709677
Jan-2008,03:00,Background,PM2.5 Particulates,.
Jan-2008,03:00,Background,Sulphur Dioxide,3.322580645
Jan-2008,04:00,Roadside,Nitric Oxide,
Jan-2008,04:00,Roadside,Nitrogen Dioxide,29.38709677
Jan-2008,04:00,Roadside,Oxides of Nitrogen,
Jan-2008,04:00,Roadside,Ozone,40.12903226
Jan-2008,04:00,Roadside,PM10 Particulates,18.09677419
Jan-2008,04:00,Roadside,PM2.5 Particulates,11.96774194
Jan-2008,04:00,Roadside,Sulphur Dioxide,2.193548387
Jan-2008,04:00,Background,Nitric Oxide,
Jan-2008,04:00,Background,Nitrogen Dioxide,24.19354839
Jan-2008,04:00,Background,Oxides of Nitrogen,
Jan-2008,04:00,Background,Ozone,45.22580645
Jan-2008,04:00,Background,PM10 Particulates,16
Jan-2008,04:00,Background,PM2.5 Particulates,.
Jan-2008,04:00,Background,Sulphur Dioxide,2.774193548
Jan-2008,05:00,Roadside,Nitric Oxide,
Jan-2008,05:00,Roadside,Nitrogen Dioxide,38.32258065
Jan-2008,05:00,Roadside,Oxides of Nitrogen,
Jan-2008,05:00,Roadside,Ozone,33.80645161
Jan-2008,05:00,Roadside,PM10 Particulates,18.67741935
Jan-2008,05:00,Roadside,PM2.5 Particulates,12.22580645
Jan-2008,05:00,Roadside,Sulphur Dioxide,2.193548387
Jan-2008,05:00,Background,Nitric Oxide,
Jan-2008,05:00,Background,Nitrogen Dioxide,29.41935484
Jan-2008,05:00,Background,Oxides of Nitrogen,
Jan-2008,05:00,Background,Ozone,40.29032258
Jan-2008,05:00,Background,PM10 Particulates,15.5483871
Jan-2008,05:00,Background,PM2.5 Particulates,.
Jan-2008,05:00,Background,Sulphur Dioxide,2.419354839
Jan-2008,06:00,Roadside,Nitric Oxide,
Jan-2008,06:00,Roadside,Nitrogen Dioxide,53.70967742
Jan-2008,06:00,Roadside,Oxides of Nitrogen,
Jan-2008,06:00,Roadside,Ozone,26.74193548
Jan-2008,06:00,Roadside,PM10 Particulates,21.51612903
Jan-2008,06:00,Roadside,PM2.5 Particulates,14.5483871
Jan-2008,06:00,Roadside,Sulphur Dioxide,3.419354839
Jan-2008,06:00,Background,Nitric Oxide,
Jan-2008,06:00,Background,Nitrogen Dioxide,39.64516129
Jan-2008,06:00,Background,Oxides of Nitrogen,
Jan-2008,06:00,Background,Ozone,34.06451613
Jan-2008,06:00,Background,PM10 Particulates,16.70967742
Jan-2008,06:00,Background,PM2.5 Particulates,.
Jan-2008,06:00,Background,Sulphur Dioxide,2.774193548
Jan-2008,07:00,Roadside,Nitric Oxide,
Jan-2008,07:00,Roadside,Nitrogen Dioxide,66.16129032
