,Date,Month,Year,Reservoir,Percent Capacity
0,1989-01-01,Jan,1989.0,Lower Lee Group,83
1,1989-01-02,Jan,1989.0,Lower Lee Group,83
2,1989-01-03,Jan,1989.0,Lower Lee Group,83
3,1989-01-04,Jan,1989.0,Lower Lee Group,82
4,1989-01-05,Jan,1989.0,Lower Lee Group,82
5,1989-01-06,Jan,1989.0,Lower Lee Group,82
6,1989-01-07,Jan,1989.0,Lower Lee Group,83
7,1989-01-08,Jan,1989.0,Lower Lee Group,83
8,1989-01-09,Jan,1989.0,Lower Lee Group,83
9,1989-01-10,Jan,1989.0,Lower Lee Group,83
10,1989-01-11,Jan,1989.0,Lower Lee Group,83
11,1989-01-12,Jan,1989.0,Lower Lee Group,84
12,1989-01-13,Jan,1989.0,Lower Lee Group,85
13,1989-01-14,Jan,1989.0,Lower Lee Group,85
14,1989-01-15,Jan,1989.0,Lower Lee Group,85
15,1989-01-16,Jan,1989.0,Lower Lee Group,86
16,1989-01-17,Jan,1989.0,Lower Lee Group,86
17,1989-01-18,Jan,1989.0,Lower Lee Group,87
18,1989-01-19,Jan,1989.0,Lower Lee Group,87
19,1989-01-20,Jan,1989.0,Lower Lee Group,87
20,1989-01-21,Jan,1989.0,Lower Lee Group,88
21,1989-01-22,Jan,1989.0,Lower Lee Group,88
22,1989-01-23,Jan,1989.0,Lower Lee Group,87
23,1989-01-24,Jan,1989.0,Lower Lee Group,87
24,1989-01-25,Jan,1989.0,Lower Lee Group,87
25,1989-01-26,Jan,1989.0,Lower Lee Group,87
26,1989-01-27,Jan,1989.0,Lower Lee Group,87
27,1989-01-28,Jan,1989.0,Lower Lee Group,88
28,1989-01-29,Jan,1989.0,Lower Lee Group,88
29,1989-01-30,Jan,1989.0,Lower Lee Group,87
30,1989-01-31,Jan,1989.0,Lower Lee Group,87
31,1989-02-01,Feb,1989.0,Lower Lee Group,87
32,1989-02-02,Feb,1989.0,Lower Lee Group,87
33,1989-02-03,Feb,1989.0,Lower Lee Group,87
34,1989-02-04,Feb,1989.0,Lower Lee Group,87
35,1989-02-05,Feb,1989.0,Lower Lee Group,87
36,1989-02-06,Feb,1989.0,Lower Lee Group,87
37,1989-02-07,Feb,1989.0,Lower Lee Group,87
38,1989-02-08,Feb,1989.0,Lower Lee Group,87
39,1989-02-09,Feb,1989.0,Lower Lee Group,88
40,1989-02-10,Feb,1989.0,Lower Lee Group,88
41,1989-02-11,Feb,1989.0,Lower Lee Group,87
42,1989-02-12,Feb,1989.0,Lower Lee Group,87
43,1989-02-13,Feb,1989.0,Lower Lee Group,87
44,1989-02-14,Feb,1989.0,Lower Lee Group,87
45,1989-02-15,Feb,1989.0,Lower Lee Group,87
46,1989-02-16,Feb,1989.0,Lower Lee Group,86
47,1989-02-17,Feb,1989.0,Lower Lee Group,86
48,1989-02-18,Feb,1989.0,Lower Lee Group,86
49,1989-02-19,Feb,1989.0,Lower Lee Group,86
50,1989-02-20,Feb,1989.0,Lower Lee Group,85
51,1989-02-21,Feb,1989.0,Lower Lee Group,85
52,1989-02-22,Feb,1989.0,Lower Lee Group,85
53,1989-02-23,Feb,1989.0,Lower Lee Group,86
54,1989-02-24,Feb,1989.0,Lower Lee Group,86
55,1989-02-25,Feb,1989.0,Lower Lee Group,86
56,1989-02-26,Feb,1989.0,Lower Lee Group,86
57,1989-02-27,Feb,1989.0,Lower Lee Group,86
58,1989-02-28,Feb,1989.0,Lower Lee Group,86
59,1989-03-01,Mar,1989.0,Lower Lee Group,87
60,1989-03-02,Mar,1989.0,Lower Lee Group,87
61,1989-03-03,Mar,1989.0,Lower Lee Group,88
62,1989-03-04,Mar,1989.0,Lower Lee Group,88
63,1989-03-05,Mar,1989.0,Lower Lee Group,87
64,1989-03-06,Mar,1989.0,Lower Lee Group,87
65,1989-03-07,Mar,1989.0,Lower Lee Group,87
66,1989-03-08,Mar,1989.0,Lower Lee Group,87
67,1989-03-09,Mar,1989.0,Lower Lee Group,87
68,1989-03-10,Mar,1989.0,Lower Lee Group,87
69,1989-03-11,Mar,1989.0,Lower Lee Group,88
70,1989-03-12,Mar,1989.0,Lower Lee Group,88
71,1989-03-13,Mar,1989.0,Lower Lee Group,89
72,1989-03-14,Mar,1989.0,Lower Lee Group,89
73,1989-03-15,Mar,1989.0,Lower Lee Group,89
74,1989-03-16,Mar,1989.0,Lower Lee Group,89
75,1989-03-17,Mar,1989.0,Lower Lee Group,89
76,1989-03-18,Mar,1989.0,Lower Lee Group,89
77,1989-03-19,Mar,1989.0,Lower Lee Group,89
78,1989-03-20,Mar,1989.0,Lower Lee Group,89
79,1989-03-21,Mar,1989.0,Lower Lee Group,90
80,1989-03-22,Mar,1989.0,Lower Lee Group,90
81,1989-03-23,Mar,1989.0,Lower Lee Group,91
82,1989-03-24,Mar,1989.0,Lower Lee Group,91
83,1989-03-25,Mar,1989.0,Lower Lee Group,90
84,1989-03-26,Mar,1989.0,Lower Lee Group,90
85,1989-03-27,Mar,1989.0,Lower Lee Group,90
86,1989-03-28,Mar,1989.0,Lower Lee Group,89
87,1989-03-29,Mar,1989.0,Lower Lee Group,89
88,1989-03-30,Mar,1989.0,Lower Lee Group,89
89,1989-03-31,Mar,1989.0,Lower Lee Group,88
90,1989-04-01,Apr,1989.0,Lower Lee Group,87
91,1989-04-02,Apr,1989.0,Lower Lee Group,87
92,1989-04-03,Apr,1989.0,Lower Lee Group,87
93,1989-04-04,Apr,1989.0,Lower Lee Group,86
94,1989-04-05,Apr,1989.0,Lower Lee Group,86
95,1989-04-06,Apr,1989.0,Lower Lee Group,85
96,1989-04-07,Apr,1989.0,Lower Lee Group,85
97,1989-04-08,Apr,1989.0,Lower Lee Group,84
98,1989-04-09,Apr,1989.0,Lower Lee Group,83
99,1989-04-10,Apr,1989.0,Lower Lee Group,83
100,1989-04-11,Apr,1989.0,Lower Lee Group,83
101,1989-04-12,Apr,1989.0,Lower Lee Group,82
102,1989-04-13,Apr,1989.0,Lower Lee Group,82
103,1989-04-14,Apr,1989.0,Lower Lee Group,82
104,1989-04-15,Apr,1989.0,Lower Lee Group,82
105,1989-04-16,Apr,1989.0,Lower Lee Group,82
106,1989-04-17,Apr,1989.0,Lower Lee Group,81
107,1989-04-18,Apr,1989.0,Lower Lee Group,82
108,1989-04-19,Apr,1989.0,Lower Lee Group,82
109,1989-04-20,Apr,1989.0,Lower Lee Group,82
110,1989-04-21,Apr,1989.0,Lower Lee Group,81
111,1989-04-22,Apr,1989.0,Lower Lee Group,81
112,1989-04-23,Apr,1989.0,Lower Lee Group,81
113,1989-04-24,Apr,1989.0,Lower Lee Group,81
114,1989-04-25,Apr,1989.0,Lower Lee Group,81
115,1989-04-26,Apr,1989.0,Lower Lee Group,82
116,1989-04-27,Apr,1989.0,Lower Lee Group,82
117,1989-04-28,Apr,1989.0,Lower Lee Group,83
118,1989-04-29,Apr,1989.0,Lower Lee Group,---
119,1989-04-30,Apr,1989.0,Lower Lee Group,---
120,1989-05-01,May,1989.0,Lower Lee Group,83
121,1989-05-02,May,1989.0,Lower Lee Group,83
122,1989-05-03,May,1989.0,Lower Lee Group,83
123,1989-05-04,May,1989.0,Lower Lee Group,83
124,1989-05-05,May,1989.0,Lower Lee Group,82
125,1989-05-06,May,1989.0,Lower Lee Group,82
126,1989-05-07,May,1989.0,Lower Lee Group,82
127,1989-05-08,May,1989.0,Lower Lee Group,81
128,1989-05-09,May,1989.0,Lower Lee Group,81
129,1989-05-10,May,1989.0,Lower Lee Group,81
130,1989-05-11,May,1989.0,Lower Lee Group,80
131,1989-05-12,May,1989.0,Lower Lee Group,80
132,1989-05-13,May,1989.0,Lower Lee Group,80
133,1989-05-14,May,1989.0,Lower Lee Group,80
134,1989-05-15,May,1989.0,Lower Lee Group,80
135,1989-05-16,May,1989.0,Lower Lee Group,80
136,1989-05-17,May,1989.0,Lower Lee Group,80
137,1989-05-18,May,1989.0,Lower Lee Group,79
138,1989-05-19,May,1989.0,Lower Lee Group,79
139,1989-05-20,May,1989.0,Lower Lee Group,79
140,1989-05-21,May,1989.0,Lower Lee Group,79
141,1989-05-22,May,1989.0,Lower Lee Group,79
142,1989-05-23,May,1989.0,Lower Lee Group,79
143,1989-05-24,May,1989.0,Lower Lee Group,79
144,1989-05-25,May,1989.0,Lower Lee Group,79
145,1989-05-26,May,1989.0,Lower Lee Group,79
146,1989-05-27,May,1989.0,Lower Lee Group,79
147,1989-05-28,May,1989.0,Lower Lee Group,79
148,1989-05-29,May,1989.0,Lower Lee Group,79
149,1989-05-30,May,1989.0,Lower Lee Group,79
150,1989-05-31,May,1989.0,Lower Lee Group,79
151,1989-06-01,Jun,1989.0,Lower Lee Group,79
152,1989-06-02,Jun,1989.0,Lower Lee Group,79
153,1989-06-03,Jun,1989.0,Lower Lee Group,80
154,1989-06-04,Jun,1989.0,Lower Lee Group,80
155,1989-06-05,Jun,1989.0,Lower Lee Group,81
156,1989-06-06,Jun,1989.0,Lower Lee Group,81
157,1989-06-07,Jun,1989.0,Lower Lee Group,81
158,1989-06-08,Jun,1989.0,Lower Lee Group,82
159,1989-06-09,Jun,1989.0,Lower Lee Group,82
160,1989-06-10,Jun,1989.0,Lower Lee Group,82
161,1989-06-11,Jun,1989.0,Lower Lee Group,82
162,1989-06-12,Jun,1989.0,Lower Lee Group,82
163,1989-06-13,Jun,1989.0,Lower Lee Group,81
164,1989-06-14,Jun,1989.0,Lower Lee Group,81
165,1989-06-15,Jun,1989.0,Lower Lee Group,80
166,1989-06-16,Jun,1989.0,Lower Lee Group,80
167,1989-06-17,Jun,1989.0,Lower Lee Group,80
168,1989-06-18,Jun,1989.0,Lower Lee Group,79
169,1989-06-19,Jun,1989.0,Lower Lee Group,79
170,1989-06-20,Jun,1989.0,Lower Lee Group,78
171,1989-06-21,Jun,1989.0,Lower Lee Group,78
172,1989-06-22,Jun,1989.0,Lower Lee Group,77
173,1989-06-23,Jun,1989.0,Lower Lee Group,77
174,1989-06-24,Jun,1989.0,Lower Lee Group,76
175,1989-06-25,Jun,1989.0,Lower Lee Group,76
176,1989-06-26,Jun,1989.0,Lower Lee Group,75
177,1989-06-27,Jun,1989.0,Lower Lee Group,75
178,1989-06-28,Jun,1989.0,Lower Lee Group,75
179,1989-06-29,Jun,1989.0,Lower Lee Group,75
180,1989-06-30,Jun,1989.0,Lower Lee Group,75
181,1989-07-01,Jul,1989.0,Lower Lee Group,75
182,1989-07-02,Jul,1989.0,Lower Lee Group,75
183,1989-07-03,Jul,1989.0,Lower Lee Group,75
184,1989-07-04,Jul,1989.0,Lower Lee Group,75
185,1989-07-05,Jul,1989.0,Lower Lee Group,75
186,1989-07-06,Jul,1989.0,Lower Lee Group,75
187,1989-07-07,Jul,1989.0,Lower Lee Group,76
188,1989-07-08,Jul,1989.0,Lower Lee Group,76
189,1989-07-09,Jul,1989.0,Lower Lee Group,77
190,1989-07-10,Jul,1989.0,Lower Lee Group,78
191,1989-07-11,Jul,1989.0,Lower Lee Group,78
192,1989-07-12,Jul,1989.0,Lower Lee Group,79
193,1989-07-13,Jul,1989.0,Lower Lee Group,80
194,1989-07-14,Jul,1989.0,Lower Lee Group,80
195,1989-07-15,Jul,1989.0,Lower Lee Group,80
196,1989-07-16,Jul,1989.0,Lower Lee Group,80
197,1989-07-17,Jul,1989.0,Lower Lee Group,80
198,1989-07-18,Jul,1989.0,Lower Lee Group,79
199,1989-07-19,Jul,1989.0,Lower Lee Group,79
200,1989-07-20,Jul,1989.0,Lower Lee Group,79
201,1989-07-21,Jul,1989.0,Lower Lee Group,79
202,1989-07-22,Jul,1989.0,Lower Lee Group,79
203,1989-07-23,Jul,1989.0,Lower Lee Group,79
204,1989-07-24,Jul,1989.0,Lower Lee Group,78
205,1989-07-25,Jul,1989.0,Lower Lee Group,78
206,1989-07-26,Jul,1989.0,Lower Lee Group,78
207,1989-07-27,Jul,1989.0,Lower Lee Group,78
208,1989-07-28,Jul,1989.0,Lower Lee Group,78
209,1989-07-29,Jul,1989.0,Lower Lee Group,78
210,1989-07-30,Jul,1989.0,Lower Lee Group,78
211,1989-07-31,Jul,1989.0,Lower Lee Group,77
212,1989-08-01,Aug,1989.0,Lower Lee Group,77
213,1989-08-02,Aug,1989.0,Lower Lee Group,76
214,1989-08-03,Aug,1989.0,Lower Lee Group,76
215,1989-08-04,Aug,1989.0,Lower Lee Group,76
216,1989-08-05,Aug,1989.0,Lower Lee Group,76
217,1989-08-06,Aug,1989.0,Lower Lee Group,76
218,1989-08-07,Aug,1989.0,Lower Lee Group,76
