Borough,Callout_type,Date,Number of reported incidents
 NOT GEO-CODED,ACCIDENTAL FIRES IN RUBBISH,201301,0
 NOT GEO-CODED,ACCIDENTAL OPEN LAND FIRES,201301,0
 NOT GEO-CODED,ACCIDENTAL VEHICLE FIRES,201301,0
 NOT GEO-CODED,ALL DELIBERATE FIRES,201301,0
 NOT GEO-CODED,ALL FALSE ALARMS,201301,0
 NOT GEO-CODED,ALL FIRES,201301,0
 NOT GEO-CODED,ALL SPECIAL SERVICES,201301,0
 NOT GEO-CODED,CARE HOME FIRES,201301,0
 NOT GEO-CODED,DELIBERATE FIRES IN RUBBISH,201301,0
 NOT GEO-CODED,DELIBERATE OPEN LAND FIRES,201301,0
 NOT GEO-CODED,DELIBERATE VEHICLE FIRES,201301,0
 NOT GEO-CODED,FALSE ALARMS AFAS DOM,201301,0
 NOT GEO-CODED,FALSE ALARMS AFAS NONDOM,201301,0
 NOT GEO-CODED,FALSE ALARMS GOOD INTENT,201301,0
 NOT GEO-CODED,MALICIOUS FALSE ALARMS,201301,0
 NOT GEO-CODED,NONDOMFIRES NONRRO,201301,0
 NOT GEO-CODED,NONDOMFIRES RRO,201301,0
 NOT GEO-CODED,PRIMARY FIRES,201301,0
 NOT GEO-CODED,PRIMARY FIRES IN DWELLINGS,201301,0
 NOT GEO-CODED,ROAD TRAFFIC COLLISIONS,201301,0
 NOT GEO-CODED,RUBBISH FIRES,201301,0
 NOT GEO-CODED,SECONDARY FIRES,201301,0
 NOT GEO-CODED,SHUT-IN-LIFT RELEASES,201301,0
 NOT GEO-CODED,SPECIAL SERVICE ENTRY & EXIT,201301,0
BARKING AND DAGENHAM,ACCIDENTAL FIRES IN RUBBISH,201301,7
BARKING AND DAGENHAM,ACCIDENTAL OPEN LAND FIRES,201301,1
BARKING AND DAGENHAM,ACCIDENTAL VEHICLE FIRES,201301,2
BARKING AND DAGENHAM,ALL DELIBERATE FIRES,201301,9
BARKING AND DAGENHAM,ALL FALSE ALARMS,201301,45
BARKING AND DAGENHAM,ALL FIRES,201301,34
BARKING AND DAGENHAM,ALL SPECIAL SERVICES,201301,56
BARKING AND DAGENHAM,CARE HOME FIRES,201301,2
BARKING AND DAGENHAM,DELIBERATE FIRES IN RUBBISH,201301,5
BARKING AND DAGENHAM,DELIBERATE OPEN LAND FIRES,201301,1
BARKING AND DAGENHAM,DELIBERATE VEHICLE FIRES,201301,1
BARKING AND DAGENHAM,FALSE ALARMS AFAS DOM,201301,6
BARKING AND DAGENHAM,FALSE ALARMS AFAS NONDOM,201301,17
BARKING AND DAGENHAM,FALSE ALARMS GOOD INTENT,201301,19
BARKING AND DAGENHAM,MALICIOUS FALSE ALARMS,201301,3
BARKING AND DAGENHAM,NONDOMFIRES NONRRO,201301,0
BARKING AND DAGENHAM,NONDOMFIRES RRO,201301,2
BARKING AND DAGENHAM,PRIMARY FIRES,201301,18
BARKING AND DAGENHAM,PRIMARY FIRES IN DWELLINGS,201301,12
BARKING AND DAGENHAM,ROAD TRAFFIC COLLISIONS,201301,9
BARKING AND DAGENHAM,RUBBISH FIRES,201301,12
BARKING AND DAGENHAM,SECONDARY FIRES,201301,16
BARKING AND DAGENHAM,SHUT-IN-LIFT RELEASES,201301,9
BARKING AND DAGENHAM,SPECIAL SERVICE ENTRY & EXIT,201301,11
BARNET,ACCIDENTAL FIRES IN RUBBISH,201301,5
BARNET,ACCIDENTAL OPEN LAND FIRES,201301,0
BARNET,ACCIDENTAL VEHICLE FIRES,201301,5
BARNET,ALL DELIBERATE FIRES,201301,9
BARNET,ALL FALSE ALARMS,201301,121
BARNET,ALL FIRES,201301,44
BARNET,ALL SPECIAL SERVICES,201301,91
BARNET,CARE HOME FIRES,201301,4
BARNET,DELIBERATE FIRES IN RUBBISH,201301,1
BARNET,DELIBERATE OPEN LAND FIRES,201301,0
BARNET,DELIBERATE VEHICLE FIRES,201301,3
BARNET,FALSE ALARMS AFAS DOM,201301,30
BARNET,FALSE ALARMS AFAS NONDOM,201301,48
BARNET,FALSE ALARMS GOOD INTENT,201301,40
BARNET,MALICIOUS FALSE ALARMS,201301,3
BARNET,NONDOMFIRES NONRRO,201301,1
BARNET,NONDOMFIRES RRO,201301,5
BARNET,PRIMARY FIRES,201301,34
BARNET,PRIMARY FIRES IN DWELLINGS,201301,21
BARNET,ROAD TRAFFIC COLLISIONS,201301,18
BARNET,RUBBISH FIRES,201301,6
BARNET,SECONDARY FIRES,201301,10
BARNET,SHUT-IN-LIFT RELEASES,201301,11
BARNET,SPECIAL SERVICE ENTRY & EXIT,201301,16
BEXLEY,ACCIDENTAL FIRES IN RUBBISH,201301,9
BEXLEY,ACCIDENTAL OPEN LAND FIRES,201301,1
BEXLEY,ACCIDENTAL VEHICLE FIRES,201301,3
BEXLEY,ALL DELIBERATE FIRES,201301,6
BEXLEY,ALL FALSE ALARMS,201301,53
BEXLEY,ALL FIRES,201301,34
BEXLEY,ALL SPECIAL SERVICES,201301,45
BEXLEY,CARE HOME FIRES,201301,1
BEXLEY,DELIBERATE FIRES IN RUBBISH,201301,0
BEXLEY,DELIBERATE OPEN LAND FIRES,201301,0
BEXLEY,DELIBERATE VEHICLE FIRES,201301,4
BEXLEY,FALSE ALARMS AFAS DOM,201301,17
BEXLEY,FALSE ALARMS AFAS NONDOM,201301,22
BEXLEY,FALSE ALARMS GOOD INTENT,201301,13
BEXLEY,MALICIOUS FALSE ALARMS,201301,1
BEXLEY,NONDOMFIRES NONRRO,201301,1
BEXLEY,NONDOMFIRES RRO,201301,3
BEXLEY,PRIMARY FIRES,201301,23
BEXLEY,PRIMARY FIRES IN DWELLINGS,201301,10
BEXLEY,ROAD TRAFFIC COLLISIONS,201301,7
BEXLEY,RUBBISH FIRES,201301,9
BEXLEY,SECONDARY FIRES,201301,11
BEXLEY,SHUT-IN-LIFT RELEASES,201301,8
BEXLEY,SPECIAL SERVICE ENTRY & EXIT,201301,12
BRENT,ACCIDENTAL FIRES IN RUBBISH,201301,14
BRENT,ACCIDENTAL OPEN LAND FIRES,201301,1
BRENT,ACCIDENTAL VEHICLE FIRES,201301,4
BRENT,ALL DELIBERATE FIRES,201301,9
BRENT,ALL FALSE ALARMS,201301,112
BRENT,ALL FIRES,201301,61
BRENT,ALL SPECIAL SERVICES,201301,71
BRENT,CARE HOME FIRES,201301,4
BRENT,DELIBERATE FIRES IN RUBBISH,201301,0
BRENT,DELIBERATE OPEN LAND FIRES,201301,1
BRENT,DELIBERATE VEHICLE FIRES,201301,5
BRENT,FALSE ALARMS AFAS DOM,201301,27
BRENT,FALSE ALARMS AFAS NONDOM,201301,47
BRENT,FALSE ALARMS GOOD INTENT,201301,30
BRENT,MALICIOUS FALSE ALARMS,201301,8
BRENT,NONDOMFIRES NONRRO,201301,1
BRENT,NONDOMFIRES RRO,201301,7
BRENT,PRIMARY FIRES,201301,45
BRENT,PRIMARY FIRES IN DWELLINGS,201301,27
BRENT,ROAD TRAFFIC COLLISIONS,201301,7
BRENT,RUBBISH FIRES,201301,14
BRENT,SECONDARY FIRES,201301,16
BRENT,SHUT-IN-LIFT RELEASES,201301,11
BRENT,SPECIAL SERVICE ENTRY & EXIT,201301,22
BROMLEY,ACCIDENTAL FIRES IN RUBBISH,201301,3
BROMLEY,ACCIDENTAL OPEN LAND FIRES,201301,2
BROMLEY,ACCIDENTAL VEHICLE FIRES,201301,1
BROMLEY,ALL DELIBERATE FIRES,201301,5
BROMLEY,ALL FALSE ALARMS,201301,104
BROMLEY,ALL FIRES,201301,26
BROMLEY,ALL SPECIAL SERVICES,201301,58
BROMLEY,CARE HOME FIRES,201301,1
BROMLEY,DELIBERATE FIRES IN RUBBISH,201301,1
BROMLEY,DELIBERATE OPEN LAND FIRES,201301,0
BROMLEY,DELIBERATE VEHICLE FIRES,201301,3
BROMLEY,FALSE ALARMS AFAS DOM,201301,21
BROMLEY,FALSE ALARMS AFAS NONDOM,201301,59
BROMLEY,FALSE ALARMS GOOD INTENT,201301,19
BROMLEY,MALICIOUS FALSE ALARMS,201301,5
BROMLEY,NONDOMFIRES NONRRO,201301,1
BROMLEY,NONDOMFIRES RRO,201301,6
BROMLEY,PRIMARY FIRES,201301,20
BROMLEY,PRIMARY FIRES IN DWELLINGS,201301,8
BROMLEY,ROAD TRAFFIC COLLISIONS,201301,18
BROMLEY,RUBBISH FIRES,201301,4
BROMLEY,SECONDARY FIRES,201301,6
BROMLEY,SHUT-IN-LIFT RELEASES,201301,6
BROMLEY,SPECIAL SERVICE ENTRY & EXIT,201301,5
CAMDEN,ACCIDENTAL FIRES IN RUBBISH,201301,9
CAMDEN,ACCIDENTAL OPEN LAND FIRES,201301,3
CAMDEN,ACCIDENTAL VEHICLE FIRES,201301,1
CAMDEN,ALL DELIBERATE FIRES,201301,6
CAMDEN,ALL FALSE ALARMS,201301,264
CAMDEN,ALL FIRES,201301,67
CAMDEN,ALL SPECIAL SERVICES,201301,99
CAMDEN,CARE HOME FIRES,201301,2
CAMDEN,DELIBERATE FIRES IN RUBBISH,201301,0
CAMDEN,DELIBERATE OPEN LAND FIRES,201301,1
CAMDEN,DELIBERATE VEHICLE FIRES,201301,1
CAMDEN,FALSE ALARMS AFAS DOM,201301,64
CAMDEN,FALSE ALARMS AFAS NONDOM,201301,162
CAMDEN,FALSE ALARMS GOOD INTENT,201301,35
CAMDEN,MALICIOUS FALSE ALARMS,201301,3
CAMDEN,NONDOMFIRES NONRRO,201301,0
CAMDEN,NONDOMFIRES RRO,201301,23
CAMDEN,PRIMARY FIRES,201301,50
CAMDEN,PRIMARY FIRES IN DWELLINGS,201301,25
CAMDEN,ROAD TRAFFIC COLLISIONS,201301,7
CAMDEN,RUBBISH FIRES,201301,9
CAMDEN,SECONDARY FIRES,201301,17
CAMDEN,SHUT-IN-LIFT RELEASES,201301,43
CAMDEN,SPECIAL SERVICE ENTRY & EXIT,201301,18
CITY OF LONDON,ACCIDENTAL FIRES IN RUBBISH,201301,0
CITY OF LONDON,ACCIDENTAL OPEN LAND FIRES,201301,0
CITY OF LONDON,ACCIDENTAL VEHICLE FIRES,201301,0
CITY OF LONDON,ALL DELIBERATE FIRES,201301,0
CITY OF LONDON,ALL FALSE ALARMS,201301,75
CITY OF LONDON,ALL FIRES,201301,3
CITY OF LONDON,ALL SPECIAL SERVICES,201301,14
CITY OF LONDON,CARE HOME FIRES,201301,0
CITY OF LONDON,DELIBERATE FIRES IN RUBBISH,201301,0
CITY OF LONDON,DELIBERATE OPEN LAND FIRES,201301,0
CITY OF LONDON,DELIBERATE VEHICLE FIRES,201301,0
CITY OF LONDON,FALSE ALARMS AFAS DOM,201301,0
CITY OF LONDON,FALSE ALARMS AFAS NONDOM,201301,67
CITY OF LONDON,FALSE ALARMS GOOD INTENT,201301,8
CITY OF LONDON,MALICIOUS FALSE ALARMS,201301,0
CITY OF LONDON,NONDOMFIRES NONRRO,201301,0
CITY OF LONDON,NONDOMFIRES RRO,201301,3
CITY OF LONDON,PRIMARY FIRES,201301,3
CITY OF LONDON,PRIMARY FIRES IN DWELLINGS,201301,0
CITY OF LONDON,ROAD TRAFFIC COLLISIONS,201301,1
CITY OF LONDON,RUBBISH FIRES,201301,0
CITY OF LONDON,SECONDARY FIRES,201301,0
CITY OF LONDON,SHUT-IN-LIFT RELEASES,201301,3
CITY OF LONDON,SPECIAL SERVICE ENTRY & EXIT,201301,1
CROYDON,ACCIDENTAL FIRES IN RUBBISH,201301,7
CROYDON,ACCIDENTAL OPEN LAND FIRES,201301,3
CROYDON,ACCIDENTAL VEHICLE FIRES,201301,4
CROYDON,ALL DELIBERATE FIRES,201301,18
CROYDON,ALL FALSE ALARMS,201301,107
CROYDON,ALL FIRES,201301,63
CROYDON,ALL SPECIAL SERVICES,201301,106
CROYDON,CARE HOME FIRES,201301,2
CROYDON,DELIBERATE FIRES IN RUBBISH,201301,5
CROYDON,DELIBERATE OPEN LAND FIRES,201301,2
CROYDON,DELIBERATE VEHICLE FIRES,201301,4
CROYDON,FALSE ALARMS AFAS DOM,201301,34
CROYDON,FALSE ALARMS AFAS NONDOM,201301,33
CROYDON,FALSE ALARMS GOOD INTENT,201301,31
CROYDON,MALICIOUS FALSE ALARMS,201301,9
CROYDON,NONDOMFIRES NONRRO,201301,5
CROYDON,NONDOMFIRES RRO,201301,5
CROYDON,PRIMARY FIRES,201301,42
CROYDON,PRIMARY FIRES IN DWELLINGS,201301,25
CROYDON,ROAD TRAFFIC COLLISIONS,201301,19
CROYDON,RUBBISH FIRES,201301,12
CROYDON,SECONDARY FIRES,201301,21
CROYDON,SHUT-IN-LIFT RELEASES,201301,8
CROYDON,SPECIAL SERVICE ENTRY & EXIT,201301,21
EALING,ACCIDENTAL FIRES IN RUBBISH,201301,8
EALING,ACCIDENTAL OPEN LAND FIRES,201301,4
EALING,ACCIDENTAL VEHICLE FIRES,201301,7
EALING,ALL DELIBERATE FIRES,201301,11
EALING,ALL FALSE ALARMS,201301,132
EALING,ALL FIRES,201301,64
EALING,ALL SPECIAL SERVICES,201301,70
EALING,CARE HOME FIRES,201301,3
EALING,DELIBERATE FIRES IN RUBBISH,201301,5
EALING,DELIBERATE OPEN LAND FIRES,201301,3
EALING,DELIBERATE VEHICLE FIRES,201301,0
EALING,FALSE ALARMS AFAS DOM,201301,43
EALING,FALSE ALARMS AFAS NONDOM,201301,55
EALING,FALSE ALARMS GOOD INTENT,201301,28
EALING,MALICIOUS FALSE ALARMS,201301,6
EALING,NONDOMFIRES NONRRO,201301,2
EALING,NONDOMFIRES RRO,201301,7
EALING,PRIMARY FIRES,201301,42
EALING,PRIMARY FIRES IN DWELLINGS,201301,24
EALING,ROAD TRAFFIC COLLISIONS,201301,18
EALING,RUBBISH FIRES,201301,13
EALING,SECONDARY FIRES,201301,22
EALING,SHUT-IN-LIFT RELEASES,201301,5
EALING,SPECIAL SERVICE ENTRY & EXIT,201301,20
ENFIELD,ACCIDENTAL FIRES IN RUBBISH,201301,8
ENFIELD,ACCIDENTAL OPEN LAND FIRES,201301,2
ENFIELD,ACCIDENTAL VEHICLE FIRES,201301,6
ENFIELD,ALL DELIBERATE FIRES,201301,8
ENFIELD,ALL FALSE ALARMS,201301,86
ENFIELD,ALL FIRES,201301,56
ENFIELD,ALL SPECIAL SERVICES,201301,86
ENFIELD,CARE HOME FIRES,201301,3
ENFIELD,DELIBERATE FIRES IN RUBBISH,201301,4
ENFIELD,DELIBERATE OPEN LAND FIRES,201301,1
ENFIELD,DELIBERATE VEHICLE FIRES,201301,0
ENFIELD,FALSE ALARMS AFAS DOM,201301,18
ENFIELD,FALSE ALARMS AFAS NONDOM,201301,36
ENFIELD,FALSE ALARMS GOOD INTENT,201301,27
ENFIELD,MALICIOUS FALSE ALARMS,201301,5
ENFIELD,NONDOMFIRES NONRRO,201301,3
ENFIELD,NONDOMFIRES RRO,201301,7
ENFIELD,PRIMARY FIRES,201301,39
ENFIELD,PRIMARY FIRES IN DWELLINGS,201301,23
ENFIELD,ROAD TRAFFIC COLLISIONS,201301,12
ENFIELD,RUBBISH FIRES,201301,12
ENFIELD,SECONDARY FIRES,201301,17
ENFIELD,SHUT-IN-LIFT RELEASES,201301,15
ENFIELD,SPECIAL SERVICE ENTRY & EXIT,201301,17
GREENWICH,ACCIDENTAL FIRES IN RUBBISH,201301,7
GREENWICH,ACCIDENTAL OPEN LAND FIRES,201301,1
GREENWICH,ACCIDENTAL VEHICLE FIRES,201301,3
GREENWICH,ALL DELIBERATE FIRES,201301,12
GREENWICH,ALL FALSE ALARMS,201301,78
GREENWICH,ALL FIRES,201301,44
GREENWICH,ALL SPECIAL SERVICES,201301,84
GREENWICH,CARE HOME FIRES,201301,2
GREENWICH,DELIBERATE FIRES IN RUBBISH,201301,2
GREENWICH,DELIBERATE OPEN LAND FIRES,201301,0
GREENWICH,DELIBERATE VEHICLE FIRES,201301,4
GREENWICH,FALSE ALARMS AFAS DOM,201301,6
GREENWICH,FALSE ALARMS AFAS NONDOM,201301,34
GREENWICH,FALSE ALARMS GOOD INTENT,201301,38
GREENWICH,MALICIOUS FALSE ALARMS,201301,0
GREENWICH,NONDOMFIRES NONRRO,201301,1
GREENWICH,NONDOMFIRES RRO,201301,8
GREENWICH,PRIMARY FIRES,201301,33
GREENWICH,PRIMARY FIRES IN DWELLINGS,201301,16
GREENWICH,ROAD TRAFFIC COLLISIONS,201301,11
GREENWICH,RUBBISH FIRES,201301,9
GREENWICH,SECONDARY FIRES,201301,11
GREENWICH,SHUT-IN-LIFT RELEASES,201301,16
GREENWICH,SPECIAL SERVICE ENTRY & EXIT,201301,21
HACKNEY,ACCIDENTAL FIRES IN RUBBISH,201301,17
HACKNEY,ACCIDENTAL OPEN LAND FIRES,201301,2
HACKNEY,ACCIDENTAL VEHICLE FIRES,201301,0
HACKNEY,ALL DELIBERATE FIRES,201301,8
HACKNEY,ALL FALSE ALARMS,201301,160
HACKNEY,ALL FIRES,201301,57
HACKNEY,ALL SPECIAL SERVICES,201301,152
HACKNEY,CARE HOME FIRES,201301,4
HACKNEY,DELIBERATE FIRES IN RUBBISH,201301,4
HACKNEY,DELIBERATE OPEN LAND FIRES,201301,1
HACKNEY,DELIBERATE VEHICLE FIRES,201301,4
HACKNEY,FALSE ALARMS AFAS DOM,201301,60
HACKNEY,FALSE ALARMS AFAS NONDOM,201301,63
HACKNEY,FALSE ALARMS GOOD INTENT,201301,34
HACKNEY,MALICIOUS FALSE ALARMS,201301,3
HACKNEY,NONDOMFIRES NONRRO,201301,0
HACKNEY,NONDOMFIRES RRO,201301,8
HACKNEY,PRIMARY FIRES,201301,33
HACKNEY,PRIMARY FIRES IN DWELLINGS,201301,21
HACKNEY,ROAD TRAFFIC COLLISIONS,201301,4
HACKNEY,RUBBISH FIRES,201301,21
HACKNEY,SECONDARY FIRES,201301,24
HACKNEY,SHUT-IN-LIFT RELEASES,201301,66
HACKNEY,SPECIAL SERVICE ENTRY & EXIT,201301,24
HAMMERSMITH AND FULHAM,ACCIDENTAL FIRES IN RUBBISH,201301,9
HAMMERSMITH AND FULHAM,ACCIDENTAL OPEN LAND FIRES,201301,5
HAMMERSMITH AND FULHAM,ACCIDENTAL VEHICLE FIRES,201301,0
HAMMERSMITH AND FULHAM,ALL DELIBERATE FIRES,201301,3
HAMMERSMITH AND FULHAM,ALL FALSE ALARMS,201301,99
HAMMERSMITH AND FULHAM,ALL FIRES,201301,37
HAMMERSMITH AND FULHAM,ALL SPECIAL SERVICES,201301,78
HAMMERSMITH AND FULHAM,CARE HOME FIRES,201301,2
HAMMERSMITH AND FULHAM,DELIBERATE FIRES IN RUBBISH,201301,1
HAMMERSMITH AND FULHAM,DELIBERATE OPEN LAND FIRES,201301,1
HAMMERSMITH AND FULHAM,DELIBERATE VEHICLE FIRES,201301,0
HAMMERSMITH AND FULHAM,FALSE ALARMS AFAS DOM,201301,51
HAMMERSMITH AND FULHAM,FALSE ALARMS AFAS NONDOM,201301,28
HAMMERSMITH AND FULHAM,FALSE ALARMS GOOD INTENT,201301,19
HAMMERSMITH AND FULHAM,MALICIOUS FALSE ALARMS,201301,1
HAMMERSMITH AND FULHAM,NONDOMFIRES NONRRO,201301,0
HAMMERSMITH AND FULHAM,NONDOMFIRES RRO,201301,1
HAMMERSMITH AND FULHAM,PRIMARY FIRES,201301,20
HAMMERSMITH AND FULHAM,PRIMARY FIRES IN DWELLINGS,201301,19
HAMMERSMITH AND FULHAM,ROAD TRAFFIC COLLISIONS,201301,5
HAMMERSMITH AND FULHAM,RUBBISH FIRES,201301,10
HAMMERSMITH AND FULHAM,SECONDARY FIRES,201301,17
HAMMERSMITH AND FULHAM,SHUT-IN-LIFT RELEASES,201301,25
HAMMERSMITH AND FULHAM,SPECIAL SERVICE ENTRY & EXIT,201301,11
HARINGEY,ACCIDENTAL FIRES IN RUBBISH,201301,7
HARINGEY,ACCIDENTAL OPEN LAND FIRES,201301,0
HARINGEY,ACCIDENTAL VEHICLE FIRES,201301,2
HARINGEY,ALL DELIBERATE FIRES,201301,4
HARINGEY,ALL FALSE ALARMS,201301,92
HARINGEY,ALL FIRES,201301,33
HARINGEY,ALL SPECIAL SERVICES,201301,86
HARINGEY,CARE HOME FIRES,201301,0
HARINGEY,DELIBERATE FIRES IN RUBBISH,201301,2
HARINGEY,DELIBERATE OPEN LAND FIRES,201301,1
HARINGEY,DELIBERATE VEHICLE FIRES,201301,0
HARINGEY,FALSE ALARMS AFAS DOM,201301,40
HARINGEY,FALSE ALARMS AFAS NONDOM,201301,30
HARINGEY,FALSE ALARMS GOOD INTENT,201301,18
HARINGEY,MALICIOUS FALSE ALARMS,201301,4
HARINGEY,NONDOMFIRES NONRRO,201301,2
HARINGEY,NONDOMFIRES RRO,201301,4
HARINGEY,PRIMARY FIRES,201301,22
HARINGEY,PRIMARY FIRES IN DWELLINGS,201301,14
HARINGEY,ROAD TRAFFIC COLLISIONS,201301,10
HARINGEY,RUBBISH FIRES,201301,9
HARINGEY,SECONDARY FIRES,201301,11
HARINGEY,SHUT-IN-LIFT RELEASES,201301,3
HARINGEY,SPECIAL SERVICE ENTRY & EXIT,201301,21
HARROW,ACCIDENTAL FIRES IN RUBBISH,201301,4
HARROW,ACCIDENTAL OPEN LAND FIRES,201301,1
HARROW,ACCIDENTAL VEHICLE FIRES,201301,2
HARROW,ALL DELIBERATE FIRES,201301,2
HARROW,ALL FALSE ALARMS,201301,82
HARROW,ALL FIRES,201301,26
