ward_code,ward_name,borough_code,borough_name,party,party_long,number_votes
E05000026,Abbey,E09000002,Barking and Dagenham,CON,Conservative Party,1097
E05000026,Abbey,E09000002,Barking and Dagenham,LAB,Conservative Party,6298
E05000027,Alibon,E09000002,Barking and Dagenham,CON,Conservative Party,1243
E05000027,Alibon,E09000002,Barking and Dagenham,LAB,Conservative Party,3937
E05000028,Becontree,E09000002,Barking and Dagenham,CON,Conservative Party,1367
E05000028,Becontree,E09000002,Barking and Dagenham,LAB,Conservative Party,6062
E05000029,Chadwell Heath,E09000002,Barking and Dagenham,CON,Conservative Party,2050
E05000029,Chadwell Heath,E09000002,Barking and Dagenham,LAB,Conservative Party,4485
E05000030,Eastbrook,E09000002,Barking and Dagenham,BNP,British National Party,158
E05000030,Eastbrook,E09000002,Barking and Dagenham,CON,British National Party,2534
E05000030,Eastbrook,E09000002,Barking and Dagenham,IND,British National Party,372
E05000030,Eastbrook,E09000002,Barking and Dagenham,LAB,British National Party,4395
E05000031,Eastbury,E09000002,Barking and Dagenham,CON,Conservative Party,1423
E05000031,Eastbury,E09000002,Barking and Dagenham,LAB,Conservative Party,4702
E05000032,Gascoigne,E09000002,Barking and Dagenham,CON,Conservative Party,1025
E05000032,Gascoigne,E09000002,Barking and Dagenham,LAB,Conservative Party,4623
E05000033,Goresbrook,E09000002,Barking and Dagenham,BNP,British National Party,246
E05000033,Goresbrook,E09000002,Barking and Dagenham,CON,British National Party,1305
E05000033,Goresbrook,E09000002,Barking and Dagenham,LAB,British National Party,4046
E05000034,Heath,E09000002,Barking and Dagenham,CON,Conservative Party,1298
E05000034,Heath,E09000002,Barking and Dagenham,GRE,Conservative Party,317
E05000034,Heath,E09000002,Barking and Dagenham,LAB,Conservative Party,3785
E05000035,Longbridge,E09000002,Barking and Dagenham,CON,Conservative Party,1951
E05000035,Longbridge,E09000002,Barking and Dagenham,LAB,Conservative Party,7666
E05000036,Mayesbrook,E09000002,Barking and Dagenham,CON,Conservative Party,1349
E05000036,Mayesbrook,E09000002,Barking and Dagenham,LAB,Conservative Party,3844
E05000037,Parsloes,E09000002,Barking and Dagenham,CON,Conservative Party,1159
E05000037,Parsloes,E09000002,Barking and Dagenham,LAB,Conservative Party,3724
E05000038,River,E09000002,Barking and Dagenham,CON,Conservative Party,1215
E05000038,River,E09000002,Barking and Dagenham,LAB,Conservative Party,4469
E05000039,Thames,E09000002,Barking and Dagenham,CON,Conservative Party,1067
E05000039,Thames,E09000002,Barking and Dagenham,LAB,Conservative Party,5861
E05000040,Valence,E09000002,Barking and Dagenham,CON,Conservative Party,1037
E05000040,Valence,E09000002,Barking and Dagenham,LAB,Conservative Party,4433
E05000041,Village,E09000002,Barking and Dagenham,CON,Conservative Party,1321
E05000041,Village,E09000002,Barking and Dagenham,LAB,Conservative Party,5283
E05000042,Whalebone,E09000002,Barking and Dagenham,CON,Conservative Party,1765
E05000042,Whalebone,E09000002,Barking and Dagenham,LAB,Conservative Party,5422
E05000043,Brunswick Park,E09000003,Barnet,CON,Conservative Party,7465
E05000043,Brunswick Park,E09000003,Barnet,GRE,Conservative Party,443
E05000043,Brunswick Park,E09000003,Barnet,LAB,Conservative Party,6846
E05000043,Brunswick Park,E09000003,Barnet,LD,Conservative Party,805
E05000044,Burnt Oak,E09000003,Barnet,CON,Conservative Party,2632
E05000044,Burnt Oak,E09000003,Barnet,GRE,Conservative Party,364
E05000044,Burnt Oak,E09000003,Barnet,LAB,Conservative Party,7081
E05000044,Burnt Oak,E09000003,Barnet,LD,Conservative Party,569
E05000045,Childs Hill,E09000003,Barnet,CON,Conservative Party,6727
E05000045,Childs Hill,E09000003,Barnet,GRE,Conservative Party,406
E05000045,Childs Hill,E09000003,Barnet,LAB,Conservative Party,6181
E05000045,Childs Hill,E09000003,Barnet,LD,Conservative Party,3281
E05000046,Colindale,E09000003,Barnet,CON,Conservative Party,2702
E05000046,Colindale,E09000003,Barnet,LAB,Conservative Party,8864
E05000046,Colindale,E09000003,Barnet,LD,Conservative Party,1012
E05000047,Coppetts,E09000003,Barnet,CON,Conservative Party,3905
E05000047,Coppetts,E09000003,Barnet,LAB,Conservative Party,8338
E05000047,Coppetts,E09000003,Barnet,LD,Conservative Party,1275
E05000048,East Barnet,E09000003,Barnet,CON,Conservative Party,7104
E05000048,East Barnet,E09000003,Barnet,GRE,Conservative Party,498
E05000048,East Barnet,E09000003,Barnet,LAB,Conservative Party,7417
E05000048,East Barnet,E09000003,Barnet,LD,Conservative Party,964
E05000049,East Finchley,E09000003,Barnet,CON,Conservative Party,3372
E05000049,East Finchley,E09000003,Barnet,GRE,Conservative Party,1016
E05000049,East Finchley,E09000003,Barnet,LAB,Conservative Party,9403
E05000049,East Finchley,E09000003,Barnet,LD,Conservative Party,1273
E05000050,Edgware,E09000003,Barnet,CON,Conservative Party,10226
E05000050,Edgware,E09000003,Barnet,GRE,Conservative Party,407
E05000050,Edgware,E09000003,Barnet,LAB,Conservative Party,2330
E05000050,Edgware,E09000003,Barnet,LD,Conservative Party,1870
E05000051,Finchley Church End,E09000003,Barnet,CON,Conservative Party,9671
E05000051,Finchley Church End,E09000003,Barnet,LAB,Conservative Party,3502
E05000051,Finchley Church End,E09000003,Barnet,LD,Conservative Party,1733
E05000052,Garden Suburb,E09000003,Barnet,CON,Conservative Party,10299
E05000052,Garden Suburb,E09000003,Barnet,GRE,Conservative Party,460
E05000052,Garden Suburb,E09000003,Barnet,LAB,Conservative Party,2549
E05000052,Garden Suburb,E09000003,Barnet,LD,Conservative Party,1797
E05000053,Golders Green,E09000003,Barnet,CON,Conservative Party,9572
E05000053,Golders Green,E09000003,Barnet,GRE,Conservative Party,357
E05000053,Golders Green,E09000003,Barnet,LAB,Conservative Party,3397
E05000053,Golders Green,E09000003,Barnet,LD,Conservative Party,821
E05000054,Hale,E09000003,Barnet,CON,Conservative Party,9136
E05000054,Hale,E09000003,Barnet,GRE,Conservative Party,420
E05000054,Hale,E09000003,Barnet,LAB,Conservative Party,6489
E05000054,Hale,E09000003,Barnet,LD,Conservative Party,1058
E05000055,Hendon,E09000003,Barnet,CON,Conservative Party,8844
E05000055,Hendon,E09000003,Barnet,DP,Conservative Party,130
E05000055,Hendon,E09000003,Barnet,GRE,Conservative Party,316
E05000055,Hendon,E09000003,Barnet,LAB,Conservative Party,3594
E05000055,Hendon,E09000003,Barnet,LD,Conservative Party,686
E05000056,High Barnet,E09000003,Barnet,CON,Conservative Party,8161
E05000056,High Barnet,E09000003,Barnet,GRE,Conservative Party,753
E05000056,High Barnet,E09000003,Barnet,IND,Conservative Party,471
E05000056,High Barnet,E09000003,Barnet,LAB,Conservative Party,7334
E05000056,High Barnet,E09000003,Barnet,LD,Conservative Party,1639
E05000057,Mill Hill,E09000003,Barnet,CON,Conservative Party,8853
E05000057,Mill Hill,E09000003,Barnet,GRE,Conservative Party,467
E05000057,Mill Hill,E09000003,Barnet,LAB,Conservative Party,4293
E05000057,Mill Hill,E09000003,Barnet,LD,Conservative Party,3481
E05000058,Oakleigh,E09000003,Barnet,CON,Conservative Party,8356
E05000058,Oakleigh,E09000003,Barnet,GRE,Conservative Party,535
E05000058,Oakleigh,E09000003,Barnet,LAB,Conservative Party,5306
E05000058,Oakleigh,E09000003,Barnet,LD,Conservative Party,1190
E05000059,Totteridge,E09000003,Barnet,CON,Conservative Party,8472
E05000059,Totteridge,E09000003,Barnet,GRE,Conservative Party,598
E05000059,Totteridge,E09000003,Barnet,LAB,Conservative Party,3641
E05000059,Totteridge,E09000003,Barnet,LD,Conservative Party,1206
