Year,Station,Entry-Weekday,Entry-Sat,Entry-Sun,Exit-Weekday,Exit-Sat,Exit-Sun,Entry & Exit-Annual
2007,Acton Town                         ,9205,6722,4427,8899,6320,4304,359.73
2007,Aldgate                            ,9887,2191,1484,10397,2587,1772,302.88
2007,Aldgate East                       ,12820,7040,5505,12271,6220,5000,458.48
2007,Alperton                           ,4611,3354,2433,4719,3450,2503,188.00
2007,Amersham                           ,4182,1709,1004,3938,1585,957,134.14
2007,Angel                              ,25812,21332,12051,25367,22245,11876,1056.45
2007,Archway                            ,12752,8814,5608,12092,7089,5001,473.88
2007,Arnos Grove                        ,6844,5734,3375,6392,5449,3138,274.71
2007,Arsenal                            ,4243,4085,2255,3752,4439,2301,180.72
2007,Baker Street                       ,38663,25555,17573,37818,24929,16919,1476.02
2007,Balham                             ,17607,13470,8116,17957,12687,8472,706.85
2007,Bank & Monument                    ,76119,14880,8593,78854,16752,8861,2244.03
2007,Barbican                           ,16960,5535,3481,16968,5449,3363,534.48
2007,Barking                            ,20672,13856,9344,19993,13352,9042,787.59
2007,Barkingside                        ,1479,597,388,1485,629,385,49.36
2007,Barons Court                       ,11860,6182,4129,10502,4804,3828,396.19
2007,Bayswater                          ,8464,8995,7492,8419,8720,6916,405.20
2007,Becontree                          ,3812,3176,1420,3429,3068,1261,146.51
2007,Belsize Park                       ,9696,5532,3742,8779,4687,3500,338.23
2007,Bermondsey                         ,10816,6996,4750,10145,6496,4664,402.28
2007,Bethnal Green                      ,23118,17518,12003,20415,15198,11392,887.78
2007,Blackfriars                        ,22608,7774,5096,21708,6245,6435,710.01
2007,Blackhorse Road                    ,10204,7547,5003,9202,6188,4402,384.90
2007,Bond Street                        ,56875,46575,26939,56762,46581,25629,2319.73
2007,Borough                            ,6727,3965,2664,6689,4207,2747,250.80
2007,Boston Manor                       ,3088,2079,1304,2882,1781,1282,114.26
2007,Bounds Green                       ,8987,6848,4384,8133,5816,4227,344.67
2007,Bow Road                           ,7292,5206,3512,7207,4574,3503,283.87
2007,Brent Cross                        ,3098,2124,1496,2859,1903,1485,117.25
2007,Brixton                            ,35088,21979,14697,30573,20930,14685,1264.24
2007,Bromley-by-Bow                     ,4287,2915,2077,4113,2680,1928,163.70
