,Period beginning,Period ending,Days in period,Journey type,Passengers (m)
0,2010-04-01,2010-05-01,31,Bus journeys (m),189.1
1,2010-05-02,2010-05-29,28,Bus journeys (m),181.6
2,2010-05-30,2010-06-26,28,Bus journeys (m),175.9
3,2010-06-27,2010-07-24,28,Bus journeys (m),183.4
4,2010-07-25,2010-08-21,28,Bus journeys (m),160.4
5,2010-08-22,2010-09-18,28,Bus journeys (m),175.8
6,2010-09-19,2010-10-16,28,Bus journeys (m),189.8
7,2010-10-17,2010-11-13,28,Bus journeys (m),179.9
8,2010-11-14,2010-12-11,28,Bus journeys (m),178.8
9,2010-12-12,2011-01-08,28,Bus journeys (m),140.1
10,2011-01-09,2011-02-05,28,Bus journeys (m),183.0
11,2011-02-06,2011-03-05,28,Bus journeys (m),177.2
12,2011-03-06,2011-03-31,26,Bus journeys (m),173.9
13,2011-04-01,2011-04-30,30,Bus journeys (m),183.8
14,2011-05-01,2011-05-28,28,Bus journeys (m),186.1
15,2011-05-29,2011-06-25,28,Bus journeys (m),181.7
16,2011-06-26,2011-07-23,28,Bus journeys (m),186.7
17,2011-07-24,2011-08-20,28,Bus journeys (m),161.1
18,2011-08-21,2011-09-17,28,Bus journeys (m),173.9
19,2011-09-18,2011-10-15,28,Bus journeys (m),193.4
20,2011-10-16,2011-11-12,28,Bus journeys (m),185.2
21,2011-11-13,2011-12-10,28,Bus journeys (m),189.4
22,2011-12-11,2012-01-07,28,Bus journeys (m),151.2
23,2012-01-08,2012-02-04,28,Bus journeys (m),181.4
24,2012-02-05,2012-03-03,28,Bus journeys (m),179.5
25,2012-03-04,2012-03-31,28,Bus journeys (m),191.2
26,2012-04-01,2012-04-28,28,Bus journeys (m),171.8
27,2012-04-29,2012-05-26,28,Bus journeys (m),189.2
28,2012-05-27,2012-06-23,28,Bus journeys (m),176.5
29,2012-06-24,2012-07-21,28,Bus journeys (m),189.9
30,2012-07-22,2012-08-18,28,Bus journeys (m),167.1
31,2012-08-19,2012-09-15,28,Bus journeys (m),177.0
32,2012-09-16,2012-10-13,28,Bus journeys (m),194.2
33,2012-10-14,2012-11-10,28,Bus journeys (m),184.7
34,2012-11-11,2012-12-08,28,Bus journeys (m),187.6
35,2012-12-09,2013-01-05,28,Bus journeys (m),151.9
36,2013-01-06,2013-02-02,28,Bus journeys (m),178.1
37,2013-02-03,2013-03-02,28,Bus journeys (m),180.3
38,2013-03-03,2013-03-31,29,Bus journeys (m),186.5
39,2013-04-01,2013-04-27,27,Bus journeys (m),171.6
40,2013-04-28,2013-05-25,28,Bus journeys (m),188.8
41,2013-05-26,2013-06-22,28,Bus journeys (m),183.5
42,2013-06-23,2013-07-20,28,Bus journeys (m),190.2
43,2013-07-21,2013-08-17,28,Bus journeys (m),166.3
44,2013-08-18,2013-09-14,28,Bus journeys (m),173.7
45,2013-09-15,2013-10-12,28,Bus journeys (m),194.5
46,2013-10-13,2013-11-09,28,Bus journeys (m),186.3
47,2013-11-10,2013-12-07,28,Bus journeys (m),193.2
48,2013-12-08,2014-01-04,28,Bus journeys (m),155.1
49,2014-01-05,2014-02-01,28,Bus journeys (m),186.6
50,2014-02-02,2014-03-01,28,Bus journeys (m),185.6
51,2014-03-02,2014-03-31,30,Bus journeys (m),206.9
52,2014-04-01,2014-04-26,26,Bus journeys (m),164.1
53,2014-04-27,2014-05-24,28,Bus journeys (m),192.8
54,2014-05-25,2014-06-21,28,Bus journeys (m),188.1
55,2014-06-22,2014-07-19,28,Bus journeys (m),191.1
56,2014-07-20,2014-08-16,28,Bus journeys (m),169.2
57,2014-08-17,2014-09-13,28,Bus journeys (m),176.5
58,2014-09-14,2014-10-11,28,Bus journeys (m),198.8
59,2014-10-12,2014-11-08,28,Bus journeys (m),190.2
60,2014-11-09,2014-12-06,28,Bus journeys (m),195.6
61,2014-12-07,2015-01-03,28,Bus journeys (m),156.8
62,2015-01-04,2015-01-31,28,Bus journeys (m),178.2
63,2015-02-01,2015-02-28,28,Bus journeys (m),176.3
64,2015-03-01,2015-03-31,31,Bus journeys (m),207.5
65,2015-04-01,2015-05-02,26,Bus journeys (m),203.4
66,2015-05-03,2015-05-30,28,Bus journeys (m),180.5
67,2015-05-31,2015-06-27,28,Bus journeys (m),189.9
68,2015-06-28,2015-07-25,28,Bus journeys (m),182.5
69,2015-07-26,2015-08-22,28,Bus journeys (m),162.3
70,2015-08-23,2015-09-19,28,Bus journeys (m),175.0
71,2015-09-20,2015-10-17,28,Bus journeys (m),190.8
72,2015-10-18,2015-11-14,28,Bus journeys (m),181.2
73,2015-11-15,2015-12-12,28,Bus journeys (m),186.6
74,2015-12-13,2016-01-09,28,Bus journeys (m),147.1
75,2016-01-10,2016-02-06,28,Bus journeys (m),179.5
76,2016-02-07,2016-03-05,28,Bus journeys (m),176.0
77,2016-03-06,2016-03-31,31,Bus journeys (m),159.4
78,2016-04-01,2016-04-30,30,Bus journeys (m),189.3
79,2016-05-01,2016-05-28,28,Bus journeys (m),181.9
80,2016-05-29,2016-06-25,28,Bus journeys (m),173.6
81,2016-06-26,2016-07-23,28,Bus journeys (m),177.7
82,2016-07-24,2016-08-20,28,Bus journeys (m),155.3
83,2016-08-21,2016-09-17,28,Bus journeys (m),166.3
84,2016-09-18,2016-10-15,28,Bus journeys (m),186.9
85,2016-10-16,2016-11-12,28,Bus journeys (m),176.6
86,2016-11-13,2016-12-10,28,Bus journeys (m),182.7
87,2016-12-11,2017-01-07,28,Bus journeys (m),145.8
88,2017-01-08,2017-02-04,28,Bus journeys (m),174.4
89,2017-02-05,2017-03-04,28,Bus journeys (m),172.9
90,2017-03-05,2017-03-31,27,Bus journeys (m),178.4
91,2017-04-01,2017-04-29,29,Bus journeys (m),172.6
92,2017-04-30,2017-05-27,28,Bus journeys (m),182.3
93,2017-05-28,2017-06-24,28,Bus journeys (m),175.8
94,2017-06-25,2017-07-22,28,Bus journeys (m),181.5
95,2017-07-23,2017-08-19,28,Bus journeys (m),155.1
96,2017-08-20,2017-09-16,28,Bus journeys (m),166.0
97,2017-09-17,2017-10-14,28,Bus journeys (m),186.9
98,2017-10-15,2017-11-11,28,Bus journeys (m),178.1
99,2017-11-12,2017-12-09,28,Bus journeys (m),183.8
100,2017-12-10,2018-01-06,28,Bus journeys (m),145.1
101,2018-01-07,2018-02-03,28,Bus journeys (m),175.2
102,2018-02-04,2018-03-03,28,Bus journeys (m),168.7
103,2018-03-04,2018-03-31,28,Bus journeys (m),176.5
104,2018-04-01,2018-04-28,28,Bus journeys (m),165.9
105,2018-04-29,2018-05-26,28,Bus journeys (m),179.7
106,2018-05-27,2018-06-23,28,Bus journeys (m),173.9
107,2018-06-24,2018-07-21,28,Bus journeys (m),177.9
108,2018-07-22,2018-08-18,28,Bus journeys (m),151.6
109,2018-08-19,2018-09-15,28,Bus journeys (m),162.2
110,2018-09-16,2018-10-13,28,Bus journeys (m),183.5
111,2010-04-01,2010-05-01,31,Underground journeys (m),90.5
112,2010-05-02,2010-05-29,28,Underground journeys (m),84.5
113,2010-05-30,2010-06-26,28,Underground journeys (m),84.3
114,2010-06-27,2010-07-24,28,Underground journeys (m),86.5
115,2010-07-25,2010-08-21,28,Underground journeys (m),82.9
116,2010-08-22,2010-09-18,28,Underground journeys (m),80.9
117,2010-09-19,2010-10-16,28,Underground journeys (m),88.7
118,2010-10-17,2010-11-13,28,Underground journeys (m),90.3
119,2010-11-14,2010-12-11,28,Underground journeys (m),90.6
120,2010-12-12,2011-01-08,28,Underground journeys (m),72.5
121,2011-01-09,2011-02-05,28,Underground journeys (m),84.4
122,2011-02-06,2011-03-05,28,Underground journeys (m),87.8
123,2011-03-06,2011-03-31,26,Underground journeys (m),83.5
124,2011-04-01,2011-04-30,30,Underground journeys (m),91.2
125,2011-05-01,2011-05-28,28,Underground journeys (m),87.8
126,2011-05-29,2011-06-25,28,Underground journeys (m),88.9
127,2011-06-26,2011-07-23,28,Underground journeys (m),92.5
128,2011-07-24,2011-08-20,28,Underground journeys (m),85.5
129,2011-08-21,2011-09-17,28,Underground journeys (m),85.3
130,2011-09-18,2011-10-15,28,Underground journeys (m),93.1
131,2011-10-16,2011-11-12,28,Underground journeys (m),95.8
132,2011-11-13,2011-12-10,28,Underground journeys (m),97.1
133,2011-12-11,2012-01-07,28,Underground journeys (m),79.3
134,2012-01-08,2012-02-04,28,Underground journeys (m),89.8
135,2012-02-05,2012-03-03,28,Underground journeys (m),91.5
136,2012-03-04,2012-03-31,28,Underground journeys (m),92.7
137,2012-04-01,2012-04-28,28,Underground journeys (m),88.7
138,2012-04-29,2012-05-26,28,Underground journeys (m),92.6
139,2012-05-27,2012-06-23,28,Underground journeys (m),89.7
140,2012-06-24,2012-07-21,28,Underground journeys (m),96.9
141,2012-07-22,2012-08-18,28,Underground journeys (m),103.0
142,2012-08-19,2012-09-15,28,Underground journeys (m),94.0
143,2012-09-16,2012-10-13,28,Underground journeys (m),98.2
144,2012-10-14,2012-11-10,28,Underground journeys (m),100.4
145,2012-11-11,2012-12-08,28,Underground journeys (m),101.9
146,2012-12-09,2013-01-05,28,Underground journeys (m),79.0
147,2013-01-06,2013-02-02,28,Underground journeys (m),91.7
148,2013-02-03,2013-03-02,28,Underground journeys (m),96.7
149,2013-03-03,2013-03-31,29,Underground journeys (m),96.6
150,2013-04-01,2013-04-27,27,Underground journeys (m),92.1
151,2013-04-28,2013-05-25,28,Underground journeys (m),97.2
152,2013-05-26,2013-06-22,28,Underground journeys (m),95.9
153,2013-06-23,2013-07-20,28,Underground journeys (m),100.8
154,2013-07-21,2013-08-17,28,Underground journeys (m),94.1
155,2013-08-18,2013-09-14,28,Underground journeys (m),91.0
156,2013-09-15,2013-10-12,28,Underground journeys (m),101.4
157,2013-10-13,2013-11-09,28,Underground journeys (m),103.7
158,2013-11-10,2013-12-07,28,Underground journeys (m),106.3
159,2013-12-08,2014-01-04,28,Underground journeys (m),83.9
160,2014-01-05,2014-02-01,28,Underground journeys (m),96.8
161,2014-02-02,2014-03-01,28,Underground journeys (m),94.3
162,2014-03-02,2014-03-31,30,Underground journeys (m),107.0
163,2014-04-01,2014-04-26,26,Underground journeys (m),88.8
164,2014-04-27,2014-05-24,28,Underground journeys (m),92.2
165,2014-05-25,2014-06-21,28,Underground journeys (m),98.2
166,2014-06-22,2014-07-19,28,Underground journeys (m),102.6
167,2014-07-20,2014-08-16,28,Underground journeys (m),97.3
168,2014-08-17,2014-09-13,28,Underground journeys (m),93.2
169,2014-09-14,2014-10-11,28,Underground journeys (m),104.1
170,2014-10-12,2014-11-08,28,Underground journeys (m),108.6
171,2014-11-09,2014-12-06,28,Underground journeys (m),111.2
172,2014-12-07,2015-01-03,28,Underground journeys (m),87.0
173,2015-01-04,2015-01-31,28,Underground journeys (m),100.2
174,2015-02-01,2015-02-28,28,Underground journeys (m),105.7
175,2015-03-01,2015-03-31,31,Underground journeys (m),116.3
176,2015-04-01,2015-05-02,26,Underground journeys (m),113.6
177,2015-05-03,2015-05-30,28,Underground journeys (m),102.0
178,2015-05-31,2015-06-27,28,Underground journeys (m),105.9
179,2015-06-28,2015-07-25,28,Underground journeys (m),101.3
180,2015-07-26,2015-08-22,28,Underground journeys (m),94.6
181,2015-08-23,2015-09-19,28,Underground journeys (m),97.6
182,2015-09-20,2015-10-17,28,Underground journeys (m),111.7
183,2015-10-18,2015-11-14,28,Underground journeys (m),112.7
184,2015-11-15,2015-12-12,28,Underground journeys (m),114.0
185,2015-12-13,2016-01-09,28,Underground journeys (m),85.4
186,2016-01-10,2016-02-06,28,Underground journeys (m),106.8
187,2016-02-07,2016-03-05,28,Underground journeys (m),109.3
188,2016-03-06,2016-03-31,31,Underground journeys (m),94.5
189,2016-04-01,2016-04-30,30,Underground journeys (m),114.2
190,2016-05-01,2016-05-28,28,Underground journeys (m),105.7
191,2016-05-29,2016-06-25,28,Underground journeys (m),104.2
192,2016-06-26,2016-07-23,28,Underground journeys (m),109.1
193,2016-07-24,2016-08-20,28,Underground journeys (m),101.1
194,2016-08-21,2016-09-17,28,Underground journeys (m),98.8
195,2016-09-18,2016-10-15,28,Underground journeys (m),110.4
196,2016-10-16,2016-11-12,28,Underground journeys (m),112.6
197,2016-11-13,2016-12-10,28,Underground journeys (m),116.7
198,2016-12-11,2017-01-07,28,Underground journeys (m),89.0
199,2017-01-08,2017-02-04,28,Underground journeys (m),101.9
200,2017-02-05,2017-03-04,28,Underground journeys (m),108.3
201,2017-03-05,2017-03-31,27,Underground journeys (m),106.0
202,2017-04-01,2017-04-29,29,Underground journeys (m),104.6
203,2017-04-30,2017-05-27,28,Underground journeys (m),106.1
204,2017-05-28,2017-06-24,28,Underground journeys (m),101.6
205,2017-06-25,2017-07-22,28,Underground journeys (m),109.0
206,2017-07-23,2017-08-19,28,Underground journeys (m),101.0
