Latitude,Longitude,Station Name
51.5028,-0.2801,"Acton Town"
51.5143,-0.0755,"Aldgate"
51.5154,-0.0726,"Aldgate East"
51.5107,-0.013,"All Saints"
51.5407,-0.2997,"Alperton"
51.5322,-0.1058,"Angel"
51.5653,-0.1353,"Archway"
51.6164,-0.1331,"Arnos Grove"
51.5586,-0.1059,"Arsenal"
51.5226,-0.1571,"Baker Street"
51.4431,-0.1525,"Balham"
51.5133,-0.0886,"Bank"
51.5204,-0.0979,"Barbican"
51.5396,0.081,"Barking"
51.5856,0.0887,"Barkingside"
51.4905,-0.2139,"Barons Court"
51.5121,-0.1879,"Bayswater"
51.5148,0.0613,"Beckton"
51.5087,0.055,"Beckton Park"
51.5403,0.127,"Becontree"
51.5504,-0.1642,"Belsize Park"
51.527,-0.0549,"Bethnal Green"
51.512,-0.1031,"Blackfriars"
51.5867,-0.0417,"Blackhorse Road"
51.5079,-0.0066,"Blackwall"
51.5142,-0.1494,"Bond Street"
51.5011,-0.0943,"Borough"
51.4956,-0.325,"Boston Manor"
51.6071,-0.1243,"Bounds Green"
51.5273,-0.0208,"Bow Church"
51.5269,-0.0247,"Bow Road"
51.5766,-0.2136,"Brent Cross"
51.5248,-0.0119,"Bromley-By-Bow"
51.6028,-0.2641,"Burnt Oak"
51.5481,-0.1188,"Caledonian Road"
51.5392,-0.1426,"Camden Town"
51.5051,-0.0209,"Canary Wharf"
51.5113,-0.0904,"Cannon Street"
51.6078,-0.2947,"Canons Park"
51.5441,-0.1538,"Chalk Farm"
51.5185,-0.1111,"Chancery Lane"
51.508,-0.1247,"Charing Cross"
51.6177,0.0755,"Chigwell"
51.4946,-0.2678,"Chiswick Park"
51.4618,-0.1384,"Clapham Common"
51.4649,-0.1299,"Clapham North"
51.4527,-0.148,"Clapham South"
51.5955,-0.2502,"Colindale"
51.418,-0.1778,"Colliers Wood"
51.5129,-0.1243,"Covent Garden"
51.4957,-0.0144,"Crossharbour & London Arena"
51.5095,0.0276,"Custom House"
51.5085,0.064,"Cyprus"
51.5443,0.1655,"Dagenham East"
51.5417,0.1469,"Dagenham Heathway"
51.5223,-0.0173,"Devons Road"
51.552,-0.2387,"Dollis Hill"
51.5152,-0.3017,"Ealing Broadway"
51.5101,-0.2882,"Ealing Common"
51.492,-0.1973,"Earl's Court"
51.5765,-0.397,"Eastcote"
51.5168,-0.2474,"East Acton"
51.5874,-0.165,"East Finchley"
51.5394,0.0518,"East Ham"
51.5093,-0.0021,"East India"
51.4586,-0.2112,"East Putney"
51.6137,-0.275,"Edgware"
51.5199,-0.1679,"Edgware Road (B)"
51.5203,-0.17,"Edgware Road (C)"
51.4943,-0.1001,"Elephant & Castle"
51.5496,0.1977,"Elm Park"
51.5074,-0.1223,"Embankment"
51.5282,-0.1337,"Euston"
51.526,-0.1359,"Euston Square"
51.596,0.0912,"Fairlop"
51.5203,-0.1053,"Farringdon"
51.6012,-0.1932,"Finchley Central"
51.5472,-0.1803,"Finchley Road"
51.5642,-0.1065,"Finsbury Park"
51.4804,-0.195,"Fulham Broadway"
