year,Borough,gender,Occupation type,Count
2004,Barking and Dagenham,male," 1: managers, directors and senior officials (SOC2010)",3300
2004,Barnet,male," 1: managers, directors and senior officials (SOC2010)",13700
2004,Bexley,male," 1: managers, directors and senior officials (SOC2010)",6200
2004,Brent,male," 1: managers, directors and senior officials (SOC2010)",8800
2004,Bromley,male," 1: managers, directors and senior officials (SOC2010)",13800
2004,Camden,male," 1: managers, directors and senior officials (SOC2010)",9100
2004,Croydon,male," 1: managers, directors and senior officials (SOC2010)",13300
2004,Ealing,male," 1: managers, directors and senior officials (SOC2010)",11900
2004,Enfield,male," 1: managers, directors and senior officials (SOC2010)",15700
2004,Greenwich,male," 1: managers, directors and senior officials (SOC2010)",4300
2004,Hackney,male," 1: managers, directors and senior officials (SOC2010)",4000
2004,Hammersmith and Fulham,male," 1: managers, directors and senior officials (SOC2010)",6400
2004,Haringey,male," 1: managers, directors and senior officials (SOC2010)",5300
2004,Harrow,male," 1: managers, directors and senior officials (SOC2010)",7700
2004,Havering,male," 1: managers, directors and senior officials (SOC2010)",8400
2004,Hillingdon,male," 1: managers, directors and senior officials (SOC2010)",9300
2004,Hounslow,male," 1: managers, directors and senior officials (SOC2010)",7200
2004,Islington,male," 1: managers, directors and senior officials (SOC2010)",5800
2004,Kensington and Chelsea,male," 1: managers, directors and senior officials (SOC2010)",12000
2004,Kingston upon Thames,male," 1: managers, directors and senior officials (SOC2010)",6900
2004,Lambeth,male," 1: managers, directors and senior officials (SOC2010)",9300
2004,Lewisham,male," 1: managers, directors and senior officials (SOC2010)",6600
2004,Merton,male," 1: managers, directors and senior officials (SOC2010)",6500
2004,Newham,male," 1: managers, directors and senior officials (SOC2010)",6100
2004,Redbridge,male," 1: managers, directors and senior officials (SOC2010)",7800
2004,Richmond upon Thames,male," 1: managers, directors and senior officials (SOC2010)",9100
2004,Southwark,male," 1: managers, directors and senior officials (SOC2010)",8600
2004,Sutton,male," 1: managers, directors and senior officials (SOC2010)",6100
2004,Tower Hamlets,male," 1: managers, directors and senior officials (SOC2010)",4500
2004,Waltham Forest,male," 1: managers, directors and senior officials (SOC2010)",5900
2004,Wandsworth,male," 1: managers, directors and senior officials (SOC2010)",15500
2004,Westminster,male," 1: managers, directors and senior officials (SOC2010)",11200
2005,Barking and Dagenham,male," 1: managers, directors and senior officials (SOC2010)",2600
2005,Barnet,male," 1: managers, directors and senior officials (SOC2010)",15700
2005,Bexley,male," 1: managers, directors and senior officials (SOC2010)",8000
2005,Brent,male," 1: managers, directors and senior officials (SOC2010)",9200
2005,Bromley,male," 1: managers, directors and senior officials (SOC2010)",13500
2005,Camden,male," 1: managers, directors and senior officials (SOC2010)",6600
2005,Croydon,male," 1: managers, directors and senior officials (SOC2010)",10100
2005,Ealing,male," 1: managers, directors and senior officials (SOC2010)",12200
2005,Enfield,male," 1: managers, directors and senior officials (SOC2010)",9900
2005,Greenwich,male," 1: managers, directors and senior officials (SOC2010)",5900
2005,Hackney,male," 1: managers, directors and senior officials (SOC2010)",2800
2005,Hammersmith and Fulham,male," 1: managers, directors and senior officials (SOC2010)",7800
2005,Haringey,male," 1: managers, directors and senior officials (SOC2010)",7500
2005,Harrow,male," 1: managers, directors and senior officials (SOC2010)",8000
2005,Havering,male," 1: managers, directors and senior officials (SOC2010)",7100
2005,Hillingdon,male," 1: managers, directors and senior officials (SOC2010)",8000
2005,Hounslow,male," 1: managers, directors and senior officials (SOC2010)",5700
2005,Islington,male," 1: managers, directors and senior officials (SOC2010)",6000
2005,Kensington and Chelsea,male," 1: managers, directors and senior officials (SOC2010)",8900
2005,Kingston upon Thames,male," 1: managers, directors and senior officials (SOC2010)",4900
2005,Lambeth,male," 1: managers, directors and senior officials (SOC2010)",6900
2005,Lewisham,male," 1: managers, directors and senior officials (SOC2010)",8400
2005,Merton,male," 1: managers, directors and senior officials (SOC2010)",7700
2005,Newham,male," 1: managers, directors and senior officials (SOC2010)",4000
2005,Redbridge,male," 1: managers, directors and senior officials (SOC2010)",7700
2005,Richmond upon Thames,male," 1: managers, directors and senior officials (SOC2010)",9700
2005,Southwark,male," 1: managers, directors and senior officials (SOC2010)",8000
2005,Sutton,male," 1: managers, directors and senior officials (SOC2010)",6800
2005,Tower Hamlets,male," 1: managers, directors and senior officials (SOC2010)",4100
2005,Waltham Forest,male," 1: managers, directors and senior officials (SOC2010)",4700
2005,Wandsworth,male," 1: managers, directors and senior officials (SOC2010)",12000
2005,Westminster,male," 1: managers, directors and senior officials (SOC2010)",12000
2006,Barking and Dagenham,male," 1: managers, directors and senior officials (SOC2010)",2200
2006,Barnet,male," 1: managers, directors and senior officials (SOC2010)",12500
2006,Bexley,male," 1: managers, directors and senior officials (SOC2010)",5500
2006,Brent,male," 1: managers, directors and senior officials (SOC2010)",9300
2006,Bromley,male," 1: managers, directors and senior officials (SOC2010)",13100
2006,Camden,male," 1: managers, directors and senior officials (SOC2010)",6900
2006,Croydon,male," 1: managers, directors and senior officials (SOC2010)",11200
2006,Ealing,male," 1: managers, directors and senior officials (SOC2010)",10700
2006,Enfield,male," 1: managers, directors and senior officials (SOC2010)",12700
2006,Greenwich,male," 1: managers, directors and senior officials (SOC2010)",7600
2006,Hackney,male," 1: managers, directors and senior officials (SOC2010)",5100
2006,Hammersmith and Fulham,male," 1: managers, directors and senior officials (SOC2010)",8900
2006,Haringey,male," 1: managers, directors and senior officials (SOC2010)",6700
2006,Harrow,male," 1: managers, directors and senior officials (SOC2010)",10900
2006,Havering,male," 1: managers, directors and senior officials (SOC2010)",7100
2006,Hillingdon,male," 1: managers, directors and senior officials (SOC2010)",7000
2006,Hounslow,male," 1: managers, directors and senior officials (SOC2010)",7700
2006,Islington,male," 1: managers, directors and senior officials (SOC2010)",5300
2006,Kensington and Chelsea,male," 1: managers, directors and senior officials (SOC2010)",10400
2006,Kingston upon Thames,male," 1: managers, directors and senior officials (SOC2010)",5900
2006,Lambeth,male," 1: managers, directors and senior officials (SOC2010)",10900
2006,Lewisham,male," 1: managers, directors and senior officials (SOC2010)",9600
2006,Merton,male," 1: managers, directors and senior officials (SOC2010)",3600
2006,Newham,male," 1: managers, directors and senior officials (SOC2010)",4300
2006,Redbridge,male," 1: managers, directors and senior officials (SOC2010)",11700
2006,Richmond upon Thames,male," 1: managers, directors and senior officials (SOC2010)",9500
2006,Southwark,male," 1: managers, directors and senior officials (SOC2010)",7700
2006,Sutton,male," 1: managers, directors and senior officials (SOC2010)",6500
2006,Tower Hamlets,male," 1: managers, directors and senior officials (SOC2010)",4900
2006,Waltham Forest,male," 1: managers, directors and senior officials (SOC2010)",6900
2006,Wandsworth,male," 1: managers, directors and senior officials (SOC2010)",12500
2006,Westminster,male," 1: managers, directors and senior officials (SOC2010)",9700
2007,Barking and Dagenham,male," 1: managers, directors and senior officials (SOC2010)",4500
2007,Barnet,male," 1: managers, directors and senior officials (SOC2010)",14200
2007,Bexley,male," 1: managers, directors and senior officials (SOC2010)",6800
2007,Brent,male," 1: managers, directors and senior officials (SOC2010)",10100
2007,Bromley,male," 1: managers, directors and senior officials (SOC2010)",11300
2007,Camden,male," 1: managers, directors and senior officials (SOC2010)",6800
2007,Croydon,male," 1: managers, directors and senior officials (SOC2010)",10700
2007,Ealing,male," 1: managers, directors and senior officials (SOC2010)",12700
2007,Enfield,male," 1: managers, directors and senior officials (SOC2010)",11200
2007,Greenwich,male," 1: managers, directors and senior officials (SOC2010)",8000
2007,Hackney,male," 1: managers, directors and senior officials (SOC2010)",6500
2007,Hammersmith and Fulham,male," 1: managers, directors and senior officials (SOC2010)",7100
2007,Haringey,male," 1: managers, directors and senior officials (SOC2010)",4700
2007,Harrow,male," 1: managers, directors and senior officials (SOC2010)",12500
2007,Havering,male," 1: managers, directors and senior officials (SOC2010)",6800
2007,Hillingdon,male," 1: managers, directors and senior officials (SOC2010)",8300
2007,Hounslow,male," 1: managers, directors and senior officials (SOC2010)",7500
2007,Islington,male," 1: managers, directors and senior officials (SOC2010)",6800
2007,Kensington and Chelsea,male," 1: managers, directors and senior officials (SOC2010)",10800
2007,Kingston upon Thames,male," 1: managers, directors and senior officials (SOC2010)",6000
2007,Lambeth,male," 1: managers, directors and senior officials (SOC2010)",9000
2007,Lewisham,male," 1: managers, directors and senior officials (SOC2010)",7900
2007,Merton,male," 1: managers, directors and senior officials (SOC2010)",6900
2007,Newham,male," 1: managers, directors and senior officials (SOC2010)",4700
2007,Redbridge,male," 1: managers, directors and senior officials (SOC2010)",7700
2007,Richmond upon Thames,male," 1: managers, directors and senior officials (SOC2010)",12800
2007,Southwark,male," 1: managers, directors and senior officials (SOC2010)",8700
2007,Sutton,male," 1: managers, directors and senior officials (SOC2010)",4800
2007,Tower Hamlets,male," 1: managers, directors and senior officials (SOC2010)",6200
2007,Waltham Forest,male," 1: managers, directors and senior officials (SOC2010)",8900
2007,Wandsworth,male," 1: managers, directors and senior officials (SOC2010)",14100
2007,Westminster,male," 1: managers, directors and senior officials (SOC2010)",12700
2008,Barking and Dagenham,male," 1: managers, directors and senior officials (SOC2010)",3200
2008,Barnet,male," 1: managers, directors and senior officials (SOC2010)",12900
2008,Bexley,male," 1: managers, directors and senior officials (SOC2010)",6000
2008,Brent,male," 1: managers, directors and senior officials (SOC2010)",11300
2008,Bromley,male," 1: managers, directors and senior officials (SOC2010)",13800
2008,Camden,male," 1: managers, directors and senior officials (SOC2010)",7200
2008,Croydon,male," 1: managers, directors and senior officials (SOC2010)",8400
2008,Ealing,male," 1: managers, directors and senior officials (SOC2010)",12300
2008,Enfield,male," 1: managers, directors and senior officials (SOC2010)",11200
2008,Greenwich,male," 1: managers, directors and senior officials (SOC2010)",7000
2008,Hackney,male," 1: managers, directors and senior officials (SOC2010)",5800
2008,Hammersmith and Fulham,male," 1: managers, directors and senior officials (SOC2010)",6700
2008,Haringey,male," 1: managers, directors and senior officials (SOC2010)",3000
2008,Harrow,male," 1: managers, directors and senior officials (SOC2010)",6500
2008,Havering,male," 1: managers, directors and senior officials (SOC2010)",7000
2008,Hillingdon,male," 1: managers, directors and senior officials (SOC2010)",10700
2008,Hounslow,male," 1: managers, directors and senior officials (SOC2010)",10700
2008,Islington,male," 1: managers, directors and senior officials (SOC2010)",8900
2008,Kensington and Chelsea,male," 1: managers, directors and senior officials (SOC2010)",10500
2008,Kingston upon Thames,male," 1: managers, directors and senior officials (SOC2010)",6900
2008,Lambeth,male," 1: managers, directors and senior officials (SOC2010)",9800
2008,Lewisham,male," 1: managers, directors and senior officials (SOC2010)",7900
2008,Merton,male," 1: managers, directors and senior officials (SOC2010)",7200
2008,Newham,male," 1: managers, directors and senior officials (SOC2010)",3700
2008,Redbridge,male," 1: managers, directors and senior officials (SOC2010)",9300
2008,Richmond upon Thames,male," 1: managers, directors and senior officials (SOC2010)",10800
2008,Southwark,male," 1: managers, directors and senior officials (SOC2010)",8100
2008,Sutton,male," 1: managers, directors and senior officials (SOC2010)",5300
2008,Tower Hamlets,male," 1: managers, directors and senior officials (SOC2010)",8700
2008,Waltham Forest,male," 1: managers, directors and senior officials (SOC2010)",5900
2008,Wandsworth,male," 1: managers, directors and senior officials (SOC2010)",12700
2008,Westminster,male," 1: managers, directors and senior officials (SOC2010)",12100
2009,Barking and Dagenham,male," 1: managers, directors and senior officials (SOC2010)",3400
2009,Barnet,male," 1: managers, directors and senior officials (SOC2010)",11000
2009,Bexley,male," 1: managers, directors and senior officials (SOC2010)",5600
2009,Brent,male," 1: managers, directors and senior officials (SOC2010)",6900
2009,Bromley,male," 1: managers, directors and senior officials (SOC2010)",9500
2009,Camden,male," 1: managers, directors and senior officials (SOC2010)",8500
2009,Croydon,male," 1: managers, directors and senior officials (SOC2010)",9500
2009,Ealing,male," 1: managers, directors and senior officials (SOC2010)",10900
2009,Enfield,male," 1: managers, directors and senior officials (SOC2010)",9700
2009,Greenwich,male," 1: managers, directors and senior officials (SOC2010)",9100
2009,Hackney,male," 1: managers, directors and senior officials (SOC2010)",8700
2009,Hammersmith and Fulham,male," 1: managers, directors and senior officials (SOC2010)",8000
2009,Haringey,male," 1: managers, directors and senior officials (SOC2010)",6500
2009,Harrow,male," 1: managers, directors and senior officials (SOC2010)",7500
2009,Havering,male," 1: managers, directors and senior officials (SOC2010)",6400
2009,Hillingdon,male," 1: managers, directors and senior officials (SOC2010)",6700
2009,Hounslow,male," 1: managers, directors and senior officials (SOC2010)",6500
2009,Islington,male," 1: managers, directors and senior officials (SOC2010)",8300
2009,Kensington and Chelsea,male," 1: managers, directors and senior officials (SOC2010)",11600
2009,Kingston upon Thames,male," 1: managers, directors and senior officials (SOC2010)",5400
2009,Lambeth,male," 1: managers, directors and senior officials (SOC2010)",9100
2009,Lewisham,male," 1: managers, directors and senior officials (SOC2010)",7400
2009,Merton,male," 1: managers, directors and senior officials (SOC2010)",6300
2009,Newham,male," 1: managers, directors and senior officials (SOC2010)",3000
2009,Redbridge,male," 1: managers, directors and senior officials (SOC2010)",9900
2009,Richmond upon Thames,male," 1: managers, directors and senior officials (SOC2010)",9700
2009,Southwark,male," 1: managers, directors and senior officials (SOC2010)",9200
2009,Sutton,male," 1: managers, directors and senior officials (SOC2010)",7000
2009,Tower Hamlets,male," 1: managers, directors and senior officials (SOC2010)",5300
2009,Waltham Forest,male," 1: managers, directors and senior officials (SOC2010)",6000
2009,Wandsworth,male," 1: managers, directors and senior officials (SOC2010)",13400
2009,Westminster,male," 1: managers, directors and senior officials (SOC2010)",7500
2010,Barking and Dagenham,male," 1: managers, directors and senior officials (SOC2010)",3000
2010,Barnet,male," 1: managers, directors and senior officials (SOC2010)",10300
2010,Bexley,male," 1: managers, directors and senior officials (SOC2010)",5800
2010,Brent,male," 1: managers, directors and senior officials (SOC2010)",7100
2010,Bromley,male," 1: managers, directors and senior officials (SOC2010)",8900
2010,Camden,male," 1: managers, directors and senior officials (SOC2010)",6100
2010,Croydon,male," 1: managers, directors and senior officials (SOC2010)",9000
2010,Ealing,male," 1: managers, directors and senior officials (SOC2010)",13000
2010,Enfield,male," 1: managers, directors and senior officials (SOC2010)",8300
2010,Greenwich,male," 1: managers, directors and senior officials (SOC2010)",7900
2010,Hackney,male," 1: managers, directors and senior officials (SOC2010)",6500
2010,Hammersmith and Fulham,male," 1: managers, directors and senior officials (SOC2010)",7000
2010,Haringey,male," 1: managers, directors and senior officials (SOC2010)",7400
