" 1: managers, directors and senior officials (SOC2010)", 2: professional occupations (SOC2010), 3: associate prof & tech occupations (SOC2010), 4: administrative and secretarial occupations (SOC2010), 5: skilled trades occupations (SOC2010)," 6: caring, leisure and other service occupations (SOC2010)", 7: sales and customer service occupations (SOC2010)," 8: process, plant and machine operatives (SOC2010)", 9: elementary occupations (SOC2010),year,Borough,gender
3300,3500,4400,1700,5900,1000,2200,6300,6500,2004,Barking and Dagenham,male
13700,20200,17500,5300,8000,1700,6300,5200,5500,2004,Barnet,male
6200,8600,10200,4800,12000,1800,2200,7300,4000,2004,Bexley,male
8800,14200,6700,7700,10200,1000,4600,4800,8500,2004,Brent,male
13800,20500,12200,6000,13700,2300,1300,4100,3600,2004,Bromley,male
9100,16100,13900,2800,4800,1600,2300,1400,3800,2004,Camden,male
13300,17000,17700,7600,12100,1100,3900,5900,10100,2004,Croydon,male
11900,18900,17200,6300,12600,2000,6300,4300,8400,2004,Ealing,male
15700,10600,9900,3500,11800,1300,3100,8300,7400,2004,Enfield,male
4300,13700,9000,3600,8900,1900,2000,7100,6000,2004,Greenwich,male
4000,10200,8200,2700,6900,1600,2400,4500,8300,2004,Hackney,male
6400,13400,11700,1600,4700,1400,1900,2100,3400,2004,Hammersmith and Fulham,male
5300,12800,9700,2000,4300,1500,3800,4700,5100,2004,Haringey,male
7700,14500,8200,4500,8500,!,4200,4000,3700,2004,Harrow,male
8400,8200,8800,4300,10400,1900,2500,7000,6800,2004,Havering,male
9300,11700,11000,4500,12600,1000,3100,7400,7100,2004,Hillingdon,male
7200,13200,7300,2800,9300,1800,2900,6400,6300,2004,Hounslow,male
5800,13100,8700,2400,5200,800,2500,3400,4600,2004,Islington,male
12000,8500,13900,2900,2900,800,1400,1600,2000,2004,Kensington and Chelsea,male
6900,11900,8400,3100,6100,!,1300,1800,2700,2004,Kingston upon Thames,male
9300,21000,12900,5300,11200,1800,3100,4600,7300,2004,Lambeth,male
6600,11800,14200,3700,10400,1800,3300,4800,8900,2004,Lewisham,male
6500,15500,7400,4600,8500,1300,3200,3100,6800,2004,Merton,male
6100,5800,7400,3800,10700,1500,6600,9300,7700,2004,Newham,male
7800,11200,10600,5600,12800,1400,4300,6900,5800,2004,Redbridge,male
9100,16400,12800,2400,3800,#,1500,900,1100,2004,Richmond upon Thames,male
8600,15400,13200,5700,7700,3100,2600,4300,5800,2004,Southwark,male
6100,9100,9400,3500,9100,!,2200,4100,3000,2004,Sutton,male
4500,10100,6400,3100,6800,1000,5300,2900,7700,2004,Tower Hamlets,male
5900,6800,10000,4300,8800,1600,2200,4400,7800,2004,Waltham Forest,male
15500,20000,22700,5100,6100,1900,5800,3600,4200,2004,Wandsworth,male
11200,16000,13500,3200,4600,2600,2500,600,6400,2004,Westminster,male
