Borough,In/Out,Year,People
City of London,In,2003,308
Barking and Dagenham,In,2003,"2,298"
Barnet,In,2003,"6,973"
Bexley,In,2003,842
Brent,In,2003,"7,855"
Bromley,In,2003,"2,034"
Camden,In,2003,"10,823"
Croydon,In,2003,"4,559"
Ealing,In,2003,"10,738"
Enfield,In,2003,"3,625"
Greenwich,In,2003,"3,672"
Hackney,In,2003,"4,915"
Hammersmith and Fulham,In,2003,"6,601"
Haringey,In,2003,"6,952"
Harrow,In,2003,"3,962"
Havering,In,2003,823
Hillingdon,In,2003,"3,627"
Hounslow,In,2003,"6,924"
Islington,In,2003,"6,075"
Kensington and Chelsea,In,2003,"9,464"
Kingston upon Thames,In,2003,"3,423"
Lambeth,In,2003,"7,713"
Lewisham,In,2003,"4,350"
Merton,In,2003,"4,700"
Newham,In,2003,"5,812"
Redbridge,In,2003,"3,241"
Richmond upon Thames,In,2003,"3,612"
Southwark,In,2003,"7,725"
Sutton,In,2003,"1,423"
Tower Hamlets,In,2003,"7,461"
Waltham Forest,In,2003,"4,958"
Wandsworth,In,2003,"8,013"
Westminster,In,2003,"14,287"
City of London,Out,2003,51
Barking and Dagenham,Out,2003,524
Barnet,Out,2003,"3,056"
Bexley,Out,2003,263
Brent,Out,2003,"5,401"
Bromley,Out,2003,703
Camden,Out,2003,"6,102"
Croydon,Out,2003,"2,144"
Ealing,Out,2003,"4,378"
Enfield,Out,2003,"1,817"
Greenwich,Out,2003,"1,890"
Hackney,Out,2003,"2,023"
Hammersmith and Fulham,Out,2003,"4,879"
Haringey,Out,2003,"2,687"
Harrow,Out,2003,"1,348"
Havering,Out,2003,286
Hillingdon,Out,2003,"1,253"
Hounslow,Out,2003,"2,034"
Islington,Out,2003,"4,224"
Kensington and Chelsea,Out,2003,"7,658"
Kingston upon Thames,Out,2003,"1,407"
Lambeth,Out,2003,"3,375"
Lewisham,Out,2003,"1,626"
Merton,Out,2003,"2,488"
Newham,Out,2003,"2,601"
Redbridge,Out,2003,"1,389"
Richmond upon Thames,Out,2003,"1,716"
Southwark,Out,2003,"2,228"
Sutton,Out,2003,718
Tower Hamlets,Out,2003,"3,641"
Waltham Forest,Out,2003,"2,673"
Wandsworth,Out,2003,"5,560"
Westminster,Out,2003,"5,326"
City of London,In,2004,385
Barking and Dagenham,In,2004,"2,413"
Barnet,In,2004,"8,329"
Bexley,In,2004,889
Brent,In,2004,"9,478"
Bromley,In,2004,"2,136"
Camden,In,2004,"12,283"
Croydon,In,2004,"5,351"
Ealing,In,2004,"10,863"
Enfield,In,2004,"4,590"
Greenwich,In,2004,"3,910"
Hackney,In,2004,"5,243"
Hammersmith and Fulham,In,2004,"6,962"
Haringey,In,2004,"7,507"
Harrow,In,2004,"5,188"
Havering,In,2004,826
Hillingdon,In,2004,"4,352"
Hounslow,In,2004,"7,922"
Islington,In,2004,"7,058"
Kensington and Chelsea,In,2004,"11,453"
Kingston upon Thames,In,2004,"3,675"
Lambeth,In,2004,"8,571"
Lewisham,In,2004,"5,507"
Merton,In,2004,"5,282"
Newham,In,2004,"6,259"
Redbridge,In,2004,"3,494"
Richmond upon Thames,In,2004,"3,396"
Southwark,In,2004,"9,725"
Sutton,In,2004,"1,519"
Tower Hamlets,In,2004,"7,086"
Waltham Forest,In,2004,"5,256"
Wandsworth,In,2004,"8,590"
Westminster,In,2004,"16,797"
City of London,Out,2004,73
Barking and Dagenham,Out,2004,542
Barnet,Out,2004,"3,384"
Bexley,Out,2004,380
Brent,Out,2004,"4,838"
Bromley,Out,2004,"1,019"
Camden,Out,2004,"7,142"
Croydon,Out,2004,"2,508"
Ealing,Out,2004,"4,660"
Enfield,Out,2004,"1,763"
Greenwich,Out,2004,"2,267"
Hackney,Out,2004,"2,289"
Hammersmith and Fulham,Out,2004,"5,222"
Haringey,Out,2004,"2,700"
Harrow,Out,2004,"1,327"
Havering,Out,2004,363
Hillingdon,Out,2004,"1,474"
Hounslow,Out,2004,"2,435"
Islington,Out,2004,"4,156"
Kensington and Chelsea,Out,2004,"7,482"
Kingston upon Thames,Out,2004,"1,556"
Lambeth,Out,2004,"3,258"
Lewisham,Out,2004,"1,814"
Merton,Out,2004,"2,257"
Newham,Out,2004,"2,813"
Redbridge,Out,2004,"1,541"
Richmond upon Thames,Out,2004,"2,041"
Southwark,Out,2004,"2,275"
Sutton,Out,2004,860
Tower Hamlets,Out,2004,"3,678"
Waltham Forest,Out,2004,"3,079"
Wandsworth,Out,2004,"5,086"
Westminster,Out,2004,"6,159"
City of London,In,2005,480
Barking and Dagenham,In,2005,"2,402"
Barnet,In,2005,"6,862"
Bexley,In,2005,"1,017"
Brent,In,2005,"10,426"
Bromley,In,2005,"1,899"
Camden,In,2005,"9,651"
Croydon,In,2005,"3,906"
Ealing,In,2005,"10,089"
Enfield,In,2005,"3,480"
Greenwich,In,2005,"4,649"
Hackney,In,2005,"5,099"
Hammersmith and Fulham,In,2005,"6,596"
Haringey,In,2005,"7,412"
Harrow,In,2005,"4,147"
Havering,In,2005,727
Hillingdon,In,2005,"4,177"
Hounslow,In,2005,"7,750"
Islington,In,2005,"7,454"
Kensington and Chelsea,In,2005,"5,296"
Kingston upon Thames,In,2005,"3,330"
Lambeth,In,2005,"7,055"
Lewisham,In,2005,"5,065"
Merton,In,2005,"5,814"
Newham,In,2005,"10,844"
Redbridge,In,2005,"3,972"
Richmond upon Thames,In,2005,"2,429"
Southwark,In,2005,"9,789"
Sutton,In,2005,"1,328"
Tower Hamlets,In,2005,"8,601"
Waltham Forest,In,2005,"6,513"
