Year,Code,Area,Industry,Business Count
2018,E09000001,City of London,"Agriculture, forestry & fishing",25
2018,E09000002,Barking and Dagenham,"Agriculture, forestry & fishing",10
2018,E09000003,Barnet,"Agriculture, forestry & fishing",30
2018,E09000004,Bexley,"Agriculture, forestry & fishing",10
2018,E09000005,Brent,"Agriculture, forestry & fishing",0
2018,E09000006,Bromley,"Agriculture, forestry & fishing",55
2018,E09000007,Camden,"Agriculture, forestry & fishing",35
2018,E09000008,Croydon,"Agriculture, forestry & fishing",20
2018,E09000009,Ealing,"Agriculture, forestry & fishing",15
2018,E09000010,Enfield,"Agriculture, forestry & fishing",30
2018,E09000011,Greenwich,"Agriculture, forestry & fishing",10
2018,E09000012,Hackney,"Agriculture, forestry & fishing",15
2018,E09000013,Hammersmith and Fulham,"Agriculture, forestry & fishing",20
2018,E09000014,Haringey,"Agriculture, forestry & fishing",15
2018,E09000015,Harrow,"Agriculture, forestry & fishing",10
2018,E09000016,Havering,"Agriculture, forestry & fishing",30
2018,E09000017,Hillingdon,"Agriculture, forestry & fishing",30
2018,E09000018,Hounslow,"Agriculture, forestry & fishing",25
2018,E09000019,Islington,"Agriculture, forestry & fishing",20
2018,E09000020,Kensington and Chelsea,"Agriculture, forestry & fishing",40
2018,E09000021,Kingston upon Thames,"Agriculture, forestry & fishing",15
2018,E09000022,Lambeth,"Agriculture, forestry & fishing",10
2018,E09000023,Lewisham,"Agriculture, forestry & fishing",10
2018,E09000024,Merton,"Agriculture, forestry & fishing",15
2018,E09000025,Newham,"Agriculture, forestry & fishing",5
2018,E09000026,Redbridge,"Agriculture, forestry & fishing",20
2018,E09000027,Richmond upon Thames,"Agriculture, forestry & fishing",20
2018,E09000028,Southwark,"Agriculture, forestry & fishing",15
2018,E09000029,Sutton,"Agriculture, forestry & fishing",35
2018,E09000030,Tower Hamlets,"Agriculture, forestry & fishing",10
2018,E09000031,Waltham Forest,"Agriculture, forestry & fishing",10
