Area name,Year,% of economically active with NVQ4+ - working age_x,% of economically active with NVQ4+ - working age_y,% of economically active with NVQ3 only - working age,% of economically active with Trade Apprenticeships - working age,% of economically active with NVQ2 only - working age,% of economically active with NVQ1 only - working age,% of economically active with other qualifications - working age,% of economically active with no qualifications - working age,Gross Annual Pay - Full Time - Total (£),Gross Annual Pay - Full Time - Male (£),Gross Annual Pay - Full Time - Female (£),Median Modelled Household income (£),Mean Modelled Household income (£),Real change % (after inflation) - 2001/02 to 2012/13,Number of active businesses,Two-year business survival rates,Number Employed - Total,Number Employed - Male,Number Employed - Female,Jobs Density,Crime Rates per thousand population,Fires per thousand population,Ambulance incidents per hundred population,Total Carbon Emissions,Household Waste Recycling Rate,Number of Licensed Vehicles,Traffic Flows,% of adults who cycle at least once per month,Road Casualties (Killed or Seriously Injured),Average Public Transport Accessibility Score,% children living in out-of-work households
City of London,2004,80.6,80.6,!,!,!,!,!,!,43347,52252,31771,,,,,,,,,,-,,,,14.0,,198.0,,44.0,,
City of London,2004,80.6,80.6,!,!,!,!,!,!,43347,52252,31771,,,,,,,,,,-,,,,14.0,,198.0,,44.0,,
City of London,2004,80.6,80.6,!,!,!,!,!,!,43347,52252,31771,,,,,,,,,,-,,,,14.0,,198.0,,44.0,,
City of London,2004,80.6,80.6,!,!,!,!,!,!,43347,52252,31771,,,,,,,,,,-,,,,14.0,,198.0,,44.0,,
Barking and Dagenham,2004,17.2,17.2,10.8,6.4,12.7,20.8,15.9,16.3,26089,28576,20638,,,,,,,,,,129.4728579,,,,14.0,,551.0,,90.0,,
Barking and Dagenham,2004,17.2,17.2,10.8,6.4,12.7,20.8,15.9,16.3,26089,28576,20638,,,,,,,,,,129.4728579,,,,14.0,,551.0,,90.0,,
Barking and Dagenham,2004,17.2,17.2,10.8,6.4,12.7,20.8,15.9,16.3,26089,28576,20638,,,,,,,,,,129.4728579,,,,14.0,,551.0,,90.0,,
Barking and Dagenham,2004,17.2,17.2,10.8,6.4,12.7,20.8,15.9,16.3,26089,28576,20638,,,,,,,,,,129.4728579,,,,14.0,,551.0,,90.0,,
Barnet,2004,41.6,41.6,13.3,4.2,13,6.2,14.7,6.8,-,28709,-,,,,,,,,,,117.0352431,,,,20.0,,1622.0,,172.0,,
Barnet,2004,41.6,41.6,13.3,4.2,13,6.2,14.7,6.8,-,28709,-,,,,,,,,,,117.0352431,,,,20.0,,1622.0,,172.0,,
