Month-Year,GMT,concentration,Measure,Location,Year,Month
Jan-08,00:00,,Nitric Oxide,Roadside,2008,01
Jan-08,01:00,,Nitric Oxide,Roadside,2008,01
Jan-08,02:00,,Nitric Oxide,Roadside,2008,01
Jan-08,03:00,,Nitric Oxide,Roadside,2008,01
Jan-08,04:00,,Nitric Oxide,Roadside,2008,01
Jan-08,05:00,,Nitric Oxide,Roadside,2008,01
Jan-08,06:00,,Nitric Oxide,Roadside,2008,01
Jan-08,07:00,,Nitric Oxide,Roadside,2008,01
Jan-08,08:00,,Nitric Oxide,Roadside,2008,01
Jan-08,09:00,,Nitric Oxide,Roadside,2008,01
Jan-08,10:00,,Nitric Oxide,Roadside,2008,01
Jan-08,11:00,,Nitric Oxide,Roadside,2008,01
Jan-08,12:00,,Nitric Oxide,Roadside,2008,01
Jan-08,13:00,,Nitric Oxide,Roadside,2008,01
Jan-08,14:00,,Nitric Oxide,Roadside,2008,01
Jan-08,15:00,,Nitric Oxide,Roadside,2008,01
Jan-08,16:00,,Nitric Oxide,Roadside,2008,01
Jan-08,17:00,,Nitric Oxide,Roadside,2008,01
Jan-08,18:00,,Nitric Oxide,Roadside,2008,01
Jan-08,19:00,,Nitric Oxide,Roadside,2008,01
Jan-08,20:00,,Nitric Oxide,Roadside,2008,01
Jan-08,21:00,,Nitric Oxide,Roadside,2008,01
Jan-08,22:00,,Nitric Oxide,Roadside,2008,01
Jan-08,23:00,,Nitric Oxide,Roadside,2008,01
Feb-08,00:00,,Nitric Oxide,Roadside,2008,02
Feb-08,01:00,,Nitric Oxide,Roadside,2008,02
Feb-08,02:00,,Nitric Oxide,Roadside,2008,02
Feb-08,03:00,,Nitric Oxide,Roadside,2008,02
Feb-08,04:00,,Nitric Oxide,Roadside,2008,02
Feb-08,05:00,,Nitric Oxide,Roadside,2008,02
Feb-08,06:00,,Nitric Oxide,Roadside,2008,02
Feb-08,07:00,,Nitric Oxide,Roadside,2008,02
Feb-08,08:00,,Nitric Oxide,Roadside,2008,02
Feb-08,09:00,,Nitric Oxide,Roadside,2008,02
Feb-08,10:00,,Nitric Oxide,Roadside,2008,02
Feb-08,11:00,,Nitric Oxide,Roadside,2008,02
Feb-08,12:00,,Nitric Oxide,Roadside,2008,02
Feb-08,13:00,,Nitric Oxide,Roadside,2008,02
Feb-08,14:00,,Nitric Oxide,Roadside,2008,02
Feb-08,15:00,,Nitric Oxide,Roadside,2008,02
Feb-08,16:00,,Nitric Oxide,Roadside,2008,02
Feb-08,17:00,,Nitric Oxide,Roadside,2008,02
Feb-08,18:00,,Nitric Oxide,Roadside,2008,02
Feb-08,19:00,,Nitric Oxide,Roadside,2008,02
Feb-08,20:00,,Nitric Oxide,Roadside,2008,02
Feb-08,21:00,,Nitric Oxide,Roadside,2008,02
Feb-08,22:00,,Nitric Oxide,Roadside,2008,02
Feb-08,23:00,,Nitric Oxide,Roadside,2008,02
Mar-08,00:00,,Nitric Oxide,Roadside,2008,03
Mar-08,01:00,,Nitric Oxide,Roadside,2008,03
Mar-08,02:00,,Nitric Oxide,Roadside,2008,03
Mar-08,03:00,,Nitric Oxide,Roadside,2008,03
Mar-08,04:00,,Nitric Oxide,Roadside,2008,03
Mar-08,05:00,,Nitric Oxide,Roadside,2008,03
Mar-08,06:00,,Nitric Oxide,Roadside,2008,03
Mar-08,07:00,,Nitric Oxide,Roadside,2008,03
Mar-08,08:00,,Nitric Oxide,Roadside,2008,03
Mar-08,09:00,,Nitric Oxide,Roadside,2008,03
Mar-08,10:00,,Nitric Oxide,Roadside,2008,03
Mar-08,11:00,,Nitric Oxide,Roadside,2008,03
Mar-08,12:00,,Nitric Oxide,Roadside,2008,03
