Borough,Year,Sector,Fuel,KtCO2e
Barking and Dagenham,2016,Domestic,Electricity,82.08918024
Barnet,2016,Domestic,Electricity,191.5801075
Bexley,2016,Domestic,Electricity,116.5314236
Brent,2016,Domestic,Electricity,131.8086633
Bromley,2016,Domestic,Electricity,170.3604755
Camden,2016,Domestic,Electricity,107.6615273
City of London,2016,Domestic,Electricity,8.210759731
Croydon,2016,Domestic,Electricity,181.7146067
Ealing,2016,Domestic,Electricity,145.9909336
Enfield,2016,Domestic,Electricity,152.0634787
Greenwich,2016,Domestic,Electricity,115.1304091
Hackney,2016,Domestic,Electricity,106.147438
Hammersmith and Fulham,2016,Domestic,Electricity,87.66264217
Haringey,2016,Domestic,Electricity,112.071397
Harrow,2016,Domestic,Electricity,109.000296
Havering,2016,Domestic,Electricity,125.4234188
Hillingdon,2016,Domestic,Electricity,132.2431948
Hounslow,2016,Domestic,Electricity,118.0408184
Islington,2016,Domestic,Electricity,97.92871032
Kensington and Chelsea,2016,Domestic,Electricity,114.1397322
Kingston,2016,Domestic,Electricity,81.65600219
Lambeth,2016,Domestic,Electricity,135.7112524
Lewisham,2016,Domestic,Electricity,127.664608
Merton,2016,Domestic,Electricity,97.28003036
Newham,2016,Domestic,Electricity,116.3807622
Redbridge,2016,Domestic,Electricity,123.2810554
Richmond,2016,Domestic,Electricity,104.9091574
Southwark,2016,Domestic,Electricity,137.2381743
Sutton,2016,Domestic,Electricity,100.2022156
Tower Hamlets,2016,Domestic,Electricity,127.1510596
Waltham Forest,2016,Domestic,Electricity,107.8781843
Wandsworth,2016,Domestic,Electricity,153.4154767
Westminster,2016,Domestic,Electricity,150.0687256
Unapportioned,2016,Domestic,Electricity,-
Barking and Dagenham,2016,Domestic,Gas,130.7151684
Barnet,2016,Domestic,Gas,383.1357355
Bexley,2016,Domestic,Gas,234.7097475
Brent,2016,Domestic,Gas,269.7477675
Bromley,2016,Domestic,Gas,387.284825
Camden,2016,Domestic,Gas,167.7321461
City of London,2016,Domestic,Gas,5.292571887
Croydon,2016,Domestic,Gas,387.7519935
Ealing,2016,Domestic,Gas,292.6788321
Enfield,2016,Domestic,Gas,272.6195377
Greenwich,2016,Domestic,Gas,214.7214277
Hackney,2016,Domestic,Gas,171.3958043
Hammersmith and Fulham,2016,Domestic,Gas,154.9825502
Haringey,2016,Domestic,Gas,222.3195425
Harrow,2016,Domestic,Gas,249.9280596
Havering,2016,Domestic,Gas,235.5874354
Hillingdon,2016,Domestic,Gas,252.7615408
Hounslow,2016,Domestic,Gas,222.4985492
Islington,2016,Domestic,Gas,158.6949585
Kensington and Chelsea,2016,Domestic,Gas,153.6352602
Kingston,2016,Domestic,Gas,169.6407201
Lambeth,2016,Domestic,Gas,263.1025027
Lewisham,2016,Domestic,Gas,252.4138319
Merton,2016,Domestic,Gas,202.8259747
Newham,2016,Domestic,Gas,191.1491505
Redbridge,2016,Domestic,Gas,253.0984549
Richmond,2016,Domestic,Gas,227.1842758
Southwark,2016,Domestic,Gas,197.3181195
Sutton,2016,Domestic,Gas,198.0715185
Tower Hamlets,2016,Domestic,Gas,123.6235858
Waltham Forest,2016,Domestic,Gas,211.2218807
Wandsworth,2016,Domestic,Gas,288.3943934
Westminster,2016,Domestic,Gas,169.5898322
Unapportioned,2016,Domestic,Gas,-
Barking and Dagenham,2016,Domestic,Coal,1.51106264
Barnet,2016,Domestic,Coal,1.51106264
Bexley,2016,Domestic,Coal,1.8888283
Brent,2016,Domestic,Coal,1.13329698
Bromley,2016,Domestic,Coal,2.26659396
Camden,2016,Domestic,Coal,0.37776566
City of London,2016,Domestic,Coal,0
Croydon,2016,Domestic,Coal,2.64435962
Ealing,2016,Domestic,Coal,1.51106264
Enfield,2016,Domestic,Coal,2.26659396
Greenwich,2016,Domestic,Coal,1.51106264
Hackney,2016,Domestic,Coal,0.37776566
Hammersmith and Fulham,2016,Domestic,Coal,0.37776566
Haringey,2016,Domestic,Coal,1.13329698
Harrow,2016,Domestic,Coal,1.13329698
Havering,2016,Domestic,Coal,2.26659396
Hillingdon,2016,Domestic,Coal,1.51106264
Hounslow,2016,Domestic,Coal,1.51106264
Islington,2016,Domestic,Coal,0.37776566
Kensington and Chelsea,2016,Domestic,Coal,0.37776566
Kingston,2016,Domestic,Coal,1.13329698
Lambeth,2016,Domestic,Coal,1.13329698
Lewisham,2016,Domestic,Coal,1.51106264
Merton,2016,Domestic,Coal,1.51106264
Newham,2016,Domestic,Coal,1.51106264
Redbridge,2016,Domestic,Coal,1.51106264
Richmond,2016,Domestic,Coal,1.13329698
Southwark,2016,Domestic,Coal,1.13329698
Sutton,2016,Domestic,Coal,1.51106264
Tower Hamlets,2016,Domestic,Coal,0.37776566
