Date,Month,Year,Reservoir,Percent Capacity,Weekday
1989-01-01,Jan,1989.0,Lower Lee Group,83,Saturday
1989-01-02,Jan,1989.0,Lower Lee Group,83,Sunday
1989-01-03,Jan,1989.0,Lower Lee Group,83,Monday
1989-01-04,Jan,1989.0,Lower Lee Group,82,Tuesday
1989-01-05,Jan,1989.0,Lower Lee Group,82,Wednesday
1989-01-06,Jan,1989.0,Lower Lee Group,82,Thursday
1989-01-07,Jan,1989.0,Lower Lee Group,83,Friday
1989-01-08,Jan,1989.0,Lower Lee Group,83,Saturday
1989-01-09,Jan,1989.0,Lower Lee Group,83,Sunday
1989-01-10,Jan,1989.0,Lower Lee Group,83,Monday
1989-01-11,Jan,1989.0,Lower Lee Group,83,Tuesday
1989-01-12,Jan,1989.0,Lower Lee Group,84,Wednesday
1989-01-13,Jan,1989.0,Lower Lee Group,85,Thursday
1989-01-14,Jan,1989.0,Lower Lee Group,85,Friday
1989-01-15,Jan,1989.0,Lower Lee Group,85,Saturday
1989-01-16,Jan,1989.0,Lower Lee Group,86,Sunday
1989-01-17,Jan,1989.0,Lower Lee Group,86,Monday
1989-01-18,Jan,1989.0,Lower Lee Group,87,Tuesday
1989-01-19,Jan,1989.0,Lower Lee Group,87,Wednesday
1989-01-20,Jan,1989.0,Lower Lee Group,87,Thursday
1989-01-21,Jan,1989.0,Lower Lee Group,88,Friday
1989-01-22,Jan,1989.0,Lower Lee Group,88,Saturday
1989-01-23,Jan,1989.0,Lower Lee Group,87,Sunday
1989-01-24,Jan,1989.0,Lower Lee Group,87,Monday
1989-01-25,Jan,1989.0,Lower Lee Group,87,Tuesday
1989-01-26,Jan,1989.0,Lower Lee Group,87,Wednesday
1989-01-27,Jan,1989.0,Lower Lee Group,87,Thursday
1989-01-28,Jan,1989.0,Lower Lee Group,88,Friday
1989-01-29,Jan,1989.0,Lower Lee Group,88,Saturday
1989-01-30,Jan,1989.0,Lower Lee Group,87,Sunday
1989-01-31,Jan,1989.0,Lower Lee Group,87,Monday
1989-02-01,Feb,1989.0,Lower Lee Group,87,Tuesday
1989-02-02,Feb,1989.0,Lower Lee Group,87,Wednesday
1989-02-03,Feb,1989.0,Lower Lee Group,87,Thursday
1989-02-04,Feb,1989.0,Lower Lee Group,87,Friday
1989-02-05,Feb,1989.0,Lower Lee Group,87,Saturday
1989-02-06,Feb,1989.0,Lower Lee Group,87,Sunday
1989-02-07,Feb,1989.0,Lower Lee Group,87,Monday
1989-02-08,Feb,1989.0,Lower Lee Group,87,Tuesday
