Year,Area,Code,Number of children aged 5 (thousands) (=100%),"Diptheria, Tetanus, Polio: Primary","Diptheria, Tetanus, Polio: Primary and boost",Pertussis:Primary,Hib: Primary,MMR: first dose   ,MMR: first and second dose  ,MenC
2004,5C2,Barking and Dagenham,2.4,84,73,84,84,82,70,80
2004,5A9,Barnet,4.7,86,63,85,85,82,56,82
2004,TAK,Bexley,2.2,92,72,91,92,77,61,73
2004,5K5,Brent Teaching,2.8,90,76,90,88,85,71,72
2004,5A7,Bromley,3.4,91,57,91,91,82,46,67
2004,5K7,Camden,2.1,85,55,85,84,79,52,76
2004,5C3,City and Hackney Teaching,2.9,88,57,87,88,84,57,76
2004,5K9,Croydon,4.8,82,60,82,82,78,52,73
2004,5HX,Ealing,2.9,85,69,84,83,82,62,86
2004,5C1,Enfield,3.7,87,70,87,82,79,64,78
2004,5A8,Greenwich,3.3,78,56,78,78,77,44,66
2004,5H1,Hammersmith and Fulham,1.8,93,64,93,91,81,60,79
2004,5C9,Haringey Teaching,3.6,82,57,81,81,75,55,70
2004,5K6,Harrow,2.5,82,68,81,82,77,58,77
2004,5A4,Havering,2.8,94,84,93,93,87,76,89
2004,5AT,Hillingdon,3.1,91,73,90,91,87,64,88
2004,5HY,Hounslow,2.1,89,75,88,86,85,66,89
2004,5K8,Islington,2.0,90,68,90,89,83,62,85
2004,5LA,Kensington and Chelsea,1.5,87,35,86,85,70,33,65
2004,5A5,Kingston,1.5,84,72,84,85,84,67,82
2004,5LD,Lambeth,3.5,84,50,83,83,73,46,72
2004,5LF,Lewisham,3.4,84,48,83,84,72,43,72
2004,5C5,Newham,4.9,79,60,79,79,77,57,67
2004,5NA,Redbridge,2.8,89,78,89,88,85,75,86
2004,5M6,Richmond and Twickenham,2.1,89,72,89,89,78,61,70
2004,5LE,Southwark,3.3,87,54,86,86,77,48,75
2004,5M7,Sutton and Merton,4.2,79,65,79,79,81,66,57
2004,5C4,Tower Hamlets,3.4,87,54,86,84,79,53,72
2004,5NC,Waltham Forest,3.1,89,78,89,88,87,78,87
2004,5LG,Wandsworth,3.2,74,58,74,74,70,52,60
2004,5LC,Westminster,1.9,86,13,86,86,72,12,73
2005,5C2,Barking and Dagenham,2.7,87,69,86,88,82,66,85
2005,5A9,Barnet,4.3,88,64,87,87,82,58,86
2005,TAK,Bexley,2.7,84,66,83,85,68,51,82
2005,5K5,Brent Teaching,3.2,89,..,89,88,84,..,84
2005,5A7,Bromley,3.5,92,58,91,91,77,47,81
2005,5K7,Camden,..,..,..,..,..,..,..,..
2005,5C3,City and Hackney Teaching,..,..,..,..,..,..,..,..
2005,5K9,Croydon,4.6,85,60,85,85,81,57,84
2005,5HX,Ealing,2.8,87,67,87,85,79,59,87
2005,5C1,Enfield,..,..,..,..,..,..,..,..
2005,5A8,Greenwich,2.7,73,44,72,76,61,33,71
2005,5H1,Hammersmith and Fulham,1.7,95,73,95,94,81,65,92
2005,5C9,Haringey Teaching,..,..,..,..,..,..,..,..
2005,5K6,Harrow,1.9,95,78,94,94,90,73,93
2005,5A4,Havering,2.6,94,81,93,94,82,71,93
2005,5AT,Hillingdon,3.1,90,74,89,90,85,62,89
2005,5HY,Hounslow,2.3,88,70,88,87,82,64,89
2005,5K8,Islington,..,..,..,..,..,..,..,..
2005,5LA,Kensington and Chelsea,0.7,78,..,78,75,63,..,72
2005,5A5,Kingston,1.3,89,71,89,90,85,72,88
2005,5LD,Lambeth,3.4,85,51,85,85,73,48,82
2005,5LF,Lewisham,3.2,87,52,87,87,73,47,85
2005,5C5,Newham,..,..,..,..,..,..,..,..
2005,5NA,Redbridge,..,..,..,..,..,..,..,..
2005,5M6,Richmond and Twickenham,2.1,89,72,88,88,77,64,86
2005,5LE,Southwark,3.2,87,53,87,86,76,50,85
2005,5M7,Sutton and Merton,4.2,81,67,80,80,77,64,77
2005,5C4,Tower Hamlets,..,..,..,..,..,..,..,..
2005,5NC,Waltham Forest,..,..,..,..,..,..,..,..
2005,5LG,Wandsworth,3.3,74,54,73,74,66,51,71
2005,5LC,Westminster,1.5,83,..,83,83,78,..,82
2006,5C2,Barking and Dagenham,,,,,,,,
2006,5A9,Barnet,4.2,88,87,87,67,76,60,80
2006,TAK,Bexley,2.6,84,83,86,66,70,50,84
2006,5K5,Brent Teaching,4.0,81,80,79,..,76,..,75
2006,5A7,Bromley,3.5,89,89,89,57,74,46,87
2006,5K7,Camden,..,..,..,..,..,..,..,..
2006,5C3,City and Hackney Teaching,..,..,..,..,..,..,..,..
2006,5K9,Croydon,4.2,90,90,90,66,85,59,88
2006,5HX,Ealing,4.1,86,86,69,63,74,62,71
2006,5C1,Enfield,3.6,80,80,83,48,72,45,79
2006,5A8,Greenwich,2.8,78,78,78,43,65,39,76
2006,5H1,Hammersmith and Fulham,1.7,93,93,93,67,79,62,89
2006,5C9,Haringey Teaching,..,..,..,..,..,..,..,..
2006,5K6,Harrow,2.0,95,94,94,76,89,69,93
2006,5A4,Havering,,,,,,,,
2006,5AT,Hillingdon,3.2,88,88,88,72,83,62,87
2006,5HY,Hounslow,2.5,91,89,89,69,81,64,84
2006,5K8,Islington,..,..,..,..,..,..,..,..
2006,5LA,Kensington and Chelsea,1.1,85,85,80,37,68,39,74
2006,5A5,Kingston,1.5,87,87,88,73,84,75,87
2006,5LD,Lambeth,3.6,85,85,85,47,71,44,82
2006,5LF,Lewisham,3.1,86,86,86,52,71,48,84
2006,5C5,Newham,4.5,77,77,77,35,78,41,72
2006,5NA,Redbridge,..,..,..,..,..,..,..,..
2006,5M6,Richmond and Twickenham,2.0,86,86,87,65,73,61,82
2006,5LE,Southwark,2.5,80,80,80,49,68,47,77
2006,5M7,Sutton and Merton,4.3,83,83,82,73,77,68,80
2006,5C4,Tower Hamlets,..,..,..,..,..,..,..,..
2006,5NC,Waltham Forest,..,..,..,..,..,..,..,..
2006,5LG,Wandsworth,3.4,69,68,66,49,63,50,71
2006,5LC,Westminster,1.4,90,90,90,59,82,59,84
2007,5C2,Barking and Dagenham,3.1,75,..,56,76,60,,
2007,5A9,Barnet,4.9,81,79,64,74,59,,
2007,TAK,Bexley,2.6,84,86,64,73,51,,
2007,5K5,Brent Teaching,4.0,83,82,42,78,43,,
2007,5A7,Bromley,..,..,..,..,..,..,,
2007,5K7,Camden,2.3,81,83,..,73,..,,
2007,5C3,City and Hackney Teaching,..,..,..,..,..,..,,
2007,5K9,Croydon,4.3,89,89,70,84,64,,
2007,5HX,Ealing,4.2,93,90,70,85,67,,
2007,5C1,Enfield,4.0,70,73,50,70,45,,
2007,5A8,Greenwich,3.4,74,73,35,66,39,,
2007,5H1,Hammersmith and Fulham,2.0,93,93,72,89,69,,
2007,5C9,Haringey Teaching,..,..,..,..,..,..,,
2007,5K6,Harrow,2.0,94,93,70,91,66,,
2007,5A4,Havering,3.0,87,..,68,82,67,,
2007,5AT,Hillingdon,3.8,84,83,..,71,..,,
2007,5HY,Hounslow,..,..,..,..,..,..,,
2007,5K8,Islington,2.2,86,86,42,75,43,,
2007,5LA,Kensington and Chelsea,1.4,80,79,..,65,..,,
2007,5A5,Kingston,1.5,89,90,74,86,76,,
2007,5LD,Lambeth,..,..,..,..,..,..,,
2007,5LF,Lewisham,3.3,78,78,44,67,45,,
2007,5C5,Newham,8.3,78,78,31,70,42,,
2007,5NA,Redbridge,..,..,..,..,..,..,,
2007,5M6,Richmond and Twickenham,2.5,81,82,61,73,61,,
2007,5LE,Southwark,3.7,80,80,55,73,51,,
2007,5M7,Sutton and Merton,4.1,82,81,63,78,68,,
2007,5C4,Tower Hamlets,3.2,79,88,68,87,66,,
2007,5NC,Waltham Forest,3.6,83,83,50,79,49,,
2007,5LG,Wandsworth,..,..,..,..,..,..,,
2007,5LC,Westminster,..,..,..,..,..,..,,
2008,5C2,Barking and Dagenham,3.0,68,0,33,73,55,,
2008,5A9,Barnet,4.8,87,87,76,84,82,,
2008,TAK,Bexley,2.7,86,86,68,78,58,,
2008,5K5,Brent Teaching,5.7,62,58,25,60,32,,
2008,5A7,Bromley,3.9,89,88,74,82,71,,
2008,5K7,Camden,2.0,89,89,54,81,51,,
2008,5C3,City and Hackney Teaching,3.9,76,77,23,67,37,,
2008,5K9,Croydon,4.7,91,91,75,87,71,,
2008,5HX,Ealing,4.9,88,82,65,85,63,,
2008,5C1,Enfield,4.1,71,71,50,78,62,,
2008,5A8,Greenwich,3.8,81,81,60,75,57,,
2008,5H1,Hammersmith and Fulham,2.4,89,89,54,81,51,,
2008,5C9,Haringey Teaching,3.4,83,84,35,71,38,,
2008,5K6,Harrow,2.2,97,96,81,93,79,,
2008,5A4,Havering,2.9,80,0,21,82,68,,
2008,5AT,Hillingdon,3.6,89,88,75,83,70,,
2008,5HY,Hounslow,3.4,63,62,53,80,53,,
2008,5K8,Islington,2.1,91,91,46,83,50,,
2008,5LA,Kensington and Chelsea,1.4,86,84,61,79,63,,
2008,5A5,Kingston,1.3,88,91,76,85,77,,
2008,5LD,Lambeth,3.8,88,88,64,83,63,,
