Latitude,Longitude,Borough
51.5087,0.0001,Newham
51.5099,-0.0036,Newham
51.5115,-0.0044,Newham
51.5153,-0.0031,Newham
51.521,-0.0022,Newham
51.5207,-0.0026,Newham
51.5194,-0.0032,Newham
51.5193,-0.004,Newham
51.5212,-0.006201,Newham
51.5219,-0.0077,Newham
51.5249,-0.0084,Newham
51.5274,-0.0097,Newham
51.5299,-0.0124,Newham
51.535,-0.0156,Newham
51.5376,-0.0182,Newham
51.54,-0.0186,Newham
51.5415,-0.0181,Newham
51.543,-0.0174,Newham
51.5445,-0.0172,Newham
51.5494,-0.02,Newham
51.5502,-0.0188,Newham
51.551,-0.016401,Newham
51.5519,-0.0119,Newham
51.5521,-0.008901,Newham
51.5521,-0.0088,Newham
51.5507,-0.0081,Newham
51.5506,-0.0079,Newham
51.5521,0.0045,Newham
51.5514,0.0056,Newham
51.5518,0.008599,Newham
51.5544,0.0094,Newham
51.5551,0.013799,Newham
51.5539,0.016299,Newham
51.5562,0.021499,Newham
51.5562,0.023799,Newham
51.5536,0.0242,Newham
51.553,0.0242,Newham
51.553,0.0268,Newham
51.5529,0.0294,Newham
51.5536,0.0367,Newham
51.5544,0.043799,Newham
51.5554,0.046499,Newham
51.5567,0.0478,Newham
51.5568,0.0474,Newham
51.5576,0.0453,Newham
51.5589,0.0435,Newham
51.5627,0.0425,Newham
51.5641,0.0458,Newham
51.5652,0.0492,Newham
51.565,0.050899,Newham
51.563,0.0528,Newham
51.5608,0.055499,Newham
51.5571,0.0597,Newham
51.5562,0.0604,Newham
51.5563,0.0641,Newham
51.5559,0.065,Newham
51.5556,0.065499,Newham
51.5543,0.066499,Newham
51.5531,0.0671,Newham
51.5492,0.068599,Newham
51.5433,0.0678,Newham
51.541,0.068599,Newham
51.5375,0.0706,Newham
51.5319,0.0741,Newham
51.5314,0.0747,Newham
51.5304,0.076099,Newham
51.5298,0.077,Newham
51.5294,0.0779,Newham
51.5283,0.0801,Newham
51.5267,0.0839,Newham
51.5265,0.0851,Newham
51.5263,0.0862,Newham
51.5262,0.0873,Newham
51.5264,0.0883,Newham
51.5266,0.0896,Newham
51.5264,0.0906,Newham
51.5261,0.0916,Newham
51.5258,0.0925,Newham
51.5251,0.092999,Newham
51.5227,0.0933,Newham
51.5213,0.0942,Newham
51.5197,0.0953,Newham
51.5183,0.0958,Newham
51.5164,0.0966,Newham
51.5147,0.0971,Newham
51.5128,0.0969,Newham
51.5128,0.093799,Newham
51.5125,0.0922,Newham
51.5119,0.0898,Newham
51.5105,0.0856,Newham
51.5084,0.083199,Newham
51.5039,0.0796,Newham
51.501,0.076499,Newham
51.4989,0.0743,Newham
51.4973,0.0701,Newham
51.4965,0.0671,Newham
51.4961,0.0619,Newham
51.4959,0.0576,Newham
51.4957,0.0501,Newham
51.4962,0.0422,Newham
51.4957,0.0345,Newham
51.4958,0.0319,Newham
51.4958,0.026099,Newham
51.4959,0.0225,Newham
51.4967,0.0193,Newham
51.4983,0.0153,Newham
51.5005,0.0124,Newham
51.5031,0.0096,Newham
51.5051,0.007,Newham
51.5059,0.005,Newham
51.5065,0.003199,Newham
51.5065,0.002,Newham
51.5064,0.000899,Newham
51.5079,0.0006,Newham
51.5087,0.0001,Newham
51.4202,-0.0794,Lambeth
51.4204,-0.0829,Lambeth
51.4209,-0.0863,Lambeth
51.4212,-0.0881,Lambeth
51.4234,-0.0906,Lambeth
51.4235,-0.0924,Lambeth
51.4232,-0.0958,Lambeth
51.423,-0.101699,Lambeth
51.4235,-0.108199,Lambeth
51.4235,-0.114999,Lambeth
51.4207,-0.118999,Lambeth
51.4162,-0.127899,Lambeth
51.4119,-0.131099,Lambeth
51.412,-0.131299,Lambeth
51.4136,-0.136099,Lambeth
51.4121,-0.1366,Lambeth
51.4125,-0.139599,Lambeth
51.4134,-0.142099,Lambeth
51.415,-0.145699,Lambeth
51.4173,-0.143299,Lambeth
51.4185,-0.142099,Lambeth
51.421,-0.1387,Lambeth
51.4218,-0.138199,Lambeth
51.4248,-0.1389,Lambeth
51.4269,-0.1387,Lambeth
51.4308,-0.1387,Lambeth
51.4308,-0.1362,Lambeth
51.431,-0.135499,Lambeth
51.4317,-0.135499,Lambeth
51.4343,-0.135799,Lambeth
51.4364,-0.1366,Lambeth
51.437,-0.1366,Lambeth
51.439,-0.134599,Lambeth
51.4394,-0.1345,Lambeth
51.4404,-0.139799,Lambeth
51.4405,-0.140399,Lambeth
51.4412,-0.142699,Lambeth
51.443,-0.144799,Lambeth
51.4449,-0.145499,Lambeth
51.4464,-0.145499,Lambeth
51.4472,-0.145399,Lambeth
51.4489,-0.143799,Lambeth
51.45,-0.143199,Lambeth
51.452,-0.148199,Lambeth
51.4551,-0.147399,Lambeth
51.458,-0.148199,Lambeth
51.461,-0.149599,Lambeth
51.4635,-0.151,Lambeth
51.4669,-0.151,Lambeth
51.4683,-0.150299,Lambeth
51.4707,-0.145199,Lambeth
51.4725,-0.140099,Lambeth
51.4746,-0.135899,Lambeth
51.4771,-0.132899,Lambeth
51.481,-0.130399,Lambeth
51.4818,-0.1287,Lambeth
51.484,-0.129599,Lambeth
51.4842,-0.129699,Lambeth
51.4852,-0.1298,Lambeth
51.4862,-0.127199,Lambeth
51.4877,-0.124699,Lambeth
51.4884,-0.123799,Lambeth
51.4893,-0.123199,Lambeth
51.4912,-0.122099,Lambeth
51.4955,-0.120899,Lambeth
51.5046,-0.1187,Lambeth
51.5063,-0.117599,Lambeth
51.5074,-0.116499,Lambeth
51.5088,-0.1137,Lambeth
51.5094,-0.1112,Lambeth
51.5098,-0.108799,Lambeth
51.5088,-0.108599,Lambeth
51.5079,-0.1085,Lambeth
51.502,-0.107799,Lambeth
51.4983,-0.108999,Lambeth
51.4973,-0.110699,Lambeth
