borough_code,borough_name,party,party_long,number_votes
E09000002,Barking and Dagenham,BNP,British National Party,404
E09000002,Barking and Dagenham,CON,British National Party,3839
E09000002,Barking and Dagenham,CON,Conservative Party,20367
E09000002,Barking and Dagenham,GRE,Conservative Party,317
E09000002,Barking and Dagenham,IND,British National Party,372
E09000002,Barking and Dagenham,LAB,British National Party,8441
E09000002,Barking and Dagenham,LAB,Conservative Party,74594
E09000003,Barnet,CON,Conservative Party,146198
E09000003,Barnet,DP,Conservative Party,130
E09000003,Barnet,GRE,Conservative Party,10107
E09000003,Barnet,IND,Conservative Party,471
E09000003,Barnet,LAB,Conservative Party,125615
E09000003,Barnet,LD,Conservative Party,28365
E09000003,Barnet,UKIP,Conservative Party,122
E09000003,Barnet,WEP,Conservative Party,497
E09000004,Bexley,BNP,British National Party,943
E09000004,Bexley,CON,British National Party,26081
E09000004,Bexley,CON,Conservative Party,65466
E09000004,Bexley,CPA,Conservative Party,270
E09000004,Bexley,GRE,British National Party,870
E09000004,Bexley,GRE,Conservative Party,289
E09000004,Bexley,IND,Conservative Party,809
E09000004,Bexley,LAB,British National Party,17550
E09000004,Bexley,LAB,Conservative Party,43214
E09000004,Bexley,LD,British National Party,1366
E09000004,Bexley,LD,Conservative Party,3163
E09000004,Bexley,NLP,British National Party,82
E09000004,Bexley,UKIP,British National Party,1342
E09000004,Bexley,UKIP,Conservative Party,3771
E09000005,Brent,CON,Conservative Party,51982
E09000005,Brent,DP,Conservative Party,607
E09000005,Brent,GRE,Conservative Party,6777
E09000005,Brent,IND,Conservative Party,795
E09000005,Brent,LAB,Conservative Party,139086
E09000005,Brent,LD,Conservative Party,26260
E09000005,Brent,UKIP,Conservative Party,408
E09000005,Brent,WEP,Conservative Party,626
E09000006,Bromley,CON,Conservative Party,131132
E09000006,Bromley,FBM,Conservative Party,142
E09000006,Bromley,GRE,Conservative Party,11642
E09000006,Bromley,IND,Conservative Party,3162
E09000006,Bromley,LAB,Conservative Party,69072
E09000006,Bromley,LD,Conservative Party,40188
E09000006,Bromley,LIBT,Conservative Party,60
E09000006,Bromley,UKIP,Conservative Party,5030
E09000006,Bromley,WEP,Conservative Party,440
E09000007,Camden,CON,Conservative Party,35177
E09000007,Camden,DVP,Conservative Party,62
E09000007,Camden,GRE,Conservative Party,16512
E09000007,Camden,IND,Conservative Party,1096
E09000007,Camden,LAB,Conservative Party,81438
E09000007,Camden,LD,Conservative Party,27901
E09000007,Camden,UKIP,Conservative Party,269
E09000008,Croydon,BNP,British National Party,315
E09000008,Croydon,CON,British National Party,6691
E09000008,Croydon,CON,Conservative Party,94188
E09000008,Croydon,DP,Conservative Party,144
E09000008,Croydon,GRE,British National Party,752
E09000008,Croydon,GRE,Conservative Party,18063
E09000008,Croydon,IND,Conservative Party,590
E09000008,Croydon,LAB,British National Party,6411
E09000008,Croydon,LAB,Conservative Party,111657
E09000008,Croydon,LD,British National Party,271
E09000008,Croydon,LD,Conservative Party,13623
E09000008,Croydon,UIA,Conservative Party,122
E09000008,Croydon,UKIP,British National Party,620
E09000008,Croydon,UKIP,Conservative Party,448
E09000009,Ealing,BNP,British National Party,180
E09000009,Ealing,CON,British National Party,1828
E09000009,Ealing,CON,Conservative Party,71846
E09000009,Ealing,DP,British National Party,181
E09000009,Ealing,DP,Conservative Party,3792
E09000009,Ealing,GRE,British National Party,278
E09000009,Ealing,GRE,Conservative Party,11255
E09000009,Ealing,IND,Conservative Party,1062
E09000009,Ealing,LAB,British National Party,7092
E09000009,Ealing,LAB,Conservative Party,155474
E09000009,Ealing,LD,British National Party,357
E09000009,Ealing,LD,Conservative Party,34881
E09000009,Ealing,RNW,Conservative Party,150
E09000009,Ealing,UKIP,British National Party,187
E09000009,Ealing,UKIP,Conservative Party,659
E09000010,Enfield,CON,Conservative Party,80919
E09000010,Enfield,DP,Conservative Party,84
