Borough,Callout_type,Date,Number of reported incidents,Year,Month
 not geo-coded,ACCIDENTAL FIRES IN RUBBISH,01-13,0,2013,01
 not geo-coded,ACCIDENTAL OPEN LAND FIRES,01-13,0,2013,01
 not geo-coded,ACCIDENTAL VEHICLE FIRES,01-13,0,2013,01
 not geo-coded,ALL DELIBERATE FIRES,01-13,0,2013,01
 not geo-coded,ALL FALSE ALARMS,01-13,0,2013,01
 not geo-coded,ALL FIRES,01-13,0,2013,01
 not geo-coded,ALL SPECIAL SERVICES,01-13,0,2013,01
 not geo-coded,CARE HOME FIRES,01-13,0,2013,01
 not geo-coded,DELIBERATE FIRES IN RUBBISH,01-13,0,2013,01
 not geo-coded,DELIBERATE OPEN LAND FIRES,01-13,0,2013,01
 not geo-coded,DELIBERATE VEHICLE FIRES,01-13,0,2013,01
 not geo-coded,FALSE ALARMS AFAS DOM,01-13,0,2013,01
 not geo-coded,FALSE ALARMS AFAS NONDOM,01-13,0,2013,01
 not geo-coded,FALSE ALARMS GOOD INTENT,01-13,0,2013,01
 not geo-coded,MALICIOUS FALSE ALARMS,01-13,0,2013,01
 not geo-coded,NONDOMFIRES NONRRO,01-13,0,2013,01
 not geo-coded,NONDOMFIRES RRO,01-13,0,2013,01
 not geo-coded,PRIMARY FIRES,01-13,0,2013,01
 not geo-coded,PRIMARY FIRES IN DWELLINGS,01-13,0,2013,01
 not geo-coded,ROAD TRAFFIC COLLISIONS,01-13,0,2013,01
 not geo-coded,RUBBISH FIRES,01-13,0,2013,01
 not geo-coded,SECONDARY FIRES,01-13,0,2013,01
 not geo-coded,SHUT-IN-LIFT RELEASES,01-13,0,2013,01
 not geo-coded,SPECIAL SERVICE ENTRY & EXIT,01-13,0,2013,01
Barking and dagenham,ACCIDENTAL FIRES IN RUBBISH,01-13,7,2013,01
Barking and dagenham,ACCIDENTAL OPEN LAND FIRES,01-13,1,2013,01
Barking and dagenham,ACCIDENTAL VEHICLE FIRES,01-13,2,2013,01
Barking and dagenham,ALL DELIBERATE FIRES,01-13,9,2013,01
Barking and dagenham,ALL FALSE ALARMS,01-13,45,2013,01
Barking and dagenham,ALL FIRES,01-13,34,2013,01
Barking and dagenham,ALL SPECIAL SERVICES,01-13,56,2013,01
Barking and dagenham,CARE HOME FIRES,01-13,2,2013,01
Barking and dagenham,DELIBERATE FIRES IN RUBBISH,01-13,5,2013,01
Barking and dagenham,DELIBERATE OPEN LAND FIRES,01-13,1,2013,01
Barking and dagenham,DELIBERATE VEHICLE FIRES,01-13,1,2013,01
Barking and dagenham,FALSE ALARMS AFAS DOM,01-13,6,2013,01
