Day,Number of Bicycle Hires,Month,Year,Weekday
30/07/2010,"6,897",7,2010,Thursday
31/07/2010,"5,564",7,2010,Friday
01/08/2010,"4,303",1,2010,Thursday
02/08/2010,"6,642",2,2010,Sunday
03/08/2010,"7,966",3,2010,Sunday
04/08/2010,"7,893",4,2010,Wednesday
05/08/2010,"8,724",5,2010,Friday
06/08/2010,"9,797",6,2010,Monday
07/08/2010,"6,631",7,2010,Wednesday
08/08/2010,"7,864",8,2010,Saturday
09/08/2010,"6,191",9,2010,Tuesday
10/08/2010,"4,802",10,2010,Thursday
11/08/2010,"14,013",11,2010,Sunday
12/08/2010,"13,080",12,2010,Tuesday
13/08/2010,"12,151",8,2010,Thursday
14/08/2010,"9,195",8,2010,Friday
15/08/2010,"10,928",8,2010,Saturday
16/08/2010,"15,384",8,2010,Sunday
17/08/2010,"15,396",8,2010,Monday
18/08/2010,"16,062",8,2010,Tuesday
19/08/2010,"17,170",8,2010,Wednesday
20/08/2010,"16,462",8,2010,Thursday
21/08/2010,"11,719",8,2010,Friday
22/08/2010,"10,129",8,2010,Saturday
23/08/2010,"12,935",8,2010,Sunday
24/08/2010,"17,006",8,2010,Monday
25/08/2010,"10,062",8,2010,Tuesday
26/08/2010,"9,875",8,2010,Wednesday
27/08/2010,"12,854",8,2010,Thursday
28/08/2010,"10,116",8,2010,Friday
29/08/2010,"7,811",8,2010,Saturday
30/08/2010,"10,534",8,2010,Sunday
31/08/2010,"17,508",8,2010,Monday
01/09/2010,"19,332",1,2010,Friday
02/09/2010,"20,909",2,2010,Monday
03/09/2010,"20,113",3,2010,Monday
04/09/2010,"14,373",4,2010,Thursday
05/09/2010,"12,924",5,2010,Saturday
06/09/2010,"16,841",6,2010,Tuesday
07/09/2010,"25,361",7,2010,Thursday
08/09/2010,"18,727",8,2010,Sunday
09/09/2010,"20,774",9,2010,Wednesday
10/09/2010,"19,532",10,2010,Friday
11/09/2010,"13,383",11,2010,Monday
12/09/2010,"14,002",12,2010,Wednesday
13/09/2010,"18,037",9,2010,Sunday
14/09/2010,"17,026",9,2010,Monday
15/09/2010,"20,890",9,2010,Tuesday
16/09/2010,"20,433",9,2010,Wednesday
17/09/2010,"20,488",9,2010,Thursday
18/09/2010,"15,495",9,2010,Friday
19/09/2010,"11,492",9,2010,Saturday
20/09/2010,"20,169",9,2010,Sunday
21/09/2010,"22,906",9,2010,Monday
22/09/2010,"23,905",9,2010,Tuesday
23/09/2010,"17,729",9,2010,Wednesday
24/09/2010,"18,053",9,2010,Thursday
25/09/2010,"14,010",9,2010,Friday
26/09/2010,"7,890",9,2010,Saturday
27/09/2010,"18,789",9,2010,Sunday
28/09/2010,"21,554",9,2010,Monday
29/09/2010,"13,899",9,2010,Tuesday
30/09/2010,"21,823",9,2010,Wednesday
01/10/2010,"11,424",1,2010,Saturday
02/10/2010,"10,704",2,2010,Tuesday
03/10/2010,"8,237",3,2010,Tuesday
04/10/2010,"23,688",4,2010,Friday
05/10/2010,"22,054",5,2010,Sunday
06/10/2010,"20,114",6,2010,Wednesday
07/10/2010,"24,072",7,2010,Friday
08/10/2010,"22,886",8,2010,Monday
09/10/2010,"14,463",9,2010,Thursday
10/10/2010,"14,871",10,2010,Saturday
11/10/2010,"21,986",11,2010,Tuesday
12/10/2010,"23,016",12,2010,Thursday
13/10/2010,"22,251",10,2010,Tuesday
14/10/2010,"21,582",10,2010,Wednesday
15/10/2010,"20,934",10,2010,Thursday
16/10/2010,"12,735",10,2010,Friday
17/10/2010,"12,764",10,2010,Saturday
18/10/2010,"20,464",10,2010,Sunday
19/10/2010,"17,964",10,2010,Monday
20/10/2010,"20,750",10,2010,Tuesday
21/10/2010,"21,161",10,2010,Wednesday
22/10/2010,"20,164",10,2010,Thursday
23/10/2010,"11,584",10,2010,Friday
24/10/2010,"11,259",10,2010,Saturday
25/10/2010,"18,430",10,2010,Sunday
26/10/2010,"13,950",10,2010,Monday
27/10/2010,"19,559",10,2010,Tuesday
28/10/2010,"19,995",10,2010,Wednesday
29/10/2010,"19,119",10,2010,Thursday
30/10/2010,"13,493",10,2010,Friday
31/10/2010,"8,739",10,2010,Saturday
01/11/2010,"19,785",1,2010,Sunday
02/11/2010,"21,754",2,2010,Wednesday
03/11/2010,"27,964",3,2010,Wednesday
04/11/2010,"22,424",4,2010,Saturday
05/11/2010,"15,815",5,2010,Monday
06/11/2010,"11,877",6,2010,Thursday
07/11/2010,"9,331",7,2010,Saturday
08/11/2010,"11,328",8,2010,Tuesday
09/11/2010,"16,026",9,2010,Friday
10/11/2010,"19,767",10,2010,Sunday
11/11/2010,"12,901",11,2010,Wednesday
12/11/2010,"14,534",12,2010,Friday
13/11/2010,"12,123",11,2010,Friday
14/11/2010,"6,235",11,2010,Saturday
15/11/2010,"18,086",11,2010,Sunday
16/11/2010,"18,764",11,2010,Monday
17/11/2010,"17,005",11,2010,Tuesday
18/11/2010,"15,974",11,2010,Wednesday
19/11/2010,"18,545",11,2010,Thursday
20/11/2010,"10,806",11,2010,Friday
21/11/2010,"8,356",11,2010,Saturday
22/11/2010,"17,258",11,2010,Sunday
23/11/2010,"17,427",11,2010,Monday
24/11/2010,"18,628",11,2010,Tuesday
25/11/2010,"16,822",11,2010,Wednesday
26/11/2010,"16,092",11,2010,Thursday
27/11/2010,"7,867",11,2010,Friday
28/11/2010,"6,866",11,2010,Saturday
29/11/2010,"16,681",11,2010,Sunday
30/11/2010,"9,263",11,2010,Monday
01/12/2010,"9,848",1,2010,Monday
02/12/2010,"7,356",2,2010,Thursday
03/12/2010,"8,264",3,2010,Thursday
04/12/2010,"7,857",4,2010,Sunday
05/12/2010,"8,321",5,2010,Tuesday
06/12/2010,"13,855",6,2010,Friday
07/12/2010,"15,033",7,2010,Sunday
08/12/2010,"15,225",8,2010,Wednesday
09/12/2010,"16,171",9,2010,Saturday
10/12/2010,"15,602",10,2010,Monday
11/12/2010,"10,328",11,2010,Thursday
12/12/2010,"8,585",12,2010,Saturday
13/12/2010,"14,997",12,2010,Sunday
14/12/2010,"15,550",12,2010,Monday
15/12/2010,"13,412",12,2010,Tuesday
16/12/2010,"10,833",12,2010,Wednesday
17/12/2010,"10,366",12,2010,Thursday
18/12/2010,"2,805",12,2010,Friday
19/12/2010,"2,764",12,2010,Saturday
20/12/2010,"6,876",12,2010,Sunday
21/12/2010,"7,879",12,2010,Monday
22/12/2010,"9,718",12,2010,Tuesday
23/12/2010,"8,867",12,2010,Wednesday
24/12/2010,"5,402",12,2010,Thursday
25/12/2010,"5,621",12,2010,Friday
26/12/2010,"4,383",12,2010,Saturday
27/12/2010,"3,971",12,2010,Sunday
28/12/2010,"3,763",12,2010,Monday
29/12/2010,"7,010",12,2010,Tuesday
30/12/2010,"7,464",12,2010,Wednesday
31/12/2010,"7,448",12,2010,Thursday
01/01/2011,"4,555",1,2011,Friday
02/01/2011,"6,250",2,2011,Monday
03/01/2011,"7,262",3,2011,Monday
04/01/2011,"13,430",4,2011,Thursday
05/01/2011,"13,757",5,2011,Saturday
06/01/2011,"9,595",6,2011,Tuesday
07/01/2011,"9,294",7,2011,Thursday
08/01/2011,"9,338",8,2011,Sunday
09/01/2011,"10,558",9,2011,Wednesday
10/01/2011,"16,058",10,2011,Friday
11/01/2011,"16,412",11,2011,Monday
12/01/2011,"13,894",12,2011,Wednesday
13/01/2011,"15,911",1,2011,Wednesday
14/01/2011,"14,834",1,2011,Thursday
15/01/2011,"11,851",1,2011,Friday
16/01/2011,"10,471",1,2011,Saturday
17/01/2011,"10,835",1,2011,Sunday
18/01/2011,"17,703",1,2011,Monday
19/01/2011,"18,350",1,2011,Tuesday
20/01/2011,"17,957",1,2011,Wednesday
21/01/2011,"16,509",1,2011,Thursday
22/01/2011,"10,658",1,2011,Friday
23/01/2011,"9,911",1,2011,Saturday
24/01/2011,"17,193",1,2011,Sunday
25/01/2011,"17,045",1,2011,Monday
26/01/2011,"16,396",1,2011,Tuesday
27/01/2011,"16,519",1,2011,Wednesday
28/01/2011,"15,538",1,2011,Thursday
29/01/2011,"9,379",1,2011,Friday
