Code,Area,Count,Year,Mode,Type
00AA,City of London,2.0,2002,Buses,Personal
00AB,Barking and Dagenham,3.1,2002,Buses,Personal
00AC,Barnet,9.6,2002,Buses,Personal
00AD,Bexley,6.3,2002,Buses,Personal
00AE,Brent,5.3,2002,Buses,Personal
00AF,Bromley,9.6,2002,Buses,Personal
00AG,Camden,8.1,2002,Buses,Personal
00AH,Croydon,8.8,2002,Buses,Personal
00AJ,Ealing,6.5,2002,Buses,Personal
00AK,Enfield,7.1,2002,Buses,Personal
00AL,Greenwich,6.4,2002,Buses,Personal
00AM,Hackney,6.2,2002,Buses,Personal
00AN,Hammersmith and Fulham,5.2,2002,Buses,Personal
00AP,Haringey,8.0,2002,Buses,Personal
00AQ,Harrow,4.3,2002,Buses,Personal
00AR,Havering,6.8,2002,Buses,Personal
00AS,Hillingdon,8.1,2002,Buses,Personal
00AT,Hounslow,7.9,2002,Buses,Personal
00AU,Islington,5.9,2002,Buses,Personal
00AW,Kensington and Chelsea,6.2,2002,Buses,Personal
00AX,Kingston upon Thames,3.9,2002,Buses,Personal
00AY,Lambeth,10.8,2002,Buses,Personal
00AZ,Lewisham,10.2,2002,Buses,Personal
00BA,Merton,4.4,2002,Buses,Personal
00BB,Newham,8.7,2002,Buses,Personal
00BC,Redbridge,6.9,2002,Buses,Personal
00BD,Richmond upon Thames,6.1,2002,Buses,Personal
00BE,Southwark,11.4,2002,Buses,Personal
00BF,Sutton,4.4,2002,Buses,Personal
00BG,Tower Hamlets,7.3,2002,Buses,Personal
00BH,Waltham Forest,5.0,2002,Buses,Personal
00BJ,Wandsworth,9.2,2002,Buses,Personal
00BK,Westminster,15.0,2002,Buses,Personal
00AA,City of London,2.0,2002,Diesel Cars,Personal
00AB,Barking and Dagenham,6.0,2002,Diesel Cars,Personal
00AC,Barnet,17.5,2002,Diesel Cars,Personal
00AD,Bexley,10.6,2002,Diesel Cars,Personal
00AE,Brent,8.8,2002,Diesel Cars,Personal
00AF,Bromley,15.1,2002,Diesel Cars,Personal
00AG,Camden,7.0,2002,Diesel Cars,Personal
00AH,Croydon,13.5,2002,Diesel Cars,Personal
00AJ,Ealing,12.1,2002,Diesel Cars,Personal
00AK,Enfield,12.7,2002,Diesel Cars,Personal
00AL,Greenwich,9.4,2002,Diesel Cars,Personal
00AM,Hackney,5.9,2002,Diesel Cars,Personal
00AN,Hammersmith and Fulham,5.7,2002,Diesel Cars,Personal
00AP,Haringey,7.7,2002,Diesel Cars,Personal
00AQ,Harrow,7.8,2002,Diesel Cars,Personal
00AR,Havering,13.0,2002,Diesel Cars,Personal
00AS,Hillingdon,18.4,2002,Diesel Cars,Personal
00AT,Hounslow,15.1,2002,Diesel Cars,Personal
00AU,Islington,5.5,2002,Diesel Cars,Personal
00AW,Kensington and Chelsea,6.8,2002,Diesel Cars,Personal
00AX,Kingston upon Thames,8.0,2002,Diesel Cars,Personal
00AY,Lambeth,8.9,2002,Diesel Cars,Personal
00AZ,Lewisham,9.7,2002,Diesel Cars,Personal
00BA,Merton,7.1,2002,Diesel Cars,Personal
00BB,Newham,10.8,2002,Diesel Cars,Personal
00BC,Redbridge,12.8,2002,Diesel Cars,Personal
00BD,Richmond upon Thames,9.1,2002,Diesel Cars,Personal
00BE,Southwark,9.3,2002,Diesel Cars,Personal
00BF,Sutton,7.6,2002,Diesel Cars,Personal
00BG,Tower Hamlets,8.6,2002,Diesel Cars,Personal
00BH,Waltham Forest,8.1,2002,Diesel Cars,Personal
00BJ,Wandsworth,10.2,2002,Diesel Cars,Personal
00BK,Westminster,11.3,2002,Diesel Cars,Personal
00AA,City of London,12.6,2002,Petrol Cars,Personal
00AB,Barking and Dagenham,35.0,2002,Petrol Cars,Personal
00AC,Barnet,102.5,2002,Petrol Cars,Personal
00AD,Bexley,62.2,2002,Petrol Cars,Personal
00AE,Brent,51.3,2002,Petrol Cars,Personal
00AF,Bromley,88.7,2002,Petrol Cars,Personal
00AG,Camden,42.1,2002,Petrol Cars,Personal
00AH,Croydon,79.1,2002,Petrol Cars,Personal
00AJ,Ealing,70.7,2002,Petrol Cars,Personal
00AK,Enfield,74.8,2002,Petrol Cars,Personal
00AL,Greenwich,55.2,2002,Petrol Cars,Personal
00AM,Hackney,34.9,2002,Petrol Cars,Personal
00AN,Hammersmith and Fulham,33.8,2002,Petrol Cars,Personal
