Period beginning,Period ending,Days in period,Journey type,Passengers (m),Beginning Month,Beginning Year,Ending Month,Ending Year
2010-04-01,2010-05-01,31,Bus journeys (m),189.1,4,2010,5,2010
2010-05-02,2010-05-29,28,Bus journeys (m),181.6,5,2010,5,2010
2010-05-30,2010-06-26,28,Bus journeys (m),175.9,5,2010,6,2010
2010-06-27,2010-07-24,28,Bus journeys (m),183.4,6,2010,7,2010
2010-07-25,2010-08-21,28,Bus journeys (m),160.4,7,2010,8,2010
2010-08-22,2010-09-18,28,Bus journeys (m),175.8,8,2010,9,2010
2010-09-19,2010-10-16,28,Bus journeys (m),189.8,9,2010,10,2010
2010-10-17,2010-11-13,28,Bus journeys (m),179.9,10,2010,11,2010
2010-11-14,2010-12-11,28,Bus journeys (m),178.8,11,2010,12,2010
2010-12-12,2011-01-08,28,Bus journeys (m),140.1,12,2010,1,2011
2011-01-09,2011-02-05,28,Bus journeys (m),183.0,1,2011,2,2011
2011-02-06,2011-03-05,28,Bus journeys (m),177.2,2,2011,3,2011
2011-03-06,2011-03-31,26,Bus journeys (m),173.9,3,2011,3,2011
2011-04-01,2011-04-30,30,Bus journeys (m),183.8,4,2011,4,2011
2011-05-01,2011-05-28,28,Bus journeys (m),186.1,5,2011,5,2011
2011-05-29,2011-06-25,28,Bus journeys (m),181.7,5,2011,6,2011
2011-06-26,2011-07-23,28,Bus journeys (m),186.7,6,2011,7,2011
2011-07-24,2011-08-20,28,Bus journeys (m),161.1,7,2011,8,2011
2011-08-21,2011-09-17,28,Bus journeys (m),173.9,8,2011,9,2011
2011-09-18,2011-10-15,28,Bus journeys (m),193.4,9,2011,10,2011
2011-10-16,2011-11-12,28,Bus journeys (m),185.2,10,2011,11,2011
2011-11-13,2011-12-10,28,Bus journeys (m),189.4,11,2011,12,2011
2011-12-11,2012-01-07,28,Bus journeys (m),151.2,12,2011,1,2012
2012-01-08,2012-02-04,28,Bus journeys (m),181.4,1,2012,2,2012
2012-02-05,2012-03-03,28,Bus journeys (m),179.5,2,2012,3,2012
2012-03-04,2012-03-31,28,Bus journeys (m),191.2,3,2012,3,2012
2012-04-01,2012-04-28,28,Bus journeys (m),171.8,4,2012,4,2012
2012-04-29,2012-05-26,28,Bus journeys (m),189.2,4,2012,5,2012
2012-05-27,2012-06-23,28,Bus journeys (m),176.5,5,2012,6,2012
2012-06-24,2012-07-21,28,Bus journeys (m),189.9,6,2012,7,2012
2012-07-22,2012-08-18,28,Bus journeys (m),167.1,7,2012,8,2012
2012-08-19,2012-09-15,28,Bus journeys (m),177.0,8,2012,9,2012
2012-09-16,2012-10-13,28,Bus journeys (m),194.2,9,2012,10,2012
2012-10-14,2012-11-10,28,Bus journeys (m),184.7,10,2012,11,2012
2012-11-11,2012-12-08,28,Bus journeys (m),187.6,11,2012,12,2012
2012-12-09,2013-01-05,28,Bus journeys (m),151.9,12,2012,1,2013
2013-01-06,2013-02-02,28,Bus journeys (m),178.1,1,2013,2,2013
2013-02-03,2013-03-02,28,Bus journeys (m),180.3,2,2013,3,2013
2013-03-03,2013-03-31,29,Bus journeys (m),186.5,3,2013,3,2013
2013-04-01,2013-04-27,27,Bus journeys (m),171.6,4,2013,4,2013
2013-04-28,2013-05-25,28,Bus journeys (m),188.8,4,2013,5,2013
2013-05-26,2013-06-22,28,Bus journeys (m),183.5,5,2013,6,2013
2013-06-23,2013-07-20,28,Bus journeys (m),190.2,6,2013,7,2013
2013-07-21,2013-08-17,28,Bus journeys (m),166.3,7,2013,8,2013
2013-08-18,2013-09-14,28,Bus journeys (m),173.7,8,2013,9,2013
2013-09-15,2013-10-12,28,Bus journeys (m),194.5,9,2013,10,2013
2013-10-13,2013-11-09,28,Bus journeys (m),186.3,10,2013,11,2013
2013-11-10,2013-12-07,28,Bus journeys (m),193.2,11,2013,12,2013
2013-12-08,2014-01-04,28,Bus journeys (m),155.1,12,2013,1,2014
2014-01-05,2014-02-01,28,Bus journeys (m),186.6,1,2014,2,2014
2014-02-02,2014-03-01,28,Bus journeys (m),185.6,2,2014,3,2014
2014-03-02,2014-03-31,30,Bus journeys (m),206.9,3,2014,3,2014
2014-04-01,2014-04-26,26,Bus journeys (m),164.1,4,2014,4,2014
2014-04-27,2014-05-24,28,Bus journeys (m),192.8,4,2014,5,2014
2014-05-25,2014-06-21,28,Bus journeys (m),188.1,5,2014,6,2014
2014-06-22,2014-07-19,28,Bus journeys (m),191.1,6,2014,7,2014
2014-07-20,2014-08-16,28,Bus journeys (m),169.2,7,2014,8,2014
