loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,st_teff,st_mass,st_rad,rowupdate,pl_facility,last_updated
1,11 Com,b,11 Com b,Radial Velocity,1,326.03,1.29,0.231,,19.4,Msini,,,4742.0,2.7,19.0,2014-05-14,Xinglong Station,2014-05-14
2,11 UMi,b,11 UMi b,Radial Velocity,1,516.21997,1.53,0.08,,14.74,Msini,,,4213.0,2.78,29.79,2018-09-06,Thueringer Landessternwarte Tautenburg,2018-09-06
3,14 And,b,14 And b,Radial Velocity,1,185.84,0.83,0.0,,4.8,Msini,,,4813.0,2.2,11.0,2014-05-14,Okayama Astrophysical Observatory,2014-05-14
4,14 Her,b,14 Her b,Radial Velocity,1,1773.40002,2.93,0.37,,4.66,Msini,,,5338.0,0.9,0.93,2018-09-06,W. M. Keck Observatory,2018-09-06
5,16 Cyg B,b,16 Cyg B b,Radial Velocity,1,798.5,1.66,0.68,,1.78,Msini,,,5750.0,1.08,1.13,2018-09-06,Multiple Observatories,2018-09-06
6,18 Del,b,18 Del b,Radial Velocity,1,993.3,2.6,0.08,,10.3,Msini,,,4979.0,2.3,8.5,2014-05-14,Okayama Astrophysical Observatory,2014-05-14
7,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,1,,330.0,,,8.0,Mass,,,4060.0,0.85,,2015-04-01,Gemini Observatory,2015-04-01
8,24 Boo,b,24 Boo b,Radial Velocity,1,30.3506,0.19,0.042,,0.91,Msini,,,4893.0,0.99,10.64,2018-04-26,Okayama Astrophysical Observatory,2018-04-26
9,24 Sex,b,24 Sex b,Radial Velocity,2,452.8,1.333,0.09,,1.99,Msini,,,5098.0,1.54,4.9,2014-05-14,Lick Observatory,2014-05-14
10,24 Sex,c,24 Sex c,Radial Velocity,2,883.0,2.08,0.29,,0.86,Msini,,,5098.0,1.54,4.9,2014-05-14,Lick Observatory,2014-05-14
11,2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,1,,52.0,,,24.5,Mass,,,3530.0,0.4,,2014-05-14,W. M. Keck Observatory,2014-05-14
12,2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,1,,156.0,,,13.9,Mass,1.44,,3064.0,0.11,0.28,2015-05-14,Cerro Tololo Inter-American Observatory,2015-05-14
13,2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,1,,15.0,,,7.5,Mass,,,,0.02,,2014-05-14,Hubble Space Telescope,2014-05-14
14,2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,1,,46.0,,,4.0,Mass,,,,0.02,,2014-05-14,Paranal Observatory,2014-05-14
15,2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,1,416.0,0.92,,,1.9,Mass,,,,0.48,,2015-06-04,Kepler,2015-06-04
16,2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,1,7336.5,,0.26,46.2,20.95,Mass,0.92,,2300.0,0.08,0.12,2014-05-14,W. M. Keck Observatory,2014-05-14
17,2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,1,,230.0,,,12.5,Mass,,,4045.0,0.6,,2016-11-10,W. M. Keck Observatory,2016-11-10
18,30 Ari B,b,30 Ari B b,Radial Velocity,1,335.10001,0.99,0.29,,13.82,Msini,,,6331.0,1.93,1.41,2018-09-06,Thueringer Landessternwarte Tautenburg,2018-09-06
19,4 UMa,b,4 UMa b,Radial Velocity,1,269.3,0.87,0.432,,7.1,Msini,,,4415.0,1.23,18.11,2014-05-14,Thueringer Landessternwarte Tautenburg,2014-05-14
20,42 Dra,b,42 Dra b,Radial Velocity,1,479.1,1.19,0.38,,3.88,Msini,,,4200.0,0.98,22.03,2014-05-14,Thueringer Landessternwarte Tautenburg,2014-05-14
21,47 UMa,b,47 UMa b,Radial Velocity,3,1078.0,2.1,0.032,,2.53,Msini,,,5892.0,1.03,1.23,2014-05-14,Lick Observatory,2014-05-14
22,47 UMa,c,47 UMa c,Radial Velocity,3,2391.0,3.6,0.098,,0.54,Msini,,,5892.0,1.03,1.23,2014-05-14,Lick Observatory,2014-05-14
